"importId";"candidate.importId";"employee.importId";"dob";"citizenshipCountry.code";"clearanceSelect";"maritalStatusSelect";"childrenNbr";"spouseProfession";"mobilityChoiceSet.id"
1;1;;"1979-02-14";"USA";0;1;0;;4
2;2;;"1982-07-18";"GBR";0;1;0;;4
3;3;;"1977-05-27";"USA";0;2;2;;4
4;4;;"1978-07-27";"GBR";0;2;1;;4
5;5;;"1977-06-25";"USA";0;2;2;;4
6;6;;"1981-05-14";"GBR";0;2;1;;4
7;7;;"1990-09-22";"USA";0;1;0;;4
8;8;;"1981-08-10";"GBR";0;1;0;;4
9;9;;"1984-08-15";"USA";0;1;0;;4
10;10;;"1978-05-29";"GBR";0;2;2;;4
11;11;;"1976-05-15";"USA";0;2;2;;4
12;12;;"1979-05-21";"GBR";0;1;0;;4
13;13;;"1979-04-25";"USA";0;2;1;;4
14;14;;"1975-02-26";"GBR";0;1;0;;4
15;15;;"1981-06-29";"USA";0;2;2;;4
16;16;;"1990-05-25";"GBR";0;2;2;;4
17;17;;"1976-04-22";"FRA";0;2;1;;2
18;18;;"1988-08-22";"FRA";0;1;0;;2
19;19;;"1990-01-14";"FRA";0;2;2;;2
20;20;;"1975-07-28";"FRA";0;2;1;;2
21;21;;"1986-07-22";"FRA";0;2;1;;2
22;22;;"1978-05-22";"FRA";0;1;0;;2
23;23;;"1990-03-26";"FRA";0;1;0;;2
24;24;;"1991-08-18";"FRA";0;2;1;;2
25;25;;"1989-02-17";"FRA";0;1;0;;2
26;26;;"1980-02-28";"FRA";0;1;0;;2
27;27;;"1986-07-19";"FRA";0;1;0;;2
28;28;;"1988-08-14";"FRA";0;1;0;;2
90001;;1;"1978-08-17";"FRA";0;2;2;"Expert comptable";2
90002;;2;"1990-06-13";"FRA";0;2;0;"Chargée d'Affaires";2
90003;;3;"1983-06-29";"FRA";4;1;0;;2
90004;;4;"1989-08-15";"FRA";3;2;0;"Chef de projet";2
90005;;5;"1984-01-28";"FRA";4;2;1;"Assistante sociale";2
90006;;6;"1984-01-13";"FRA";0;1;0;;2
90007;;7;"1989-08-14";"FRA";0;1;0;;2
90008;;8;"1980-07-16";"FRA";0;1;0;;2
90009;;9;"1981-06-28";"FRA";0;2;1;"Professeur";2
90010;;10;"1984-07-25";"FRA";0;2;2;"Ingénieur agronome";2
90011;;11;"1990-05-19";"FRA";0;1;0;;2
90012;;12;"1989-07-19";"FRA";0;1;0;;2
90013;;13;"1985-06-18";"FRA";0;1;0;;2
90014;;14;"1978-03-22";"FRA";0;2;2;"Avocate";2
90015;;15;"1978-04-21";"FRA";0;2;1;"Commerciale";2
90016;;16;"1991-06-25";"FRA";0;1;0;;2
90017;;17;"1979-01-11";"FRA";0;1;0;;2
90018;;18;"1976-04-13";"FRA";0;2;1;"Directeur Achat";2
