"code";"name";"group.code";"language";"homeAction";"importId";"companySet.importId";"activeCompany.id";"partner.importId";"activeCashRegister.id";"employee.importId";"activeTeam.importId";"picture_fileName";"localization.importId"
"admin";"Admin";"admins";"en-gb";;1;1;1;90019;1;19;4;"img/user/1033_128px.png";1
"demo";"Demo";"users";"en-gb";;2;1;1;90020;1;;4;"img/user/1033_128px.png";1
"psdt";"Yoann MARQUES";"MNGT";"en-gb";;3;1;1;90001;1;1;4;"img/user/1033_128px.png";1
"assist";"Lucy ROBERT";"MNGT";"en-gb";;4;1;1;90002;1;2;4;"img/user/1033_128px.png";1
"projdir";"Lucas RICHARD";"MNGT";"en-gb";;5;1;1;90003;1;3;4;"img/user/1033_128px.png";1
"projmg";"Daniel SILVA";"ERP";"en-gb";;6;1;1;90004;1;4;4;"img/user/1033_128px.png";1
"consultant";"Charles MARTIN";"CST";"en-gb";;7;1;1;90005;1;5;4;"img/user/1033_128px.png";1
"demoerp";"Kevin DEMOERP";"ERP";"en-gb";"saleman.dashboard.view.sample";8;1;1;90006;1;6;4;"img/user/1033_128px.png";1
"democrm";"Charles DEMOCRM";"CRM";"en-gb";"crm.opportunities.dashboard.2.view";9;1;1;90007;2;7;1;"img/user/1033_128px.png";1
"smn2";"Tony RAYMOND";"SALE";"en-gb";;10;1;1;90008;4;8;1;"img/user/1033_128px.png";1
"sms1";"Thomas LAMY";"SALE";"en-gb";;11;1;1;90009;3;9;2;"img/user/1033_128px.png";1
"sms2";"Anne GIRAULT";"SALE";"en-gb";;12;1;1;90010;5;10;2;"img/user/1012_128px.png";1
"smi1";"Dimitri GEOFFROY";"SALE";"en-gb";;13;1;1;90011;1;11;3;"img/user/1033_128px.png";1
"purch";"Alex DAVID";"PURCH";"en-gb";;14;1;1;90012;1;12;4;"img/user/1033_128px.png";1
"prod";"William ANDRE";"OPTS";"en-gb";;15;1;1;90013;1;13;4;"img/user/1033_128px.png";1
"suppmg";"David MAURIN";"OPTS";"en-gb";;16;1;1;90014;1;14;4;"img/user/1033_128px.png";1
"supp1";"Cyril MARCHAL";"OPTS";"en-gb";;17;1;1;90015;1;15;4;"img/user/1033_128px.png";1
"supp2";"Robin COSTA";"OPTS";"en-gb";;18;1;1;90016;1;16;4;"img/user/1033_128px.png";1
"hrmg";"Romane COLIN";"HRSC";"en-gb";;19;1;1;90017;1;17;4;"img/user/1012_128px.png";1
"account";"Victoria LOUIS";"ACCO";"en-gb";;20;1;1;90018;1;18;4;"img/user/1012_128px.png";1
"client";"123 Service";"CLT";"en-gb";"wizard-client-view";21;1;1;88;1;;;"img/user/88_120px.png";1
"supplier";"TOP Components";"SUP";"en-gb";"wizard-supplier-view";22;1;1;148;1;;;"img/user/148_128px.png";1
"admin-fr";"admin-fr";"admins";"fr-fr";;23;1;1;90022;1;20;4;"img/user/1033_128px.png";2
