"key","message","comment","context"
"Amount","Kwota",,
"Auto","Automatycznie",,
"Balance","Bilans",,
"Bank","Bank",,
"Base","Podstawa",,
"Best","Najlepszy",,
"Both","obydwu.",,
"Cash management","Zarządzanie środkami pieniężnymi",,
"Comments","Komentarze",,
"Company","Firma",,
"Configuration","Konfiguracja",,
"Confirmed","Potwierdzone",,
"Currency","Waluta",,
"Current balance","Saldo bieżące",,
"Customers payment delay (Average in days)","Opóźnienie płatności dla klientów (średnia w dniach)",,
"Date","Data",,
"Details","Szczegóły",,
"Display","Wyświetlacz",,
"Ending Balance","Bilans zamknięcia",,
"Estimated date","Szacowana data",,
"Estimated payment date","Szacowana data płatności",,
"Expected","Oczekiwany",,
"Forecast","Prognoza",,
"Forecast Assistant","Asystent prognozowania",,
"Forecast Assistants","Asystenci prognoz",,
"Forecast Reasons","Przyczyny prognoz",,
"Forecast Recap","Prognoza Przekształcenie",,
"Forecast Recaps","Przekształcenia prognoz",,
"Forecast Report","Sprawozdanie z prognozy",,
"Forecast Reports","Sprawozdania z prognozy",,
"Forecast generator","Generator prognoz",,
"Forecast reason","Przyczyna prognozy",,
"Forecast reasons","Przyczyny prognozowania",,
"Forecast recap","Przekształcenie prognozy",,
"ForecastRecap","PrognozaRecap",,
"Forecasts","Prognozy",,
"Forecasts generated","Wygenerowane prognozy",,
"From","Od",,
"Generate","Generuj",,
"Invalid dates","Nieważne daty",,
"Is report","Czy raport jest raportem?",,
"Line","Linia",,
"Lines","Linie",,
"Marges","Marże",,
"No","Nie",,
"Payment delay (Average)","Opóźnienie płatności (średnia)",,
"Periodicity","Okresowość",,
"Please select a company","Proszę wybrać firmę",,
"Populate","Populacja",,
"Previsional Marges","Marże prewencyjne",,
"Previsional Sales","Sprzedaż prewencyjna",,
"Previsional Spending","Wydatki prewencyjne",,
"Realized","Zrealizowane",,
"Reason","Uzasadnienie",,
"Sales","Sprzedaż",,
"SalesMan","SalesMan",,
"Show histrogram","Wyświetlanie histogramu",,
"Spending","Wydatki",,
"Starting Balance","Bilans początkowy",,
"Suppliers payment delay (Average in days)","Opóźnienie płatności u dostawców (średnia w dniach)",,
"Take into account opportunies","Uwzględnić możliwości",,
"To","Do",,
"Type","Typ",,
"Update","Aktualizacja",,
"Worst","Najgorszy",,
"Yes","Tak",,
"value:Cash management","wartość: Zarządzanie środkami pieniężnymi",,
