"importId";"titleSelect";"firstName";"name";"entryDate";"function";"companyDepartment.id";"internalContact.importId";"salaryFromDate";"salaryAmount";"dailySalaryCost";"profileProduct.importId";"supervisedBySelect";"managerProfileProduct.importId";"managerUser.importId";"contractTypeSelect";"macroCategorySelect";"categorySelect";"personalInfo.importId";"toolKeywordSet_importId";"fieldKeywordSet_importId";"jobKeywordSet_importId";"competence";"emergencyContact";"emergencyNumber";"candidate.id"
1;1;"Yoann";"MARQUES";"2013-05-15";"General Manager";1;90001;"2013-01-01";55000;264;416;2;;;1;3;3;90001;"17|54|61|76";94;119;;"M. MARQUES";"06.38.80.71.99";
2;2;"Lucy";"ROBERT";"2013-05-15";"Executive Assistant";1;90002;"2013-01-02";35000;168;411;1;;3;1;5;2;90002;"17|35|50";"94|85";102;;"M. ROBERT";"06.45.71.73.99";
3;1;"Lucas";"RICHARD";"2013-05-15";"Service Dept. Manager";2;90003;"2013-01-03";45000;216;415;2;416;;1;2;2;90003;"61|35|14|10|51|76";94;"108";;"M. RICHARD";"06.72.59.59.99";
4;1;"Daniel";"SILVA";"2013-05-15";"Project Manager";2;90004;"2013-01-04";40000;192;410;2;410;;1;3;3;90004;"51|61|84|25|76";"94|89";107;;"M. SILVA";"06.16.75.93.99";
5;1;"Charles";"MARTIN";"2013-05-15";"Consultant";2;90005;"2013-01-05";35000;168;411;2;415;;1;2;2;90005;"66|25|18|36|37|38";94;110;;"M. MARTIN";"06.67.89.42.99";
6;1;"Kevin";"DEMOERP";"2013-05-15";"Sales Dept. Manager";3;90006;"2013-01-06";45000;216;415;2;416;;1;2;2;90006;"17|54|61|45|76";94;115;;"M. FERRER";"06.12.69.26.99";
7;1;"Charles";"DEMOCRM";"2013-05-15";"Salesman";3;90007;"2013-01-07";37000;178;414;1;;8;1;1;1;90007;"36|16|45|50|28";94;103;;"Mme FERRAND";"06.13.27.34.99";
8;1;"Tony";"RAYMOND";"2013-05-15";"Salesman";3;90008;"2013-01-08";37000;178;414;2;415;;1;1;1;90008;"81|54|82|50|51";94;103;;"Mme RAYMOND";"06.68.35.26.99";
9;1;"Thomas";"LAMY";"2013-05-15";"Salesman";3;90009;"2013-01-09";37000;178;414;2;415;;1;1;1;90009;"81|82|54|50|51";94;103;;"Mme LAMY";"06.42.78.91.99";
10;2;"Anne";"GIRAULT";"2013-05-15";"Salesman";3;90010;"2013-01-10";37000;178;414;2;415;;1;1;1;90010;"79|54";94;103;;"Mme GIRAULT";"06.15.32.98.99";
11;1;"Dimitri";"GEOFFROY";"2013-05-15";"Salesman";3;90011;"2013-01-11";37000;178;414;2;415;;1;2;2;90011;"54|16|79";94;103;;"Mme GEOFFROY";"06.34.82.82.99";
12;1;"Alex";"DAVID";"2013-05-15";"Purch/Stock Manager";4;90012;"2013-01-12";45000;216;415;2;416;;1;1;1;90012;"2|54";94;113;;"Mme DAVID";"06.62.85.95.99";
13;1;"William";"ANDRE";"2013-05-15";"Production Manager";5;90013;"2013-01-13";45000;216;415;2;416;;1;2;2;90013;"61|4|7|43";94;108;;"Mme ANDRE";"06.52.61.99.99";
14;1;"David";"MAURIN";"2013-05-15";"Support Manager";6;90014;"2013-01-14";45000;216;415;2;416;;1;1;1;90014;"17|25|61|14|36|62|76";94;108;;"Mme MAURIN";"06.58.20.91.99";
15;1;"Cyril";"MARCHAL";"2013-05-15";"Technician Level 1";6;90015;"2013-01-15";25000;120;412;2;415;;1;4;1;90015;"4|25|36|43|62";94;"132";;"Mme MARCHAL";"06.95.76.72.99";
16;1;"Robin";"COSTA";"2013-05-15";"Technician Level 2";6;90016;"2013-01-16";30000;144;413;2;415;;1;4;1;90016;"4|25|36|37|38|43|62";94;"132";;"Mme COSTA";"06.88.63.54.99";
17;1;"Romane";"COLIN";"2013-05-15";"HR Manager";7;90017;"2013-01-17";45000;216;415;2;416;;1;1;1;90017;"17|67|50";"94|87";139;;"Mme COLIN";"06.89.23.47.99";
18;2;"Victoria";"LOUIS";"2013-05-15";"Accountant";8;90018;"2013-01-18";45000;216;415;2;416;;1;2;2;90018;"18|22";94;114;;"Mme LOUIS";"06.20.14.35.99";
