"code";"name";"password";"group.code";"language";"homeAction";"importId";"companySet.importId";"activeCompany.id";"partner.importId";"teamSet.importId";"employee.importId";"activeTeam.importId";"picture_fileName"
"admin";"Admin";"admin";"admins";"en";;1;"1";1;90000;4;;4;"img/user/1033_128px_en.png"
"demo";"Demo";"demo";"users";"en";;2;"1";1;90000;4;;4;"img/user/1033_128px_en.png"
"psdt";"Yoann MARQUES";"psdt";"MNGT";"en";;3;"1";1;90001;4;1;4;"img/user/1033_128px_en.png"
"assist";"Lucy ROBERT";"assist";"MNGT";"en";;4;"1";1;90002;4;2;4;"img/user/1033_128px_en.png"
"projdir";"Lucas RICHARD";"projdir";"MNGT";"en";;5;"1";1;90003;4;3;4;"img/user/1033_128px_en.png"
"projmg";"Daniel SILVA";"projmg";"ERP";"en";;6;"1";1;90004;4;4;4;"img/user/1033_128px_en.png"
"consultant";"Charles MARTIN";"consultant";"CST";"en";;7;"1";1;90005;4;5;4;"img/user/1033_128px_en.png"
"demoerp";"Kevin DEMOERP";"demoerp";"ERP";"en";"saleman.dashboard.view.sample";8;"1";1;90006;4;6;4;"img/user/1033_128px_en.png"
"democrm";"Charles DEMOCRM";"democrm";"CRM";"en";"crm.opportunities.dashboard.2.view";9;"1";1;90007;1;7;1;"img/user/1033_128px_en.png"
"smn2";"Tony RAYMOND";"smn2";"SALE";"en";;10;"1";1;90008;1;8;1;"img/user/1033_128px_en.png"
"sms1";"Thomas LAMY";"sms1";"SALE";"en";;11;"1";1;90009;2;9;2;"img/user/1033_128px_en.png"
"sms2";"Anne GIRAULT";"sms2";"SALE";"en";;12;"1";1;90010;2;10;2;"img/user/1012_128px_en.png"
"smi1";"Dimitri GEOFFROY";"smi1";"SALE";"en";;13;"1";1;90011;3;11;3;"img/user/1033_128px_en.png"
"purch";"Alex DAVID";"purch";"PURCH";"en";;14;"1";1;90012;4;12;4;"img/user/1033_128px_en.png"
"prod";"William ANDRE";"prod";"OPTS";"en";;15;"1";1;90013;4;13;4;"img/user/1033_128px_en.png"
"suppmg";"David MAURIN";"suppmg";"OPTS";"en";;16;"1";1;90014;4;14;4;"img/user/1033_128px_en.png"
"supp1";"Cyril MARCHAL";"supp1";"OPTS";"en";;17;"1";1;90015;4;15;4;"img/user/1033_128px_en.png"
"supp2";"Robin COSTA";"supp2";"OPTS";"en";;18;"1";1;90016;4;16;4;"img/user/1033_128px_en.png"
"hrmg";"Romane COLIN";"hrmg";"HRSC";"en";;19;"1";1;90017;4;17;4;"img/user/1012_128px_en.png"
"account";"Victoria LOUIS";"account";"ACCO";"en";;20;"1";1;90018;4;18;4;"img/user/1012_128px_en.png"
"client";"123 Service";"client";"CLT";"en";"wizard-client-view";21;"1";1;88;;;;"img/user/88_120px_en.png"
"supplier";"TOP Components";"supplier";"SUP";"en";"wizard-supplier-view";22;"1";1;148;;;;"img/user/148_128px_en.png"
