"importId";"partner_importId";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic"
1;20;"APOLLO ";6000;"191 RUE DE FRANCE  6000 NICE";"AAAAFRPPXXX";"FR7699111053182427705722824";"FR";"99111";"05318";"24277057228";"24";"FR7699111053182427705722824 AAAAFRPPXXX"
2;44;"BLUEBERRY TELECOM";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"AAAAFRPPXXX";"FR7699111053257084773754411";"FR";"99111";"05325";"70847737544";"11";"FR7699111053257084773754411 AAAAFRPPXXX"
3;70;"MASSON Logistics";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"AAAAFRPPXXX";"FR7699111054591684853901734";"FR";"99111";"05459";"16848539017";"34";"FR7699111054591684853901734 AAAAFRPPXXX"
4;77;"GERARD Solutions";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"AAAAFRPPXXX";"FR7699111052145220683269564";"FR";"99111";"05214";"52206832695";"64";"FR7699111052145220683269564 AAAAFRPPXXX"
5;88;"123 Services";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"BBBBFRPPXXX";"FR7699222029928602419478871";"FR";"99222";"02992";"86024194788";"71";"FR7699222029928602419478871 BBBBFRPPXXX"
6;132;"BOURGEOIS INDUSTRIE";94000;"CTRE CIAL LES ARCADES CLOS MONT D EST 93160 NOISY LE GRAND";"AAAAFRPPXXX";"FR7699111094109003512506606";"FR";"99111";"09410";"90035125066";"06";"FR7699111094109003512506606 AAAAFRPPXXX"
7;136;"Banque GUILLOT";95000;"207 RUE CARNOT  94120 NOISY LE GRAND";"CCCCFRPPXXX";"FR7699333024458280759476443";"FR";"99333";"02445";"82807594764";"43";"FR7699333024458280759476443 CCCCFRPPXXX"
8;1012;"PICARD Anna";75007;"65 AV DE SUFFREN  75007 PARIS";"AAAAFRPPXXX";"FR7699111050237613320114732";"FR";"99111";"05023";"76133201147";"32";"FR7699111050237613320114732 AAAAFRPPXXX"
9;1033;"MEYER Philippe";75019;"ZAC CLAUDE BERNARD 134 BD MAC DONALD 75019 PARIS";"CCCCFRPPXXX";"FR7699333031007628340661022";"FR";"99333";"03100";"76283406610";"22";"FR7699333031007628340661022 CCCCFRPPXXX"
90000;90000;"Axelor";77420;"55 BIS R DE PARIS  77200 TORCY";"CCCCFRPPXXX";"FR7699333020961963437764029";"FR";"99333";"02096";"19634377640";"29";"FR7699333020961963437764029 CCCCFRPPXXX"
