"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk"
0;;"Your Company";"view";"false"
"BAL";0;"Balance Sheet";"view";"false"
"A000";"BAL";"Fixed assets";"view";"false"
"A010";"A000";"Intangible assets";"view";"false"
1000;"A000";"Software";"fixed_assets";"false"
1100;"A000";"Software Depreciation";"fixed_assets";"false"
2000;"A000";"Patents & Trademarks";"fixed_assets";"false"
2100;"A000";"Patents & Trademarks Depreciation";"fixed_assets";"false"
"A020";"A000";"Tangible assets";"view";"false"
3000;"A020";"Fixtures and fittings";"fixed_assets";"false"
3100;"A020";"Fixtures and fittings Depreciation";"fixed_assets";"false"
4000;"A020";"Land and buildings";"fixed_assets";"false"
4100;"A020";"Land and buildings Depreciation";"fixed_assets";"false"
5000;"A020";"Motor vehicles";"fixed_assets";"false"
5100;"A020";"Motor vehicles Depreciation";"fixed_assets";"false"
6000;"A020";"Office equipment (inc computer equipment)";"fixed_assets";"false"
6100;"A020";"Office equipment (inc computer equipment) Depreciation";"fixed_assets";"false"
7000;"A020";"Plant and machinery";"fixed_assets";"false"
7100;"A020";"Plant and machinery Depreciation";"fixed_assets";"false"
"A030";"A000";"Investments";"view";"false"
"B000";"BAL";"Current assets";"view";"false"
"B010";"B000";"Stocks & WIP";"view";"false"
100100;"B010";"Stock";"current_assets";"true"
100200;"B010";"Work in Progress";"current_assets";"false"
100300;"B010";"Finished Goods";"current_assets";"false"
"B020";"B000";"Trade Debtors";"view";"false"
110000;"B020";"Debtors Control Account";"receivable";"true"
110100;"B020";"Sundry Debtors";"receivable";"true"
110200;"B020";"Other Debtors";"current_assets";"false"
"B030";"B000";"Investment current assets";"view";"false"
"B040";"B000";"Cash at bank and in hand";"view";"false"
120000;"B040";"Bank Accounts";"current_assets";"true"
120001;120000;"Cash";"account.data_account_type_cash";"false"
120002;120000;"Bank";"account.data_account_type_bank";"false"
124000;"B040";"Company Credit Card";"current_assets";"true"
"B050";"B000";"Prepayments and accrued income";"view";"false"
110300;"B050";"Prepayments";"current_assets";"false"
"C000";"BAL";"Current Liabilities";"view";"false"
"C010";"C000";"Creditors due within one year";"view";"false"
210000;"C010";"Creditors Control Account";"payable";"true"
210100;"C010";"Sundry Creditors";"current_liabilities";"false"
210200;"C010";"Other Creditors";"current_liabilities";"false"
220000;"C010";"Sales Tax Control Account";"output_tax";"false"
220100;"C010";"Purchase Tax Control Account";"input_tax";"false"
220200;"C010";"HMRC - VAT Account";"payable";"true"
220400;"C010";"Manual Adjustments ﾖ VAT";"current_liabilities";"false"
221000;"C010";"P.A.Y.E. & NI";"payable";"true"
222000;"C010";"Net Wages";"payable";"true"
223000;"C010";"Pension Fund";"payable";"true"
"C020";"C000";"Provisions for liabilities and charges";"view";"false"
215000;"C020";"Bad debt provision";"current_liabilities";"false"
"C030";"C000";"Accruals and deferred income";"view";"false"
210900;"C030";"Accruals";"current_liabilities";"false"
232000;"C030";"Corporation Tax";"payable";"true"
"D000";"BAL";"Non Current Liabilities";"view";"false"
"D010";"D000";"Creditors due after one year";"view";"false"
230000;"D010";"Loans";"current_liabilities";"false"
231000;"D010";"Hire Purchase";"current_liabilities";"false"
233000;"D010";"Mortgages";"current_liabilities";"false"
"E000";"BAL";"Capital & Reserves";"view";"false"
300000;"E000";"Called up share capital";"equity";"false"
301000;"E000";"Share premium account";"equity";"false"
302000;"E000";"Revaluation reserve";"equity";"false"
303000;"E000";"Other reserves";"equity";"false"
320000;"E000";"Profit and loss account";"profit_and_loss";"false"
"PNL";0;"Profit and Loss";"view";"false"
"F000";"PNL";"Turnover";"view";"false"
400000;"F000";"Sales category 1";"income";"false"
400100;"F000";"Sales category 2";"income";"false"
400200;"F000";"Sales category 3";"income";"false"
400300;"F000";"Sales category 4";"income";"false"
"G000";"PNL";"Cost of sale";"view";"false"
500000;"G000";"Cost of sale 1";"charge";"false"
500100;"G000";"Cost of sale 2";"charge";"false"
500200;"G000";"Cost of sale 3";"charge";"false"
500300;"G000";"Cost of sale 4";"charge";"false"
"H000";"PNL";"Distribution costs";"view";"false"
601000;"H000";"Distribution vehicles";"charge";"false"
602000;"H000";"Distribution salaries and wages";"charge";"false"
603000;"H000";"Shipping";"charge";"false"
"H010";"H000";"Advertising and promotions";"view";"false"
600000;"H010";"Marketing, POS";"charge";"false"
600100;"H010";"Exhibitions and events";"charge";"false"
600200;"H010";"PR";"charge";"false"
"I000";"PNL";"Administrative expenses";"view";"false"
"I010";"I000";"Salaries & wages";"view";"false"
700000;"I010";"Directors pension";"charge";"false"
700100;"I010";"Directors remuneration";"charge";"false"
701000;"I010";"Admin gross salaries";"charge";"false"
701100;"I010";"Management gross salaries";"charge";"false"
701200;"I010";"Employers NIC";"charge";"false"
702000;"I010";"Subcontractors payments";"charge";"false"
"I020";"I000";"Legal and professional costs";"view";"false"
761000;"I020";"Consultancy";"charge";"false"
762000;"I020";"Legal and professional charges";"charge";"false"
"I025";"I000";"Accountancy and audit";"view";"false"
760100;"I025";"Accounting";"charge";"false"
760200;"I025";"Auditing";"charge";"false"
"I030";"I000";"Property costs";"view";"false"
710000;"I030";"Rent and rates";"charge";"false"
711000;"I030";"Light, heat and power";"charge";"false"
712000;"I030";"Repairs, renewals and maintenance";"charge";"false"
"I040";"I000";"Vehicle expenses";"view";"false"
730000;"I040";"Car hire";"charge";"false"
730100;"I040";"Car fuel";"charge";"false"
730200;"I040";"Car maintenance";"charge";"false"
"I050";"I000";"Administration and office expenses";"view";"false"
750200;"I050";"Telephone";"charge";"false"
750300;"I050";"Internet & hosting";"charge";"false"
750400;"I050";"Mobiles";"charge";"false"
750500;"I050";"Stationery";"charge";"false"
750600;"I050";"Office consumables";"charge";"false"
750700;"I050";"Postage and Carriage";"charge";"false"
750800;"I050";"Books";"charge";"false"
750900;"I050";"Network costs";"charge";"false"
751000;"I050";"Software expenses";"charge";"false"
751100;"I050";"Other computer costs";"charge";"false"
751200;"I050";"Recruitment fees";"charge";"false"
751300;"I050";"Other admin expenses";"charge";"false"
850000;"I050";"Travel and subsistence";"charge";"false"
"I060";"I000";"Sundry expenses";"view";"false"
770000;"I060";"Exchange gains/losses";"charge";"false"
771000;"I060";"Other sundry expenses";"charge";"false"
785000;"I060";"Bad debts";"charge";"false"
791000;"I060";"Bank, credit card and other financial charges";"charge";"false"
820000;"I060";"Donations";"charge";"false"
830000;"I060";"Entertaining";"charge";"false"
840000;"I060";"Insurance";"charge";"false"
"I070";"I000";"Depreciation expense";"view";"false"
800000;"I070";"Intangible assets depn";"charge";"false"
800100;"I070";"Tangible assets depn";"charge";"false"
"J000";"PNL";"Other operating income";"view";"false"
900000;"J000";"Profits/Losses on disposals of assets";"income";"false"
"K000";"PNL";"Interest receivable and similar income:";"view";"false"
490000;"K000";"Bank Interest received";"income";"false"
491000;"K000";"Investment Interest received";"income";"false"
"M000";"PNL";"Tax on profit or loss on ordinary activities";"view";"false"
880000;"M000";"Corporation tax expense";"charge";"false"
"l000";"PNL";"Interest payable and similar charges";"view";"false"
790000;"l000";"Interest paid";"charge";"false"
