"key","message","comment","context"
"Accept","Keur goed",,
"Accepted","Aanvaard",,
"Actions","Acties",,
"Available qty","Beschikbaar qty",,
"Cancel","Annuleren",,
"Canceled","Geannuleerd",,
"Comments","Commentaar",,
"Estim. delivery date","Vermoedelijke leveringsdatum",,
"Generate all suppliers requests","Genereer alle verzoeken van leveranciers",,
"Generate suppliers purchase orders","Leveranciers inkooporders genereren",,
"Initial purchase order","Eerste bestelling",,
"Manage supplier consultations",,,
"Not accept","Niet accepteren",,
"Not accepted","Niet geaccepteerd",,
"Ordered quantity","Bestelde hoeveelheid",,
"Purchase order","Aankooporder",,
"Purchase order Details","Aankooporder Details",,
"Request","Aanvraag",,
"Requested","Gevraagd",,
"Show suppliers purchase orders","Toon leveranciers inkooporders",,
"State","Staat",,
"Submit","Aanmelden",,
"Submitted","Ingediend",,
"Supplier","Leverancier",,
"Supplier RFQ/PO","Leverancier RFQ/PO",,
"Supplier consultations",,,
"Supplier request","Aanvraag leverancier",,
"Supplier's consulting's request created","Het verzoek van de leverancier om advies opgesteld",,
"Suppliers orders' generation over","Leveranciers orders genereren meer dan",,
"Suppliers purchase","Leveranciers kopen",,
"Suppliers requests","Verzoeken van leveranciers",,
"Tools","Gereedschap",,
"Unit price","Eenheidsprijs",,
"WARNING : To Date must be after or equals to From Date","WAARSCHUWING: Tot datum moet na of gelijk zijn aan Vanaf datum",,
"Write to the supplier","Schrijf naar de leverancier",,
"suppliers requests","leveranciersaanvragen",,
