"importId";"titleSelect";"enterpriseName";"name";"firstName";"officeName";"jobTitle";"mobilePhone";"fixedPhone";"department";"fax";"website";"primaryAddress";"primaryPostalCode";"primaryCity.name";"primaryCountry.alpha3Code";"email";"description";"contactDate";"statusSelect";"isRecycled";"source.importId";"statusDescription";"sourceDescription";"campaign.id";"referredBy";"isDoNotCall";"partner.importId";"userImportId";"team.id"
1;1;"123 Services";"ROGER";"Jean-Marc";;"Chef de projet";"06.75.77.83.99";"03.32.87.70.99";;;;"40 RUE ABELARD";59000;"LILLE";"FRA";"j.roger@123-services.fr";;"TODAY[-6M]";4;"false";3;;"Publicité sur le journal";;;"false";88;9;1
2;1;"APP Solutions";"HUBERT";"Bastien";;"Responsable Achats";"06.14.35.90.99";"04.43.32.28.99";;;;"63 BD CARABACEL";"06000";"NICE";"FRA";"b.hubert@app-solutions.fr";;"TODAY[-5M]";3;"false";6;;;;;"true";;11;2
5;2;"KGM Media";"RAULT";"Christelle";;"PDG";"07.92.73.59.99";"03.95.84.56.99";;;;"43 RUE D'IENA";59000;"LILLE";"FRA";"c.rault@kgm-media.fr";;"TODAY[-4M]";3;"true";11;;;;;"false";;9;1
8;1;"BT Tech";"THIERY";"Marc";;"Consultant";"06.57.68.41.99";"04.47.55.90.99";;;;"40 BD GUSTAVE FAUBERT";63000;"CLERMONT-FERRAND";"FRA";"m.thiery@bttech.fr";;"TODAY[-3M]";2;"false";7;;;;;"true";;12;2
9;1;"B&X Web";"DURANT";"Étienne";;"PDG";"07.21.58.12.99";"04.44.58.23.99";;;;"29 BD LAFAYETTE";63000;"CLERMONT-FERRAND";"FRA";"e.durant@bx-web.fr";;"TODAY[-3M]";3;"true";10;;;;;"false";;11;2
10;2;"WIX Solutions";"BRAULT";"Claire";;"Gérant";"07.42.74.19.99";"01.72.69.41.99";;;;"350 RUE DU MARECHAL JUIN";77000;"MELUN";"FRA";"c.brault@wix-solutions.fr";;"TODAY[-2M]";2;"false";11;;;;;"true";;8;3
11;1;"Q&L Solutions";"LEBLANC";"Nicolas";;"Consultant";"06.52.98.52.99";"03.78.70.85.99";;;;"47 AVENUE DE LA PAIX";67000;"STRASBOURG";"FRA";"n.leblanc@ql-solutions.fr";;"TODAY[-2M]";2;"false";3;;;;;"false";;9;1
12;2;"GEH Systems";"GRANGER";"Julia";;"Acheteur";"06.30.46.63.99";"01.43.62.34.99";;;;"51 BD RICHARD WALLACE";92800;"PUTEAUX";"FRA";"j.granger@geh-systems.fr";;"TODAY[-2M]";3;"true";6;;;;;"true";;8;3
13;1;"BOWMAN Industries";"MEYER";"Thibaut";;"Chef de projet";"06.81.48.51.99";"04.39.30.14.99";;;;"83 RUE BELLE DE MAI";13003;"MARSEILLE";"FRA";"t.meyer@bowman-industries.fr";;"TODAY[-1M]";2;"false";7;;;;;"false";;12;2
14;1;"ILQ Industries";"GRAS";"Thomas";;"Chef de projet";"07.29.72.57.99";"04.70.18.47.99";;;;"54 RUE GARIBALDI";69003;"LYON";"FRA";"t.gras@ilq-industries.fr";;"TODAY[-1M]";3;"false";3;;;;;"true";;11;2
17;1;"MOSER Solutions";"GONÇALVES";"Rémy";;"Acheteur";"06.68.41.41.99";;;;;"22 BD FRANCOISE DUPARC";13004;"MARSEILLE";"FRA";"r.gonçalves@moser-solutions.fr";;"TODAY[-1M]";2;"false";6;;;;;"false";;11;2
18;2;"WEBSTER International";"COLLIN";"Jennifer";;"Responsable Achats";"07.12.53.44.99";"04.49.73.12.99";;;;"7 AVENUE LACASSAGNE";69003;"LYON";"FRA";"j.collin@webster-international.fr";;"TODAY[-1M]";3;"false";6;;;;;"true";;11;2
19;1;"Z&C Industries";"LUCAS";"Enzo";;"Chef de projet";"07.97.51.39.99";"01.86.74.56.99";;;;"1 AVENUE LINGENFELD";77200;"TORCY";"FRA";"e.lucas@zc-industries.fr";;"TODAY[-1M]";2;"false";7;;;;;"false";;8;3
20;1;"BALDWIN Industries";"GUYON";"Pierre";;"Consultant";"06.98.86.12.99";"03.52.33.75.99";;;;"20 RUE D'ESQUERMES";59000;"LILLE";"FRA";"p.guyon@baldwin-industries.fr";;"TODAY[-21d]";2;"false";10;;;;;"true";;9;1
21;2;"PORTER Services";"BLONDEL";"Laetitia";;"PDG";;"+1 305 507 7799";;;;"500 NORTH MIAMI AVENUE";"FL 33136";"MIAMI";"USA";"l.blondel@porter-services.com";;"TODAY[-14d]";5;"false";11;;;;;"false";;13;3
22;2;"BRYANT International";"CHARPENTIER";"Julie";;"Acheteur";"06.59.56.85.99";"04.40.46.91.99";;;;"30 AVENUE PAUL SANTY";69008;"LYON";"FRA";"j.charpentier@bryant-international.fr";;"TODAY[-14d]";3;"false";11;;;;;"true";;12;2
23;2;"TAB Technologies";"GUILBERT";"Laurie";;"Gérant";"06.30.39.14.99";;;;;"6 BD GAMBETTA";"06000";"NICE";"FRA";"l.guilbert@tab-technologies.fr";;"TODAY[-14d]";3;"false";7;;;;;"false";;11;2
24;2;"SHELTON Media";"GOMEZ";"Vanessa";;"Consultant";"07.45.54.63.99";"03.57.25.17.99";;;;"67 RUE DES POSTES";59000;"LILLE";"FRA";"v.gomez@shelton-media.fr";;"TODAY[-14d]";2;"false";6;;;;;"true";;9;1
25;2;"NKJ Technologies";"GOMES";"Anna";;"Chef de projet";"06.64.95.72.99";"05.92.37.61.99";;;;"33 RUE SAINT-GENES";33000;"BORDEAUX";"FRA";"a.gomes@nkj-technologies.fr";;"TODAY[-14d]";3;"true";7;;;;;"false";;11;2
26;2;"Oister Media";"VIAL";"Gaëlle";;"PDG";"06.34.27.36.99";"01.18.77.52.99";;;;"350 RUE DU MARECHAL JUIN";77000;"MELUN";"FRA";"g.vial@oistermedia.fr";;"TODAY[-14d]";3;"false";11;;;;;"true";;8;3
27;1;"S&S Conseil";"LE-GUEN";"Maxence";;"Gérant";"06.54.31.19.99";"02.96.70.99.99";;;;"53 RUE DE COULMIERS";44000;"NANTES";"FRA";"m.le-guen@ss-conseil.fr";;"TODAY[-14d]";3;"false";3;;;;;"false";;10;1
28;1;"CONNOLLY Solutions";"BILLARD";"Gael";;"PDG";"07.19.47.71.99";"03.98.40.84.99";;;;"11 RUE DE L'ARBRISSEAU";59000;"LILLE";"FRA";"g.billard@connolly-solutions.fr";;"TODAY[-7d]";2;"false";3;;;;;"true";;9;1
29;2;"GVS Services";"GUICHARD";"Amandine";;"Consultant";;"+44 20 7862 9989";;;;"76 WARDOUR STREET";"W1D 6Q4";"LONDON";"GBR";"a.guichard@gvs-services.co.uk";;"TODAY[-7d]";3;"false";6;;;;;"false";;8;3
30;1;"E&U Systems";"POTTIER";"John";;"Consultant";;"+1 310 228 1999";;;;"1500 SOUTH BURNSIDE AVENUE";"CA 90019";"LOS ANGELES";"USA";"j.pottier@eu-systems.com";;"TODAY[-7d]";5;"false";6;;;;;"true";;13;3
31;1;"IYT Services";"GAY";"Florent";;"Chef de projet";"06.70.60.31.99";"04.97.59.44.99";;;;"30 AVENUE PAUL SANTY";69008;"LYON";"FRA";"f.gay@iyt-services.fr";;"TODAY[-7d]";5;"false";3;;;;;"false";;11;2
32;2;"U&M Media";"MAS";"Amandine";;"Responsable Achats";"06.84.61.64.99";"03.75.68.95.99";;;;"19 BD VICTOR HUGO";59000;"LILLE";"FRA";"a.mas@um-media.fr";;"TODAY";1;"false";3;;;;;"true";;;1
33;1;"JENSEN International";"CHATELAIN";"Damien";;"Consultant";"06.15.41.96.99";;;;;"74 RUE BRUNET";13004;"MARSEILLE";"FRA";"d.chatelain@jensen-international.fr";;"TODAY";1;"false";11;;;;;"false";;;2
34;2;"ROWE Services";"FAVIER";"Anna";;"PDG";"06.48.82.69.99";"04.99.56.69.99";;;;"88 BD ARISTIDE BRIAND";63000;"CLERMONT-FERRAND";"FRA";"a.favier@rowe-services.fr";;"TODAY";1;"false";6;;;;;"true";;;2
35;1;"KAY Consulting";"DUPUIS";"Eric";;"Consultant";;"+1 310 745 1599";;;;"9000 WEST OLYMPIC BD";"CA 90212";"LOS ANGELES";"USA";"e.dupuis@kay-conseil.com";;"TODAY";1;"false";11;;;;;"false";;;3
36;2;"GRAY Technologies";"LE-GALL";"Sarah";;"Consultant";;"+44 161 247 6969";;;;"81 STREDFORD ROAD";"M15 4ZY";"MANCHESTER";"GBR";"s.le-gall@gray-technologies.co.uk";;"TODAY";1;"false";7;;;;;"true";;;3
