"code";"name";"password";"group.code";"language"
"admin";"Admin";"axadmin";"admins";"fr"
"demo";"Demo";"axdemo";"user";"fr"
"dirg";"Yoann MARQUES";"dirg";"erp";"fr"
"assist";"Lucy ROBERT";"assist";"erp";"fr"
"dirpro";"Lucas RICHARD";"dirpro";"erp";"fr"
"chefpro";"Daniel SILVA";"chefpro";"erp";"fr"
"consultant";"Charles MARTIN";"consultant";"consultant";"fr"
"demoerp";"Kevin DEMOERP";"demoerp";"erp";"fr"
"democrm";"Charles DEMOCRM";"democrm";"crm";"fr"
"comn";"Tony RAYMOND";"comn";"erp";"fr"
"coms1";"Thomas LAMY";"coms1";"erp";"fr"
"coms2";"Anne GIRAULT";"coms2";"erp";"fr"
"comi";"Dimitri GEOFFROY";"comi";"erp";"fr"
"achat";"Alex DAVID";"achat";"erp";"fr"
"dirinfo";"William ANDRE";"dirinfo";"erp";"fr"
"dirsupp";"David MAURIN";"dirsupp";"crm";"fr"
"supp1";"Cyril MARCHAL";"supp1";"crm";"fr"
"supp2";"Robin COSTA";"supp2";"crm";"fr"
"dirrh";"Romane COLIN";"dirrh";"erp";"fr"
"compta";"Victoria LOUIS";"compta";"erp";"fr"
"client";"123 Service";"client";"client";"fr"
