"key","message","comment","context"
"%",,,
"% Charging Back Purhcases",,,
"% consump",,,
"% consumption is the ratio of spent time on sold time on the task and all of it's sub tasks.",,,
"% of consumption",,,
"% of progress",,,
"% prog",,,
"% progress is the ratio of spent time on updated time on the task and all of it's sub tasks.",,,
"%s : You must configure Business project module for company %s",,,
"%s is in %s and should be in Days or Hours as they are defined in Business Project module configuration",,,
"- a linked contract is not at finished status",,,
"- a linked contract is still in progress",,,
"- a linked expense line is not invoiced",,,
"- a linked purchase order is not totally invoiced",,,
"- a linked purchase order is not totally invoiced or is not totally delivered",,,
"- a linked purchase order is not totally received",,,
"- a linked sale order is not totally invoiced",,,
"- a linked timesheet line is not invoiced",,,
"- a linked timesheet line that must be invoiced has not been invoiced",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",,,
"A deadline is required",,,
"Action",,,
"Add a new sale order line",,,
"Add selected lines",,,
"Address",,,
"Advance payment invoices",,,
"All open tasks",,,
"All tasks",,,
"All tasks (tree)",,,
"Allows to retrieve prices from a framework contract",,,
"Analytic distribution",,,
"Analytic distribution required on project",,,
"Analytic distribution template",,,
"Analytic move lines",,,
"Analytics",,,
"App",,,
"App business project",,,
"App project",,,
"AppBusinessProject.Blocking",,,
"Are you sure to unlink project from selected lines?",,,
"Are you sure you want to generate invoices for all selected affairs ?",,,
"Assigned to",,,
"Attach the Annex to the invoice",,,
"Automatic Project",,,
"Automatic invoicing",,,
"Backup project data to project history",,,
"Batch",,,
"Batches",,,
"Book resource",,,
"Business",,,
"Business (via business proj)",,,
"Business configuration",,,
"Business project",,,
"Business project batch",,,
"Business project batch filters",,,
"Business project batches",,,
"Business project configurations",,,
"Business project tasks",,,
"Business projects",,,
"Cancel",,,
"Canceled",,,
"Characteristics",,,
"Charging Back Purchases Type",,,
"Client partner",,,
"Closing project rule select",,,
"Code",,,
"Comments",,,
"Company",,,
"Completed paid project status",,,
"Compute project totals",,,
"Configurations",,,
"Confirm Purchase order generation",,,
"Consolidate all",,,
"Consolidate phase invoicing",,,
"Consolidate sub project when invoicing",,,
"Consolidate the phases",,,
"Content",,,
"Contract",,,
"Contracts",,,
"Convert",,,
"Convert into business project",,,
"Cost W.T.",,,
"Could not find the project id.",,,
"Could not find the project task id.",,,
"Create business project from this template",,,
"Create invoicing project",,,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Created by",,,
"Created on",,,
"Currency",,,
"Customer",,,
"Customer Invoice lines",,,
"Customer contracts",,,
"Customer deliveries",,,
"Customer invoice lines",,,
"Customer invoices",,,
"Customer referral",,,
"Date",,,
"Deadline",,,
"Default Invoicing Product for Projects",,,
"Default framework customer contract",,,
"Default framework supplier contract",,,
"Default percentage",,,
"Default product",,,
"Default value",,,
"Default value invoicing type",,,
"Deliveries",,,
"Depending on the chosen configuration, the user get an alert or an error message if:",,,
"Description",,,
"Details Lines (Tree)",,,
"Discount amount",,,
"Discount rate",,,
"Discount type",,,
"Display",,,
"Display expense lines on printing",,,
"Display timesheet lines on printing",,,
"Don't consolidate",,,
"Draft",,,
"Duration adjust for customer",,,
"Elements To Invoice",,,
"Employee",,,
"Empty",,,
"Enable task templates by product",,,
"Enable to invoice expense",,,
"Enable to invoice timesheet",,,
"Error while trying to save to project history for project %s.",,,
"Error while trying to transition between paid status for project %s.",,,
"Estimated Costs Total",,,
"Estimated Margin",,,
"Exclude tasks for invoicing",,,
"Expense",,,
"Expense Lines",,,
"Expense Lines Priority",,,
"Expense line",,,
