"key","message","comment","context"
"% Charging Back Purhcases","% Refacturation Achats",,
"Automatically Fill in","Remplir Automatiquement",,
"Business Folder","Dossier ",,
"Business Folders","Dossier ",,
"Business Project","Projet",,
"Business project","Projet",,
"Close","Fermer",,
"Closed","Fermé",,
"Code",,,
"Confirmed Orders Total","Total Commandes confirmées",,
"Cost price",,,
"Create Sale Order From Template","Créer Devis depuis Modèle",,
"Create Sales Order","Créer Devis",,
"Customer","Client",,
"Customer Flat Fee Purchases",,,
"Date",,,
"Date Opened","Ouvert le",,
"Date closed","Fermé le ",,
"Default Invoicing Product for Projects/Tasks","Produit de facturation pour Projets/Tâches",,
"Element To Invoice","Elément à facturer",,
"Elements To Invoice","Eléments à facturer",,
"Elements To Invoice Selection","Sélection éléments à facturer",,
"Estimated Costs Total","Total Coûts estimés",,
"Estimated Margin","Marge estimée",,
"Expense Lines Selection","Sélection Lignes de Note de frais",,
"Expenses","Notes de frais",,
"ExpensesTotal","Total Notes de frais",,
"Finalized Orders Total","Total Commandes Finalisées",,
"Financial Information","Information financières",,
"Flat Rate","Facturation au forfait",,
"Folder for Service Company","Dossier pour Compagnie Service",,
"Folder name","Nom dossier",,
"Generate Invoice","Générer Facture",,
"Imputable",,,
"Internal","Interne",,
"Invoice",,,
"Invoice generated","Facture générée",,
"Invoiced",,,
"Invoiced Orders Total","Total Commandes facturées",,
"Invoicing Folder","Facturation Projet",,
"Invoicing Folders","Facturation Projets",,
"Invoicing Type","Type de facturation",,
"Le projet/tâche sélectionné(e) ne contient pas de client",,,
"Le projet/tâche sélectionné(e) ne contient pas de responsable",,,
"Log Times","Temps Passés",,
"Log Times Selection","Sélection Temps Passés",,
"Margins","Marges",,
"Merci de rentrer un modèle de devis",,,
"No Line can be used for tasks","Aucune ligne de tâche ne peut être créée",,
"No Project selected","Aucun projet sélectionné",,
"None",,,
"Open","Ouvert",,
"Other Elements To Invoice","Autres éléments à facturer",,
"Overview",,,
"Planned Times Total","Total Temps planifiés",,
"Produced Turnover","CA Produit",,
"Product","Produit",,
"Production",,,
"Progress","Progression",,
"Project","Projet",,
"Project Tree","Arborescence",,
"Project/Task","Projet/Tâche",,
"Project/Task Selection","Sélection Projet/Tâche",,
"Project/task","Projet/Tâche",,
"Purchase Order Lines Selection","Sélection Lignes de Comm. Fournisseur",,
"Purchases","Achats",,
"Qty","Qte",,
"Real Costs Total","Total Coûts réels",,
"Real Margin (Invoicing)","Marge réelle (facturation)",,
"Real Margin (Time)","Marge réelle (Temps)",,
"Realised Times Total","Total Temps réalisés",,
"Sale Order","Comm. Client",,
"Sale Order Lines Selection","Sélection Lignes Comm. Client",,
"Sale order","Comm. Client",,
"Sale price",,,
"Sales","Ventes",,
"See Compute Details","Voir détails des calculs",,
"See DashBoard","Voir tableau de bord",,
"See Invoice Generated","Voir facture générée",,
"See Monthly Details","Voir détail mensuel",,
"Status","Statut",,
"Template","Modèle",,
"Time-based","Facturation aux temps passés",,
"To invoice",,,
"Total W.T.","Total HT",,
"Unit","Unité",,
"Unit price","Prix Unitaire",,
"User",,,
"User Opened","Ouvert par",,
"User Responsible","Responsable",,
"User closed","Fermé par",,
"Veuillez sélectionner un(e) projet/tâche",,,
"Vous n'avez pas sélectionné de compagnie sur le projet racine",,,
"Vous n'avez pas sélectionné de produit de facturation pour la tâche %s",,,
"Vous n'avez sélectionné aucun élément à facturer",,,
