"importId";"partner_importId";"ownerName";"iban";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic";"bank.importId"
1;20;"APOLLO ";"FR30002053182427705722899";"30002";"05318";24277057228;99;"FR30002053182427705722899 CRLYFRPPXXX";1
2;44;"BLUEBERRY TELECOM";"FR300020532570847737544101";"30002";"05325";70847737544;101;"FR300020532570847737544101 CRLYFRPPXXX";1
3;70;"MASSON Logistics";"FR300020545916848539017102";"30002";"05459";16848539017;102;"FR300020545916848539017102 CRLYFRPPXXX";1
4;77;"GERARD Solutions";"FR300020521452206832695103";"30002";"05214";52206832695;103;"FR300020521452206832695103 CRLYFRPPXXX";1
5;88;"123 Services";"FR300760299286024194788104";"30076";"02992";86024194788;104;"FR300760299286024194788104 NORDFRPPXXX";2
6;132;"BOURGEOIS INDUSTRIE";"FR300020941090035125066105";"30002";"09410";90035125066;105;"FR300020941090035125066105 CRLYFRPPXXX";1
7;136;"Banque GUILLOT";"FR300040244582807594764106";"30004";"02445";82807594764;106;"FR300040244582807594764106 BNPAFRPPXXX";3
8;1012;"PICARD Anna";"FR300020502376133201147108";"30002";"05023";76133201147;108;"FR300020502376133201147108 CRLYFRPPXXX";1
9;1033;"MEYER Philippe";"FR300040310076283406610109";"30004";"03100";76283406610;109;"FR300040310076283406610109 BNPAFRPPXXX";3
90000;90000;"Axelor";"FR300040209619634377640109";"30004";"02096";19634377640;109;"FR300040209619634377640109 BNPAFRPPXXX";3
