"importId";"name";"code";"invoiceLabel";"inOutSelect";"typeSelect";"canSelectInPaymentSession";"daysMarginOnPaySession";"accountingMethodSelect";"accountingTriggerSelect";"generateBankOrder";"consoBankOrderLinePerPartner";"orderTypeSelect";"bankOrderExportFolderPath";"bankOrderFileFormat.name";"interestRate"
1;"Enc. Autre";"ENC_OTH";"Autres moyens de paiement";1;1;;;;1;;;;;;"18.00"
2;"Enc. Prélèvement";"ENC_PRE";"Prélèvement";1;2;"true";7;1;1;;;;;;"18.00"
3;"Enc. TIP";"ENC_TIP";"TIP";1;3;;;;1;;;;;;"18.00"
4;"Enc. Espèces";"ENC_ESP";"Espèces";1;5;;;;1;;;;;;"18.00"
5;"Enc. Carte bancaire";"ENC_CB";"Carte bancaire";1;6;;;;1;;;;;;"18.00"
6;"Enc. Chèque";"ENC_CHQ";"Chèque";1;7;;;;1;;;;;;"18.00"
7;"Enc. Internet";"ENC_WEB";"Internet";1;8;;;;1;;;;;;"18.00"
8;"Enc. Virement";"ENC_VIR";"Virement";1;9;;7;1;1;;;;;;"18.00"
9;"Enc. TIP + Chèque";"ENC_TEC";"TIP + Chèque";1;4;;;;1;;;;;;"18.00"
10;"Dec. Prélèvement";"DEC_PRE";"Prélèvement";2;2;"true";7;1;1;;;;;;"18.00"
11;"Dec. TIP";"DEC_TIP";"TIP";2;3;;;;1;;;;;;"18.00"
12;"Dec. Espèces";"DEC_ESP";"Espèces";2;5;;;;1;;;;;;"18.00"
13;"Dec. Carte bancaire";"DEC_CB";"Carte bancaire";2;6;;;;1;;;;;;"18.00"
14;"Dec. Chèque";"DEC_CHQ";"Chèque";2;7;;;;1;;;;;;"18.00"
15;"Dec. Virement";"DEC_VIR";"Virement";2;9;"true";7;1;1;"true";;1;"/bankOrder/";"pain.001.001.02.sct - Virement SEPA";"18.00"
16;"Dec. Autres";"DEC_OTH";"Autres moyens de paiement";2;1;;;;1;;;;"/bankOrder/";;"18.00"
17;"Enc. LCR Direct Banque";"ENC_LCR";"LCR";1;10;;;;1;"true";"true";8;"/bankOrder/";"pain.xxx.cfonb160.dco - LCR";"18.00"
