"code";"name";"group.code";"language";"homeAction";"importId";"companySet.importId";"activeCompany.id";"partner.importId";"activeCashRegister.id";"employee.importId";"activeTeam.importId";"picture_fileName"
"admin";"Admin";"admins";"en";;1;1;1;90019;1;;4;"img/user/1033_128px.png"
"demo";"Demo";"users";"en";;2;1;1;90020;1;;4;"img/user/1033_128px.png"
"psdt";"Yoann MARQUES";"MNGT";"en";;3;1;1;90001;1;1;4;"img/user/1033_128px.png"
"assist";"Lucy ROBERT";"MNGT";"en";;4;1;1;90002;1;2;4;"img/user/1033_128px.png"
"projdir";"Lucas RICHARD";"MNGT";"en";;5;1;1;90003;1;3;4;"img/user/1033_128px.png"
"projmg";"Daniel SILVA";"ERP";"en";;6;1;1;90004;1;4;4;"img/user/1033_128px.png"
"consultant";"Charles MARTIN";"CST";"en";;7;1;1;90005;1;5;4;"img/user/1033_128px.png"
"demoerp";"Kevin DEMOERP";"ERP";"en";"saleman.dashboard.view.sample";8;1;1;90006;1;6;4;"img/user/1033_128px.png"
"democrm";"Charles DEMOCRM";"CRM";"en";"crm.opportunities.dashboard.2.view";9;1;1;90007;2;7;1;"img/user/1033_128px.png"
"smn2";"Tony RAYMOND";"SALE";"en";;10;1;1;90008;4;8;1;"img/user/1033_128px.png"
"sms1";"Thomas LAMY";"SALE";"en";;11;1;1;90009;3;9;2;"img/user/1033_128px.png"
"sms2";"Anne GIRAULT";"SALE";"en";;12;1;1;90010;5;10;2;"img/user/1012_128px.png"
"smi1";"Dimitri GEOFFROY";"SALE";"en";;13;1;1;90011;1;11;3;"img/user/1033_128px.png"
"purch";"Alex DAVID";"PURCH";"en";;14;1;1;90012;1;12;4;"img/user/1033_128px.png"
"prod";"William ANDRE";"OPTS";"en";;15;1;1;90013;1;13;4;"img/user/1033_128px.png"
"suppmg";"David MAURIN";"OPTS";"en";;16;1;1;90014;1;14;4;"img/user/1033_128px.png"
"supp1";"Cyril MARCHAL";"OPTS";"en";;17;1;1;90015;1;15;4;"img/user/1033_128px.png"
"supp2";"Robin COSTA";"OPTS";"en";;18;1;1;90016;1;16;4;"img/user/1033_128px.png"
"hrmg";"Romane COLIN";"HRSC";"en";;19;1;1;90017;1;17;4;"img/user/1012_128px.png"
"account";"Victoria LOUIS";"ACCO";"en";;20;1;1;90018;1;18;4;"img/user/1012_128px.png"
"customer";"123 Service";"CLT";"en";"wizard-customer-view";21;1;1;88;1;;;"img/user/88_120px.png"
"supplier";"TOP Components";"SUP";"en";"wizard-supplier-view";22;1;1;148;1;;;"img/user/148_128px.png"
