"key","message","comment","context"
"${fullName} variants","Варианты ${полное имя}",,
"%D : Day","%D : День",,
"%FM : Full Month (01, 02, 03, ...)","%FM: Полный месяц (01, 02, 03...)",,
"%M : Month (1, 2, 3, ...)","%M: Месяц (1, 2, 3,...)",,
"%WY : Week number","%WY : Номер недели",,
"%YY : Year (17)","%YY : Год (17)",,
"%YYYY : Full Year (2017)","%YYYYYY : Полный год (2017)",,
"%d anomalies.","и аномалии.",,
"%d anomaly.","и аномалию.",,
"%d record processed successfully,","%d запись успешно обработана.",,
"%d records processed successfully,","%d записи успешно обработаны.",,
"%s : Path to Birt template is incorrect","%s : Неправильный шаблон пути к берту",,
"%s : Please, configure a currency for the company %s","%s : Пожалуйста, сконфигурируйте валюту для компании в %s.",,
"%s SIRET Number required. Please configure SIRET Number for partner %s","%s Требуется номер SIRET. Пожалуйста, настройте номер SIRET для партнеров %s",,
"%s cell is not valid.",,,
"%s configuration file is not exist.",,,
"%s module does not exist.",,,
"%s row must not be empty.",,,
"(AUX)","(AUX)",,
"(L')","(L')",,
"(LA)","(ЛОС-АНДЖЕЛЕС)",,
"(LE)","(НО)",,
"(LES)","(LES)",,
"(LOS)","(LOS)",,
"* %s anomaly(ies)","*s anomaly(s anomaly(ies))",,
"* %s object(s) into alarm","*Объект(ы) включены в сигнал тревоги *",,
"+33000000000",,,
"+33100000000",,,
"- Not null :","- Не нуль:",,
"- Succeeded :","- Успешно:",,
"00",,,
"01",,,
"02",,,
"03",,,
"04",,,
"05",,,
"06",,,
"07",,,
"08",,,
"09",,,
"1",,,
"1 Month","1 месяц",,
"1 Year","1 год",,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",,,
"2",,,
"2 Months","2 месяца",,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",,,
"27",,,
"28",,,
"3",,,
"3 Months","3 месяца",,
"4",,,
"5",,,
"6",,,
"6 Months","6 месяцев",,
"7",,,
"8",,,
"9",,,
"<B>%s</B> not found","<B>%s</B> не найдено",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />","<a class='fa-google-plus' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"<span class='label label-warning'>Invalid IBAN</span>","<span class='label-warning' >Invalid IBAN</span>.",,
"<span class='label label-warning'>There is already a partner with this name.</span>","<span class='label-warning'>Напоминание ярлыка>Там уже есть партнер с таким именем.</span>.",,
"=","=",,
"A product of type service can't be procured from stock.","Продукт типа услуги не может быть приобретен со склада.",,
"A user with this login already exists.","Пользователь с таким логином уже существует.",,
"A.T.I. by default","А.Т.И. по умолчанию",,
"ARTMIN","АРТМИН",,
"AZTEC","AZTEC",,
"Account Number","Номер счета",,
"Account config","Конфигурация учетной записи",,
"Account management","Управление счетами",,
"Account management list","Список управления учетными записями",,
"Account managements","Управление счетами",,
"Account moves","Перемещение аккаунта",,
"Accounting","Бухгалтерский учет",,
"Accounting Exports","Учет экспорта",,
"Accounting configuration","Конфигурация учёта",,
"Accounting situation","Бухгалтерская ситуация",,
"Accounting situations","Учетные ситуации",,
"Accounts Configurations","Конфигурации счетов",,
"Accounts configuration","Настройка учетных записей",,
"Action","Действие",,
"Action name cannot be null.","Имя действия не может быть нулевым.",,
"Actions","Действия",,
"Activate bar code generation for products","Активировать генерацию штрих-кодов для продуктов",,
"Activate sending email","Активировать отправку электронной почты",,
"Active","Активный",,
"Active Team","Активная команда",,
"Active company","Активная компания",,
"Active users","Активные пользователи",,
"Activities","Мероприятия",,
"Add Guests","Добавлять гостей",,
"Additionnal","Добавочный",,
"Address","Адрес",,
"Address certified by QAS engine","Адрес, сертифицированный двигателем QAS",,
"Address details","Адрес",,
"Address list","Список адресов",,
"Address precisions","Точность адресации",,
"Addresses","Адреса",,
"Addresses validation","Проверка адреса",,
"Adjust History","Настроить историю",,
"Adjust period","Период корректировки",,
"Adjusting","Настройка",,
"Administration","Администрация",,
"Advance Fields Export","Экспорт авансовых полей",,
"Advanced Export","Расширенный экспорт",,
"Advanced export","Расширенный экспорт",,
"Advanced export line","Расширенная экспортная линия",,
"Advanced export lines","Расширенные экспортные линии",,
"Advanced exports","Расширенный экспорт",,
"Advanced synchronization","Расширенная синхронизация",,
"Afternoon From","Добрый день от",,
"Alarm","Сигнал",,
"Alarm Engine","Двигатель сигнализации",,
"Alarm Engine %s","Сигнал тревоги Двигатель %s",,
"Alarm Message","Аварийное сообщение",,
"Alarm Messages","Аварийные сообщения",,
"Alarm batch","Пакет сигналов тревоги",,
"Alarm batches","Пакеты сигналов тревоги",,
"Alarm engine","Двигатель сигнализации",,
"Alarm engine batch","Сигнал тревоги партии двигателя",,
"Alarm engine batches","Сигнал тревоги партии двигателей",,
"Alarm engines","Двигатели сигнализации",,
"Alarms","Сигнализации",,
"Alarms report :","Аварийный отчет :",,
"All Alarms","Все сигналы",,
"All Clients","Все клиенты",,
"All Employees","Все сотрудники",,
"All Enterprises","Все предприятия",,
"All Individuals","Все лица",,
"All Messages","Все сообщения",,
"All Prospects","Все перспективы",,
"All Suppliers","Все поставщики",,
"All day","Весь день",,
"All events","Все события",,
"All my calendars","Все мои календари",,
"All tasks","Все задачи",,
"All teams","Все команды",,
"Allow notifications to be sent by email","Разрешить отправку уведомлений по электронной почте",,
"Allow to force purchases quantities","Разрешить принудительное осуществление закупок в необходимом количестве",,
"Allow to force sales quantities","Разрешить принуждение к продаже в принудительном порядке",,
"Alpha-2 code (ISO)","Альфа-2 код (ISO)",,
"Alpha-3 code (ISO)","Альфа-3 код (ISO)",,
"Always A.T.I.","Всегда А.Т.И.",,
"Always W.T.","Всегда W.T.",,
"Amount/%","Сумма/%",,
"Analytics","Аналитика",,
"Anomalies","Аномалии",,
"Anomaly","Аномалия",,
"App base","База приложений",,
"Applicable dates","Применимые даты",,
"Application","Применение",,
"Application begin date","Дата начала подачи заявки",,
"Application end date","Дата окончания подачи заявки",,
"Application start Date","Дата запуска приложения",,
"Application type","Тип приложения",,
"Apply on","Применить на",,
"April","апрель",,
"Archived","Архивированный",,
"Are you sure wants to replace ?","Ты уверен, что хочешь заменить?",,
"Are you sure you want to start the import?","Вы уверены, что хотите начать импорт?",,
"Area name","Название района",,
"Article dimension","Размер статьи",,
"Article volume","Том статьи",,
"Artmin","Артмин",,
"Assigned to","Назначенный",,
"Assigned to user","Назначен пользователю",,
"At least one iban code you have entered for this partner is not valid. Here is the list of invalid codes : %s","По крайней мере, один код Талибана, который вы ввели для этого партнера, недействителен. Вот список недействительных кодов : %s",,
"Attached files","Вложенные файлы",,
"Attachment directory OR Application source does not exist","Каталог вложений ИЛИ ИЛИ Источник приложения не существует",,
"Attendees","Посетители",,
"Attributes","Атрибуты",,
"August","август",,
"Authority Partner","Полномочный партнер",,
"Authorization","Разрешение",,
"Availability","Наличие",,
"Available","В наличии",,
"Average Price","Средняя цена",,
"BBAN","BBAN",,
"BBan Key","BBan Key",,
"BIC","BIC",,
"BIC (Bank Identifier)","BIC (Bank Identifier)",,
"Back","Назад",,
"Balance","Баланс",,
"Bank","Банк",,
"Bank Code","Банковский код",,
"Bank Details","Банковские реквизиты",,
"Bank Details list","Список банковских реквизитов",,
"Bank Identifier Code","Банковский идентификационный код",,
"Bank Identifier Codes","Банковские идентификационные коды",,
"Bank Name","Название банка",,
"Bank accounts","Банковские счета",,
"Bank card","Банковская карта",,
"Bank details","Банковские реквизиты",,
"Bank order config.","Конфигурация банковского поручения.",,
"Bank payment config","Конфигурация банковских платежей",,
"Barcode","Штрих-код",,
"Barcode Type","Тип штрихкода",,
"Barcode format not supported","Формат штрих-кода не поддерживается",,
"Barcode type configuration","Настройка типа штрих-кода",,
"Barcode type configurations","Настройки типа штрих-кода",,
"Base Batch","Базовая партия",,
"Base batch","Базовая партия",,
"Base batches","Базовые партии",,
"Based on","Основываясь",,
"Batch","Пакет",,
"Batch %s unknown","Пакет %s неизвестно",,
"Batch calendar synchronization","Пакетная календарная синхронизация",,
"Batch code","Код партии",,
"Batch report:","Пакетный отчет:",,
"Batch service select","Выбор пакетной службы",,
"Batches","Пакеты",,
"Batchs","Пакеты",,
"Be aware that the address is already in use on other documents, do you still want to modify it ?","Помните, что адрес уже используется в других документах, вы все еще хотите изменить его?",,
"Bean is not an instance of","Бобы - это не пример того.",,
"Bill of materials","спецификация материалов",,
"Binding file","Связывающий файл",,
"Birt Template","Шаблон грязи",,
"Birt Template parameter","Параметр Birt Template (Шаблон бит)",,
"Birt Template parameters","Параметры шаблона бита",,
"Birt Templates","Шаблоны битов",,
"Birt template","Шаблон грязи",,
"Block until","Блокировка до",,
"Blocked","Заблокирован",,
"Blocking","Блокировка",,
"Blocking Type","Тип блокировки",,
"Blocking done by","Блокировка осуществляется",,
"Blocking follow-up List","Блокировка списка последующих действий",,
"Blocking reason","Причина блокировки",,
"Blocking reasons","Причины блокирования",,
"Blockings","Блокировки",,
"Boolean","булев",,
"Both currencies must be saved before currency rate apply","Обе валюты должны быть сохранены до применения валютного курса.",,
"Branch Identifier (Branch Code)","Идентификатор филиала (код филиала)",,
"Business Party Prefix (Bank Code)","Префикс делового партнера (код банка)",,
"Business Party Suffix (Location Code)","Суффикс деловой стороны (код местонахождения)",,
"Busy","Занят",,
"Buy","Купить",,
"Buy and produce","Покупка и производство",,
"CALENDAR_SERVER","КАЛЕНДАРЬ_СЕРВЕР",,
"CGP","ПКУ",,
"CHANDLER","ЧАНДЛЕР",,
"CID","УГОЛОВНЫЙ РОЗЫСК",,
"CODABAR","КОДАБАР",,
"CODE_128","CODE_128",,
"CODE_39","CODE_39",,
"COG","ГЕНЕРАЛЬНЫЙ СЕКРЕТАРЬ",,
"CRM config","конфигурация CRM",,
"CSV","РЕЗЮМЕ",,
"CSV File","CSV-файл",,
"Calculation method","Метод расчета",,
"Calendar","Календарь",,
"Calendar Configurations","Конфигурации календаря",,
"Calendar User","Пользователь календаря",,
"Calendar Users","Пользователи календаря",,
"Calendar configuration","Настройка календаря",,
"Calendar configuration not valid","Настройка календаря недействительна",,
"Calendar configurations","Настройки календаря",,
"Calendar permission","Разрешение на календарь",,
"Calendar permissions","Разрешения на календарь",,
"Calendar synchronization","Синхронизация календаря",,
"Calendars","Календари",,
"Calendars Configuration","Конфигурация календарей",,
"Calendars are empty, there is no event to synchronize.",,,
"Calendars permissions","Календарские разрешения",,
"Call","Звонок",,
"Calling code","Код вызова",,
"Can't generate draft sequence number on an unsaved record.","Невозможно сгенерировать черновой номер последовательности на несохраненной записи.",,
"Cancel Reason","Отменить причину",,
"Cancel Reasons","Отмена Причины отказа",,
"Canton","Кантон",,
"Canton Code","Кантонский код",,
"Cantons","Кантоны",,
"Can’t convert into an individual partner from scratch.","Невозможно превратить в индивидуального партнера с нуля.",,
"Carrier","Перевозчик",,
"Cash","Наличность",,
"Catalog","Каталог",,
"Categories tree",,,
"Categorization","Категоризация",,
"Category","Категория",,
"Center","Центр",,
"Change password","Изменить пароль",,
"Change password?","Сменить пароль?",,
"Chart","Диаграмма",,
"Check Duplicate","Проверка Дублирование",,
"Check duplicate","Проверьте дубликат",,
"Check expiration date at stock move realization","Проверить срок годности при реализации переезда акций",,
"Check query","Проверьте запрос",,
"Cheque","Чек",,
"Choose","Выберите",,
"Cities","Города",,
"City","Город",,
"Civil Year","Гражданский год",,
"Civil year already exist for ${fromDate.format(java.time.format.DateTimeFormatter.ofPattern('dd/MM/yyyy'))} and ${toDate.format(java.time.format.DateTimeFormatter.ofPattern('dd/MM/yyyy'))}.","Гражданский год уже существует для ${fromDate.format(java.time.format.DateTimeFormatter.ofPattern('dd/MM/yyyy'))} и ${toDate.format(java.time.format.DateTimeFormatter.ofPattern('dd/MM/yyyyyy'))}.",,
"Civility","Вежливость",,
"Classic products",,,
"Clear selection","Четкий выбор",,
"Client","Клиент",,
"Client portal access","Доступ к клиентскому порталу",,
"ClientSituation.12MonthTurnover","Оборот за 12 миль Оборот за месяц",,
"ClientSituation.address","Адрес",,
"ClientSituation.avgOrderAmt","Никогда. Заказ амты",,
"ClientSituation.commercialData","Коммерческие данные",,
"ClientSituation.contact","Контакт",,
"ClientSituation.contacts","Контакты",,
"ClientSituation.custRef","Похищение. Ссылка",,
"ClientSituation.date","Дата",,
"ClientSituation.dueBalance","Надлежащий баланс",,
"ClientSituation.dueDate","Срок выполнения",,
"ClientSituation.email","Электронная почта",,
"ClientSituation.fax","Факс",,
"ClientSituation.financialData","Финансовые данные",,
"ClientSituation.fixedPhone","Стационарный телефон",,
"ClientSituation.followedBy","За ним следуют",,
"ClientSituation.function","Функция",,
"ClientSituation.invoices","Счета",,
"ClientSituation.lastCall","Последний звонок",,
"ClientSituation.lastMeetingDate","Последняя дата встречи",,
"ClientSituation.lastOrder","Последний заказ",,
"ClientSituation.mobile","Мобильный",,
"ClientSituation.name","Имя",,
"ClientSituation.nextMeetingDate","Дата следующего собрания",,
"ClientSituation.nextOutgoingCall","Следующий исходящий звонок",,
"ClientSituation.num","N°",,
"ClientSituation.orderFreq","Заказ Фрек.",,
"ClientSituation.orders","Котировки/заказы",,
"ClientSituation.phone","Телефон",,
"ClientSituation.recoverableBalance","Восстанавливаемый баллон.",,
"ClientSituation.refDoc","Ссылка Док",,
"ClientSituation.reference","Ссылка",,
"ClientSituation.status","Статус",,
"ClientSituation.team","Команда",,
"ClientSituation.title","ПОТРЕБИТЕЛЬСКАЯ СИТУАЦИЯ",,
"ClientSituation.toInvoice","Для выставления счета",,
"ClientSituation.toPay","Оплатить",,
"ClientSituation.totalATI","Всего А.Т.И.",,
"ClientSituation.totalBalance","Общий баланс",,
"ClientSituation.totalHT","Всего Г.Т.",,
"ClientSituation.totalTax","Общий налог",,
"ClientSituation.website","Веб-сайт",,
"ClientSituation.with","С",,
"Close period","Период закрытия",,
"Closed","Закрытый",,
"Closing a period brings irrevocable integration of a move in Moves book","Закрытие периода влечет за собой необратимую интеграцию движения в книгу Moves",,
"Closure date","Дата закрытия",,
"Code","Код",,
"Code length should be greater than 2.","Длина кода должна быть больше 2.",,
"Coeff","Кофе",,
"Coeff.","Кофе.",,
"Coefficient for bonus","Коэффициент для начисления бонусов",,
"Coefficient for leave","Коэффициент для отпуска",,
"Color code (hex)","Цветовой код (шестнадцатеричный)",,
"Comments","Комментарии",,
"Companies","Компании",,
"Companies associated to","Компании, связанные",,
"Company","Компания",,
"Company Footer","Компания Нижний колонтитул",,
"Company Header","Заголовок компании",,
"Company PhoneBook","Телефонная книга компании",,
"Company department","отдел компании",,
"Company departments","Подразделения компании",,
"Company phoneBook","Телефонная книга компании",,
"Complement","Дополнение",,
"Component","Компонент",,
"Compute Discount Separately","Вычислить скидку отдельно",,
"Compute Method for Discounts","Расчетный метод расчета скидок",,
"Configuration","Конфигурация",,
"Configuration file",,,
"Configurations","Конфигурации",,
"Configurator","Конфигуратор",,
"Confirm","Подтвердить",,
"Confirm password","Подтвердить пароль",,
"Confirm password doesn't match with new password.","Подтвердите, что пароль не совпадает с новым паролем.",,
"Connect","Подключиться",,
"Connection settings","Настройки подключения",,
"Connection successful","Подключение успешно",,
"Contact","Контакт",,
"Contact Dashboard","Контактная панель",,
"Contact Information","Контактная информация",,
"Contact PhoneBook","Контактная телефонная книга",,
"Contact address","Контактный адрес",,
"Contact details","Контактная информация",,
"Contacts","Контакты",,
"Contains","Содержит",,
"Content","Содержание",,
"Contenu","Контену",,
"Contract Manager","Менеджер по контрактам",,
"Convert","Преобразовать",,
"Convert demo file","Конвертировать демонстрационный файл",,
"Convert into an individual partner","Преобразование в индивидуального партнера",,
"Copy","Копировать",,
"Cost price","Себестоимость",,
"Cost type","Тип затрат",,
"Costs","Затраты",,
"Countries","Страны",,
"Country","Страна",,
"Country Code","Код страны",,
"Country name","Название страны",,
