"importId";"partnerTypeSelect";"name";"firstName";"registrationCode";"partnerCategory";"industrySector";"fixedPhone";"mobilePhone";"mainAddress";"emailAddress";"isContact"
20;1;"APOLLO";;;"SME";4;"04.35.79.88.99";;62;"info@apollo.fr";"false"
21;2;"MICHEL";"Loic";;;;"04.31.45.39.99";"06.41.66.37.99";62;"l.michel@apollo.fr";"true"
22;2;"GARCIA";"Daniel";;;;"04.19.14.89.99";"06.89.42.54.99";62;"d.garcia@apollo.fr";"true"
23;2;"DAVID";"Laurent";;;;"04.73.26.45.99";"07.95.48.27.99";62;"l.david@apollo.fr";"true"
44;1;"BLUEBERRY TELECOM";;;"SME";22;"04.73.67.88.99";;13002;"info@blueberry-telecom.fr";"false"
45;2;"ROUSSEAU";"Élisabeth";;;;"04.86.61.79.99";"06.14.62.29.99";13001;"e.rousseau@blueberry-telecom.fr";"true"
46;2;"BLANC";"Bernard";;;;"04.32.13.60.99";"07.83.63.98.99";13001;"b.blanc@blueberry-telecom.fr";"true"
70;1;"MASSON SA";;;"SME";21;"05.44.40.54.99";;311;"contact@masson.fr";"false"
71;2;"MASSON";"Xavier";;;;"05.15.60.89.99";"07.76.18.65.99";311;"x.masson@masson.fr";"true"
72;2;"SANCHEZ";"Catherine";;;;"05.27.69.43.99";"07.59.17.99.99";311;"c.sanchez@masson.fr";"true"
77;1;"GERARD Solutions";;;"SME";4;"05.22.62.48.99";;330;"contact@gerard-solutions.fr";"false"
78;2;"GERARD";"Fabrice";;;;"05.12.44.47.99";"06.90.75.97.99";330;"f.gerard@gerard-solutions.fr";"true"
79;2;"NGUYEN";"Xavier";;;;"05.57.53.68.99";"06.97.90.53.99";330;"x.nguyen@gerard-solutions.fr";"true"
88;1;"123 Services";;;"SME";7;"03.35.52.63.99";;590;"contact@123-services.fr";"false"
89;2;"ROGER";"Jean Marc";;;;"03.83.87.87.99";"06.75.77.83.99";590;"j.roger@123-services.fr";"true"
90;2;"ROCHE";"Dominique";;;;"03.47.63.91.99";"07.42.32.10.99";590;"d.roche@123-services.fr";"true"
91;2;"ROY";"Thierry";;;;"03.50.79.78.99";"06.64.23.62.99";590;"t.roy@123-services.fr";"true"
132;1;"BOURGEOIS INDUSTRIE";;;"SME";17;"01.97.37.77.99";;940;"info@bourgeois-industries.fr";"false"
133;2;"BOURGEOIS";"Luc";;;;"01.42.72.29.99";"06.86.42.41.99";940;"l.bourgeois@bourgeois-industries.fr";"true"
134;2;"ARAFI";"Zohra";;;;"01.72.29.71.99";"06.43.52.92.99";940;"z.arafi@bourgeois-industries.fr";"true"
