"module";"object";"view";"field";"help"
"axelor-crm";"Event";"event-form";"disponibilitySelect";"Permet de préciser si l'on veut apparaître comme étant occupé ou disponible (dans le calendrier) pendant la durée de l'évènement. "
"axelor-crm";"Event";"event-form";"visibilitySelect";"Permet de préciser si cet évènement sera consultable par les autres utilisateurs ou si celui-ci est réservé à celui auquel il est assigné. "
"axelor-crm";"Event";"event-form";"relatedToSelect";"Permet de sélectionner un autre type d'objet (commande, évènement, projet) auquel lier l'évènement. "
"axelor-crm";"EventReminder";"event-reminder-form";"assignToSelect";"Permet de choisir si le rappel sera envoyé seulement à l'utilisateur actif,  à l'utilisateur actif et les invités de l'évènement, ou à tout le monde. "
"axelor-crm";"EventReminder";"event-reminder-form";"duration";"La durée va dépendre du type de durée choisie et se détermine à partir de la date de début. Par exemple, si vous avez choisi comme type de durée ""Minutes"", et que vous voulez recevoir un rappel 15 minutes avant le début de l'évènement, vous devez indiquer 15 dans durée."
"axelor-crm";"EventReminder";"event-reminder-form";"durationTypeSelect";"Permet de choisir le type de durée souhaité pour le rappel (minutes, heures, jours, semaines). Si vous souhaitez un rappel 2 heures avant le début de l'évènement, vous devez choisir ""heures"", et indiquer ""2"" dans le champs ""Durée""."
"axelor-crm";"Lead";"lead-form";"statusSelect";"Permet de renseigner l'avancement de la piste dans le processus de réalisation (Nouveau / Assigné / En cours / Converti / Recyclé / Perdu )"
"axelor-crm";"Lead";"lead-form";"isDoNotCall";"Case à cocher permettant de préciser que le contact ne souhaite pas être contacté par téléphone."
"axelor-crm";"Lead";"lead-form";"isDoNotSendEmail";"Case à cocher permettant de préciser que le contact ne souhaite pas recevoir d'emails."
"axelor-crm";"Lead";"lead-form";"source";"Permet de sélectionner la provenance du prospect à des fins statistiques. La liste de provenance est paramétrable dans les configurations du CRM."
"axelor-crm";"Lead";"lead-form";"referredBy";"Permet de renseigner dans le cas de bouche à oreille, la personne ayant référé ce prospect. "
"axelor-crm";"Opportunity";"opportunity-form";"opportunityType";"Permet de renseigner si cette opportunité provient d'un besoin créé pour le client (Nouveau), un besoin existant du client (Existant), ou un besoin récurrent du client. (Récurrent)"
"axelor-crm";"Opportunity";"opportunity-form";"salesStageSelect";"Permet de renseigner à quelle étape du processus de vente l'opportunité se situe."
"axelor-crm";"Opportunity";"opportunity-form";"probability";"Probabilité estimée de réussite de la conversion de l'opportunité en affaire. Ce champ est particulièrement important afin de réaliser des estimations de chiffre d'affaire. De plus, les opportunités peuvent être prises en compte lors de la gestion du réapprovisionnement de stock, ainsi ces probabilités permettent une meilleure gestion de ces réapprovisionnements. "
"axelor-crm";"Opportunity";"opportunity-form";"amount";"Montant estimé du chiffre d'affaire potentiel de l'opportunité. "
"axelor-crm";"Opportunity";"opportunity-form";"bestCase";"Montant maximal estimé de chiffre d'affaire potentiel de l'opportunité. "
"axelor-crm";"Opportunity";"opportunity-form";"worstCase";"Montant minimal estimé de chiffre d'affaire potentiel de l'opportunité. "
"axelor-crm";"TargetConfiguration";"target-configuration-form";"user";"Permet de sélectionner un utilisateur à qui l'objectif est assigné. "
"axelor-crm";"TargetConfiguration";"target-configuration-form";"team";"Permet de sélectionner une équipe à qui l'objectif est assigné. "
"axelor-crm";"TargetConfiguration";"target-configuration-form";"periodTypeSelect";"Permet de sélectionner une période d'activité pour un objectif. Ainsi, si l'on créé un objectif sur une période hebdomadaire mais se déroulant sur 6 mois, on disposera chaque semaine automatiquement d'un nouvel objectif reprenant les variables configurées."
