"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"name";"firstName";"fullName";"titleSelect";"languageSelect";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"paymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName"
20;1;"false";"true";"true";"APOLLO";;"APOLLO";;"fr";62;"info@apollo.fr";"04.35.79.88.99";;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;4;11;2;5;;"img/partner/20_120px_fr.png"
21;2;"true";"false";"false";"MICHEL";"Loic";"MICHEL Loic";1;"fr";62;"l.michel@apollo.fr";"04.31.45.39.99";"06.41.66.37.99";;;;;;;;1;;;20;;;;;;;;
22;2;"true";"false";"false";"GARCIA";"Daniel";"GARCIA Daniel";1;"fr";62;"d.garcia@apollo.fr";"04.19.14.89.99";"06.89.42.54.99";;;;;;;;1;;;20;;;;;;;;
23;2;"true";"false";"false";"DAVID";"Laurent";"DAVID Laurent";1;"fr";62;"l.david@apollo.fr";"04.73.26.45.99";"07.95.48.27.99";;;;;;;;1;;;20;;;;;;;;
44;1;"false";"true";"true";"BLUEBERRY TELECOM";;"BLUEBERRY TELECOM";;"fr";13002;"info@blueberry-telecom.fr";"04.73.67.88.99";;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;"img/partner/44_120px_fr.png"
45;2;"true";"false";"false";"ROUSSEAU";"Élisabeth";"ROUSSEAU Élisabeth";2;"fr";13001;"e.rousseau@blueberry-telecom.fr";"04.86.61.79.99";"06.14.62.29.99";;;;;;;;1;;;44;;;;;;;;
46;2;"true";"false";"false";"BLANC";"Bernard";"BLANC Bernard";1;"fr";13001;"b.blanc@blueberry-telecom.fr";"04.32.13.60.99";"07.83.63.98.99";;;;;;;;1;;;44;;;;;;;;
70;1;"false";"true";"true";"MASSON SA";;"MASSON SA";;"fr";311;"contact@masson.fr";"05.44.40.54.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;1;2;21;;;3;;"img/partner/70_120px_fr.png"
71;2;"true";"false";"false";"MASSON";"Xavier";"MASSON Xavier";1;"fr";311;"x.masson@masson.fr";"05.15.60.89.99";"07.76.18.65.99";;;;;;;;1;;;70;;;;;;;;
72;2;"true";"false";"false";"SANCHEZ";"Catherine";"SANCHEZ Catherine";2;"fr";311;"c.sanchez@masson.fr";"05.27.69.43.99";"07.59.17.99.99";;;;;;;;1;;;70;;;;;;;;
77;1;"false";"true";"true";"GERARD Solutions";;"GERARD Solutions";;"fr";330;"contact@gerard-solutions.fr";"05.22.62.48.99";;"emailpaper";8;2;"SME";"EUR";;;1;411100;401100;;2;1;4;12;2;12;;"img/partner/77_128px_fr.png"
78;2;"true";"false";"false";"GERARD";"Fabrice";"GERARD Fabrice";1;"fr";330;"f.gerard@gerard-solutions.fr";"05.12.44.47.99";"06.90.75.97.99";;;;;;;;1;;;77;;;;;;;;
79;2;"true";"false";"false";"NGUYEN";"Xavier";"NGUYEN Xavier";1;"fr";330;"x.nguyen@gerard-solutions.fr";"05.57.53.68.99";"06.97.90.53.99";;;;;;;;1;;;77;;;;;;;;
88;1;"false";"true";"true";"123 Services";;"123 Services";;"fr";590;"contact@123-services.fr";"03.35.52.63.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;3;2;7;9;1;1;;"img/partner/88_120px_fr.png"
89;2;"true";"false";"false";"ROGER";"Jean Marc";"ROGER Jean Marc";1;"fr";590;"j.roger@123-services.fr";"03.83.87.87.99";"06.75.77.83.99";;;;;;;;1;;;88;;;;;;;;
90;2;"true";"false";"false";"ROCHE";"Dominique";"ROCHE Dominique";1;"fr";590;"d.roche@123-services.fr";"03.47.63.91.99";"07.42.32.10.99";;;;;;;;1;;;88;;;;;;;;
91;2;"true";"false";"false";"ROY";"Thierry";"ROY Thierry";1;"fr";590;"t.roy@123-services.fr";"03.50.79.78.99";"06.64.23.62.99";;;;;;;;1;;;88;;;;;;;;
132;1;"false";"true";"true";"BOURGEOIS INDUSTRIE";;"BOURGEOIS INDUSTRIE";;"fr";940;"info@bourgeois-industries.fr";"01.97.37.77.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;2;1;17;8;3;2;;"img/partner/132_120px_fr.png"
133;2;"true";"false";"false";"BOURGEOIS";"Luc";"BOURGEOIS Luc";1;"fr";940;"l.bourgeois@bourgeois-industries.fr";"01.42.72.29.99";"06.86.42.41.99";;;;;;;;1;;;132;;;;;;;;
134;2;"true";"false";"false";"ARAFI";"Zohra";"ARAFI Zohra";2;"fr";940;"z.arafi@bourgeois-industries.fr";"01.72.29.71.99";"06.43.52.92.99";;;;;;;;1;;;132;;;;;;;;
135;2;"true";"false";"false";"CHARLES";"Jeannot";"CHARLES Jeannot";1;"fr";940;"j.charles@bourgeois-industries.fr";"01.87.59.46.99";"07.72.53.10.99";;;;;;;;1;;;132;;;;;;;;
136;1;"false";"true";"true";"ESL Banking";;"ESL Banking";;"fr";950;"contact@esl-banking.fr";"01.38.33.50.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;2;1;2;8;3;5;;"img/partner/136_120px_fr.png"
137;2;"true";"false";"false";"GUILLOT";"Kévin";"GUILLOT Kévin";1;"fr";950;"k.guillot@esl-banking.fr";"01.73.34.26.99";"06.63.55.39.99";;;;;;;;1;;;136;;;;;;;;
138;2;"true";"false";"false";"NOEL";"Jean Nicolas";"NOEL Jean Nicolas";1;"fr";950;"j.noel@esl-banking.fr";"01.13.96.92.99";"07.44.77.73.99";;;;;;;;1;;;136;;;;;;;;
139;2;"true";"false";"false";"MEUNIER";"Paul";"MEUNIER Paul";1;"fr";950;"p.meunier@esl-banking.fr";"01.22.82.15.99";"07.67.21.50.99";;;;;;;;1;;;136;;;;;;;;
148;1;"false";"true";"true";"TOP Components";;"TOP Components";;"en";2004;"contact@top-components.com";"+86 21 5198 9999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;5;2;"img/partner/148_128px_fr.png"
149;2;"true";"false";"false";"ZHANG";"Annie";"ZHANG Annie";2;"en";2004;"a.zhang@top-components.com";"+86 21 5198 9999";"+86 139 1658 8799";;;;;;;;1;;;148;;;;;;;;
152;1;"false";"true";"true";"SILVER Electronics";;"SILVER Electronics";;"en";2006;"contact@silverelec.com";"+86 755 8396 9999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;2;2;"img/partner/152_128px_fr.png"
153;2;"true";"false";"false";"LI";"Yang";"LI Yang";1;"en";2006;"y.li@silverelec.com";"+86 755 8396 9999";"+86 138 2479 7599";;;;;;;;1;;;152;;;;;;;;
170;1;"false";"true";"true";"SASAKI Components";;"SASAKI Components";;"en";6001;"info@sasaki-components.com";"+81 3 5850 9999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;16;;;12;2;"img/partner/170_128px_fr.png"
171;2;"true";"false";"false";"SASAKI";"Amaya";"SASAKI Amaya";1;"en";6001;"a.sasaki@sasaki-components.com";"+81 3 5850 9999";"+81 90 5136 7506";;;;;;;;1;;;170;;;;;;;;
185;1;"false";"true";"true";"DE KIMPE Engineering";;"DE KIMPE Engineering";;"en";1002;"contact@dekimpe-eng.com";"+32 2 234 99 99";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;1;2;3;;;8;1;"img/partner/185_120px_fr.png"
186;2;"true";"false";"false";"DE KIMPE";"Joos";"DE KIMPE Joos";1;"en";1002;"j.de kimpe@dekimpe-eng.com";"+32 2 234 99 99";32495680999;;;;;;;;1;;;185;;;;;;;;
197;1;"false";"true";"true";"DG Technologies";;"DG Technologies";;"en";8002;"info@dg-technologies.com";"+31 20 530 79 99";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;1;16;13;3;10;1;"img/partner/197_120px_fr.png"
198;2;"true";"false";"false";"DE GROOT";"Matthijs";"DE GROOT Matthijs";1;"en";8002;"m.de groot@dg-technologies.com";"+31 20 530 79 99";"+31 (0)6 51 59 69 99";;;;;;;;1;;;197;;;;;;;;
205;1;"false";"true";"true";"AZ Inno";;"AZ Inno";;"en";3002;"info@azinno.com";"+49 89 17301999";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;1;7;13;3;1;1;"img/partner/205_120px_fr.png"
206;2;"true";"false";"false";"MULLER";"Jan";"MULLER Jan";1;"en";3002;"j.muller@azinno.com";"+49 89 17301999";"+49 175 5440999";;;;;;;;1;;;205;;;;;;;;
224;1;"false";"true";"true";"WM Cinetics";;"WM Cinetics";;"en";10010;"contact@wm-cinetics.com";"+1 415 490 2999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;2;1;17;13;3;6;2;"img/partner/224_128px_fr.png"
225;2;"true";"false";"false";"WILSON";"Charles";"WILSON Charles";1;"en";10010;"c.wilson@wm-cinetics.com";"+1 415 490 2999";"+1 415 780 2999";;;;;;;;1;;;224;;;;;;;;
237;1;"false";"true";"true";"TGM Consulting";;"TGM Consulting";;"fr";75001;"info@tgm-consulting.com";"01.73.66.77.99";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;1;2;13;8;3;7;2;"img/partner/237_128px_fr.png"
238;2;"true";"false";"false";"THOMPSON";"Kenneth";"THOMPSON Kenneth";1;"en";75001;"k.thompson@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;1;;;237;;;;;;;;
239;2;"true";"false";"false";"GARCIA";"Steven";"GARCIA Steven";1;"en";75001;"s.garcia@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;1;;;237;;;;;;;;
240;2;"true";"false";"false";"MARTINEZ";"Edward";"MARTINEZ Edward";1;"en";10019;"e.martinez@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;1;;;237;;;;;;;;
1012;2;"false";"true";"true";"PICARD";"Anna";"PICARD Anna";2;"fr";671;"a.picard@msn.com";"03.79.67.80.99";"06.45.25.47.99";"email";4;2;"INDIV";"EUR";;;1;411100;401100;;2;;;9;1;8;;"img/partner/1012_128px_fr.png"
1033;2;"false";"true";"true";"MEYER";"Philippe";"MEYER Philippe";1;"fr";75019;"p.meyer@yahoo.com";"01.52.66.34.99";"07.31.30.96.99";"email";5;2;"INDIV";"EUR";;;1;411100;401100;;2;;;8;3;9;;"img/partner/1033_128px_fr.png"
