"name";"title";"groups"
"admin-root-conf-account-config";"Account configurations";"admins|ERP|CPT|MGT"
"menu-account-invoice-dashboard-sample";"Account Dashboard";"admins|ERP|CPT|MGT"
"account-root";"Accounting";"admins|ERP|CPT|MGT"
"admin-root-batch-accounting";"Accounting batches";"admins|ERP|CPT|MGT|ACH|VTE"
"account-root-accounting-accounting-exports";"Accounting exports";"admins|ERP|CPT"
"account-root-accounting";"Accounting Exports/Reports";"admins|ERP|CPT|MGT"
"account-root-accounting-accounting-reports";"Accounting reports";"admins|ERP|CPT"
"top-relations-partners";"Accounts";"admins|ERP|CRM|VTE|ACH|HRM|OPS|MGT"
"contact-root-partner";"Accounts";"admins|ERP|CRM|VTE|ACH|HRM|OPS|MGT|CPT"
"account-conf-financial-account-type";"Account types";"admins|ERP|CPT|MGT"
"menu-view-action-menus";"Action Menus";"admins"
"menu-wkf-nodes-root-NodeTask";"Activities";"admins|ERP|BPM"
"menu-wkf-NodeTask";"Activities";"admins|ERP|BPM"
"top-menu-crm-activities";"Activity";"admins|ERP|MGT|CRM"
"contact-conf-address";"Addresses";"admins|ERP|MGT|BPM"
"menu-admin";"Administration";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"alarm-conf-alarm-engine-batch";"Alarm batches";"admins"
"alarm-conf-alarm-engine";"Alarm engines";"admins"
"alarm-root";"Alarmes";"admins"
"menu-view-actions";"All Actions";"admins"
"alarm-root-alarm-other";"All Alarms";"admins"
"mail-root-email";"All batchs emails";"admins"
"mail-root-mail";"All batchs mails";"admins"
"menu-view-charts";"All Charts";"admins"
"mail-root-email-all";"All Emails";"admins"
"mail-root-mail-all";"All Mails";"admins"
"menu-view-menus";"All Menus";"admins"
"alarm-conf-message";"All Messages";"admins"
"menu-meta-model";"All Models";"admins"
"menu-meta-module";"All Modules";"admins"
"menu-job-all";"All Schedules";"admins"
"menu-view-selects";"All Selects";"admins"
"admin-conf-general-status";"All Status";"admins"
"menu-view-translations";"All Translations";"admins"
"menu-view-all";"All Views";"admins"
"account-conf-analytic";"Analytic";"admins|ERP|CPT|MGT"
"account-conf-analytic-account";"Analytic accounts";"admins|ERP|CPT|MGT"
"account-conf-analytic-axis";"Analytic axis";"admins|ERP|CPT|MGT"
"account-conf-analytic-journal";"Analytic journals";"admins|ERP|CPT|MGT"
"contact-conf-invoice-rib";"Bank details";"admins|ERP|CPT|MGT"
"mail-root-mail-reject-import";"Bank Rejects mails";"admins"
