"code";"name";"importId";"password";"group.code";"language";"homeAction";"companySet.importId";"activeCompany.importId";"partner.importId";"teamSet.importId";"employee.importId";"activeTeam.importId";"picture_fileName"
"admin";"Admin";1;"axadmin";"admins";"fr";;"1";1;90000;4;;4;"img/user/1033_128px_fr.png"
"demo";"Demo";2;"axdemo";"users";"fr";;"1";1;90000;4;;4;"img/user/1033_128px_fr.png"
"dirg";"Yoann MARQUES";3;"dirg";"MGT";"fr";;"1";1;90001;4;1;4;"img/user/1033_128px_fr.png"
"assist";"Lucy ROBERT";4;"assist";"MGT";"fr";;"1";1;90002;4;2;4;"img/user/1033_128px_fr.png"
"dirpro";"Lucas RICHARD";5;"dirpro";"MGT";"fr";;"1";1;90003;4;3;4;"img/user/1033_128px_fr.png"
"chefpro";"Daniel SILVA";6;"chefpro";"ERP";"fr";;"1";1;90004;4;4;4;"img/user/1033_128px_fr.png"
"consultant";"Charles MARTIN";7;"consultant";"CST";"fr";;"1";1;90005;4;5;4;"img/user/1033_128px_fr.png"
"demoerp";"Kevin DEMOERP";8;"demoerp";"ERP";"fr";"saleman.dashboard.view.sample";"1";1;90006;3;6;3;"img/user/1033_128px_fr.png"
"democrm";"Charles DEMOCRM";9;"democrm";"CRM";"fr";"crm.opportunit;""img/user/1033_128px_en.png""ies.dashboard.2.view";"1";1;90007;1;7;1;"img/user/1033_128px_fr.png"
"comn";"Tony RAYMOND";10;"comn";"VTE";"fr";;"1";1;90008;1;8;1;"img/user/1033_128px_fr.png"
"coms1";"Thomas LAMY";11;"coms1";"VTE";"fr";;"1";1;90009;2;9;2;"img/user/1033_128px_fr.png"
"coms2";"Anne GIRAULT";12;"coms2";"VTE";"fr";;"1";1;90010;2;10;2;"img/user/1012_128px_fr.png"
"comi";"Dimitri GEOFFROY";13;"comi";"VTE";"fr";;"1";1;90011;3;11;3;"img/user/1033_128px_fr.png"
"achat";"Alex DAVID";14;"achat";"ACH";"fr";;"1";1;90012;4;12;4;"img/user/1033_128px_fr.png"
"prod";"William ANDRE";15;"prod";"OPS";"fr";;"1";1;90013;4;13;4;"img/user/1033_128px_fr.png"
"dirsupp";"David MAURIN";16;"dirsupp";"OPS";"fr";;"1";1;90014;4;14;4;"img/user/1033_128px_fr.png"
"supp1";"Cyril MARCHAL";17;"supp1";"OPS";"fr";;"1";1;90015;4;15;4;"img/user/1033_128px_fr.png"
"supp2";"Robin COSTA";18;"supp2";"OPS";"fr";;"1";1;90016;4;16;4;"img/user/1033_128px_fr.png"
"dirrh";"Romane COLIN";19;"dirrh";"HRM";"fr";;"1";1;90017;4;17;4;"img/user/1012_128px_fr.png"
"compta";"Victoria LOUIS";20;"compta";"CPT";"fr";;"1";1;90018;4;18;4;"img/user/1012_128px_fr.png"
"client";"123 Service";21;"client";"CLT";"fr";"wizard-client-view";"1";1;88;;;;"img/user/88_120px_fr.png"
"fournisseur";"TOP Components";22;"fournisseur";"FRN";"fr";"wizard-supplier-view";"1";1;148;;;;"img/user/148_128px_fr.png"
