"importId";"partner_importId";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic"
1;20;"APOLLO ";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR7630002053182427705722852";"FR";"30002";"05318";24277057228;52;"FR7630002053182427705722852 CRLYFRPPXXX"
2;44;"BLUEBERRY TELECOM";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR7630002053257084773754439";"FR";"30002";"05325";70847737544;39;"FR7630002053257084773754439 CRLYFRPPXXX"
3;70;"MASSON Logistics";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR7630002054591684853901762";"FR";"30002";"05459";16848539017;62;"FR7630002054591684853901762 CRLYFRPPXXX"
4;77;"GERARD Solutions";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR7630002052145220683269592";"FR";"30002";"05214";52206832695;92;"FR7630002052145220683269592 CRLYFRPPXXX"
5;88;"123 Services";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR7630076029928602419478894";"FR";"30076";"02992";86024194788;94;"FR7630076029928602419478894 NORDFRPPXXX"
6;132;"BOURGEOIS INDUSTRIE";94000;"CTRE CIAL LES ARCADES CLOS MONT D EST 93160 NOISY LE GRAND";"CRLYFRPPXXX";"FR7630002094109003512506634";"FR";"30002";"09410";90035125066;34;"FR7630002094109003512506634 CRLYFRPPXXX"
7;136;"Banque GUILLOT";95000;"207 RUE CARNOT  94120 NOISY LE GRAND";"BNPAFRPPXXX";"FR7630004024458280759476457";"FR";"30004";"02445";82807594764;57;"FR7630004024458280759476457 BNPAFRPPXXX"
8;1012;"PICARD Anna";75007;"65 AV DE SUFFREN  75007 PARIS";"CRLYFRPPXXX";"FR7630002050237613320114760";"FR";"30002";"05023";76133201147;60;"FR7630002050237613320114760 CRLYFRPPXXX"
9;1033;"MEYER Philippe";75019;"ZAC CLAUDE BERNARD 134 BD MAC DONALD 75019 PARIS";"BNPAFRPPXXX";"FR7630004031007628340661036";"FR";"30004";"03100";76283406610;36;"FR7630004031007628340661036 BNPAFRPPXXX"
90000;90000;"Axelor";77420;"55 BIS R DE PARIS  77200 TORCY";"BNPAFRPPXXX";"FR7630004020961963437764043";"FR";"30004";"02096";19634377640;43;"FR7630004020961963437764043 BNPAFRPPXXX"
