"module";"object";"view";"field";"help"
"axelor-purchase";"PurchaseOrder";"purchase-order-form";"versionNumber";"Version number for the order. It increases when clicking on the ""new version"" button of a ""Requested"" order. "
"axelor-purchase";"PurchaseOrder";"purchase-order-form";"priceList";"Enables to specify a price list to be specifically used for this order. This field is automatically filled in if a price list is attached to the partner. "
"axelor-purchase";"PurchaseOrder";"purchase-order-form";"isPurchaseParent";"This check-box must be checked if the current command is the parent command. If there is already a parent command, enter it in the ""Initial Command"" field."
"axelor-purchase";"PurchaseOrderLine";"purchase-order-line-form";"saleMinPrice";"Minimum recommended sales price, calculated from the product's cost price and multiplying coefficient. "
"axelor-purchase";"PurchaseOrderLine";"purchase-order-line-form";"discountTypeSelect";"Enables to choose the type of discount (fixed amount or percentage of per-unit price). This field is automatically filled in if a price list was selected for the order, but can still be specifically modified for the chosen order line. "
"axelor-purchase";"PurchaseOrderLine";"purchase-order-line-form";"toInvoice";"Box to be checked in order to specify that the order line is to be charged in the business project. If this box is unchecked, this line will not be taken into account when creating the invoice for the corresponding order. "
"axelor-purchase";"AppPurchase";"app-purchase-config-form";"managePurchasesUnits";"This function is useful when the units of purchase of a product from a supplier are different from your sales units (for example, if you buy a product per tonne and sell it to the kilo). In this way, when ordering, the selected product will be directly indicated with its purchase unit, thus avoiding conversion."
"axelor-purchase";"AppPurchase";"app-purchase-config-form";"managePurchaseOrderVersion";"This option enables the ability to create multiple versions of a purchase order, allowing you to edit an order to create a new versions and track the history."
"axelor-purchase";"AppPurchase";"app-purchase-config-form";"supplierRequestMgt";"This option allows you to activate the management of purchasing requests to suppliers, enabling you to send quotation requests to several suppliers of the same product."
"axelor-purchase";"AppPurchase";"app-purchase-config-form";"manageMultiplePurchaseQuantity";"This is an option that allows you to define a product's multiples purchase quantities on the product form. You can in this way define a product that can only be purchased in a certain quantity (for example for a quantity of 5 and 10). If the quantity selected on a purchase order line is different than defined multiples, the line can not be validated, and a message will appear, displaying which are the authorized quantities .
"
"axelor-purchase";"PurchaseConfig";"purchase-config-form";"purchaseOrderInAtiSelect";"It is possible to choose if in purchase orders the prices are always in WT, always in ATI, by default in WT or by default in ATI. The choices ""by default in WT"" and ""by default in ATI"" leave the possibility of modifying the type of price applied on a case by case basis (via a check box)."
"axelor-purchase";"PurchaseConfig";"purchase-config-form";"displayPriceOnQuotationRequest";"If this box is unchecked, displayPriceOnQuotationRequest will not appear on purchase quotation printings."
"axelor-purchase";"PurchaseConfig";"purchase-config-form";"priceRequest";"Offers the ability to customize a default message on quotation requests."
