"importId";"code";"name";"journalType.importId";"excessPaymentOk";"editReceiptOk";"descriptionModel";"descriptionIdentificationOk";"notExportOk";"exportCode";"statusSelect";"company.importId";"sequence.importId"
1;"VTE";"Ventes";1;"false";"false";"Facture client";"true";"false";;"1";1;110
2;"AVR";"Avoirs";2;"false";"false";"Avoir client";"true";"false";;"1";1;111
3;"ACH";"Achats";4;"false";"false";"Facture fournisseur";"true";"false";;"1";1;112
4;"AVRF";"Avoirs achats";2;"false";"false";"Avoir fournisseur ";"true";"false";;"1";1;113
5;"ENC_ESP";"Encaissement en espèces";3;"false";"true";"Encaissement ";"true";"false";;"1";1;115
6;"ENC_CHQ";"Encaissement par chèque";3;"true";"false";"Encaissement ";"true";"false";;"1";1;116
7;"ENC_CB";"Encaissement par CB";3;"false";"false";"Encaissement ";"true";"false";;"1";1;117
8;"ENC_WEB";"Encaissement par internet";3;"false";"false";"Encaissement ";"true";"false";;"1";1;118
9;"ENC_TIP";"Encaissement par TIP";3;"true";"false";"Encaissement ";"true";"false";;"1";1;119
10;"ENC_TEC";"Encaissement par TIP + chèques";3;"true";"false";"Encaissement ";"true";"false";;"1";1;120
11;"ENC_VIR";"Encaissement par virement";3;"true";"false";"Encaissement ";"true";"false";;"1";1;121
12;"ENC_PRE";"Encaissement par prélèvement";3;"false";"false";"Encaissement ";"true";"false";;"1";1;122
13;"ENC_OTH";"Encaissement autres";3;"false";"false";"Encaissement ";"true";"false";;"1";1;123
14;"RBT_CLT";"Remboursement client EUR";3;"false";"false";"Remboursement ";"true";"false";;"1";1;125
15;"DEC_ESP";"Décaissement en espèces";3;"true";"true";"Décaissement ";"true";"false";;"1";1;126
16;"DEC_CHQ";"Décaissement par chèque";3;"true";"false";"Décaissement ";"true";"false";;"1";1;127
17;"DEC_CB";"Décaissement par CB";3;"true";"false";"Décaissement ";"true";"false";;"1";1;128
18;"DEC_TIP";"Décaissement par TIP";3;"true";"false";"Décaissement ";"true";"false";;"1";1;129
19;"DEC_VIR";"Décaissement par virement";3;"true";"false";"Décaissement ";"true";"false";;"1";1;130
20;"DEC_PRE";"Décaissement par prélèvement";3;"true";"false";"Décaissement ";"true";"false";;"1";1;131
21;"DEC_OTH";"Décaissement autres";3;"true";"false";"Décaissement ";"true";"false";;"1";1;132
22;"APU_TP";"Apurements des trop perçus";3;"true";"false";;"false";"false";;"1";1;135
23;"OD_AUTO";"O.D. automatique sur facturation ou règlement";3;"false";"false";;"false";"false";;"1";1;133
24;"OD_MAN";"O.D. manuelles";3;"false";"false";;"false";"false";;"1";1;134
25;"REJ_BNQ";"Rejet opérations bancaires";3;"false";"false";"Rejet ";"true";"false";;"1";1;
26;"ECHMENSU";"Echéances de mensualisation";3;"false";"false";"Echéance ";"true";"false";;"1";1;
27;"TECH";"Technique";5;"false";"false";;"false";"true";;"1";1;
28;"IRRECOUV";"Irrécouvrables";4;"false";"false";;"false";"false";;"1";1;109
29;"NDF";"Notes de frais";4;"false";"false";"NDF ";"true";"false";;"1";1;180
