"importId";"code";"name";"journalType.importId";"excessPaymentOk";"editReceiptOk";"descriptionModel";"descriptionIdentificationOk";"notExportOk";"exportCode";"statusSelect";"company_importId";"sequence.importId";"validAccountTypes";"validAccounts"
1;"VTE";"Ventes";1;"false";"false";"Facture client";"true";"false";;"1";1;110;"receivable|tax|income|immobilisation";
2;"AVR";"Avoirs";2;"false";"false";"Avoir client";"true";"false";;"1";1;111;"receivable|tax|income|immobilisation";
3;"ACH";"Achats";4;"false";"false";"Facture fournisseur";"true";"false";;"1";1;112;"payable|tax|charge|immobilisation";"145000|280000|280100|280300|280500|280700|280800|281000|281100|281200|281300|281400|281500|281800|282000|462000|775100|775200|775600|775800|787200|787250|787260"
4;"AVRF";"Avoirs achats";2;"false";"false";"Avoir fournisseur ";"true";"false";;"1";1;113;"payable|tax|charge|immobilisation";
5;"ENC_ESP";"Encaissement en espèces";3;"false";"true";"Encaissement ";"true";"false";;"1";1;115;"receivable|payable|tax|cash";"665000|765000"
6;"ENC_CHQ";"Encaissement par chèque";3;"true";"false";"Encaissement ";"true";"false";;"1";1;116;"receivable|payable|tax|cash";"665000|765000"
7;"ENC_CB";"Encaissement par CB";3;"false";"false";"Encaissement ";"true";"false";;"1";1;117;"receivable|payable|tax|cash";"665000|765000"
8;"ENC_WEB";"Encaissement par internet";3;"false";"false";"Encaissement ";"true";"false";;"1";1;118;"receivable|payable|tax|cash";"665000|765000"
9;"ENC_TIP";"Encaissement par TIP";3;"true";"false";"Encaissement ";"true";"false";;"1";1;119;"receivable|payable|tax|cash";"665000|765000"
10;"ENC_TEC";"Encaissement par TIP + chèques";3;"true";"false";"Encaissement ";"true";"false";;"1";1;120;"receivable|payable|tax|cash";"665000|765000"
11;"ENC_VIR";"Encaissement par virement";3;"true";"false";"Encaissement ";"true";"false";;"1";1;121;"receivable|payable|tax|cash";"665000|765000"
12;"ENC_PRE";"Encaissement par prélèvement";3;"false";"false";"Encaissement ";"true";"false";;"1";1;122;"receivable|payable|tax|cash";"665000|765000"
13;"ENC_OTH";"Encaissement autres";3;"false";"false";"Encaissement ";"true";"false";;"1";1;123;"receivable|payable|tax|cash";"665000|765000"
14;"RBT_CLT";"Remboursement client EUR";3;"false";"false";"Remboursement ";"true";"false";;"1";1;125;"receivable|payable|tax|cash";"665000|765000"
15;"DEC_ESP";"Décaissement en espèces";3;"true";"true";"Décaissement ";"true";"false";;"1";1;126;"payable|receivable|tax|cash";"665000|765000"
16;"DEC_CHQ";"Décaissement par chèque";3;"true";"false";"Décaissement ";"true";"false";;"1";1;127;"payable|receivable|tax|cash";"665000|765000"
17;"DEC_CB";"Décaissement par CB";3;"true";"false";"Décaissement ";"true";"false";;"1";1;128;"payable|receivable|tax|cash";"665000|765000"
18;"DEC_TIP";"Décaissement par TIP";3;"true";"false";"Décaissement ";"true";"false";;"1";1;129;"payable|receivable|tax|cash";"665000|765000"
19;"DEC_VIR";"Décaissement par virement";3;"true";"false";"Décaissement ";"true";"false";;"1";1;130;"payable|receivable|tax|cash";"665000|765000"
20;"DEC_PRE";"Décaissement par prélèvement";3;"true";"false";"Décaissement ";"true";"false";;"1";1;131;"payable|receivable|tax|cash";"665000|765000"
21;"DEC_OTH";"Décaissement autres";3;"true";"false";"Décaissement ";"true";"false";;"1";1;132;"payable|receivable|tax|cash";"665000|765000"
22;"APU_TP";"Apurements des trop perçus";3;"true";"false";;"false";"false";;"1";1;135;"receivable|tax|cash";
23;"OD_AUTO";"O.D. automatique sur facturation ou règlement";3;"false";"false";;"false";"false";;"1";1;133;"asset|cash|commitment|currentAsset|equity|immobilisation|payable|receivable|tax|charge|income|debt|provision|special";
24;"OD_MAN";"O.D. manuelles";3;"false";"false";;"false";"false";;"1";1;134;"asset|cash|commitment|currentAsset|equity|immobilisation|payable|receivable|tax|charge|income|debt|provision|special";
25;"REJ_BNQ";"Rejet opérations bancaires";3;"false";"false";"Rejet ";"true";"false";;"1";1;;"payable|receivable|tax|cash";
26;"ECHMENSU";"Echéances de mensualisation";3;"false";"false";"Echéance ";"true";"false";;"1";1;;"receivable|tax|charge";
27;"TECH";"Technique";5;"false";"false";;"false";"true";;"1";1;;;
28;"IRRECOUV";"Irrécouvrables";4;"false";"false";;"false";"false";;"1";1;109;"receivable|tax|charge";
29;"NDF";"Notes de frais";4;"false";"false";"NDF ";"true";"false";;"1";1;180;"receivable|tax|charge";
30;"ANOUV";"A nouveaux";5;"false";"false";;"false";"false";;"1";1;181;"asset|cash|commitment|currentAsset|equity|immobilisation|payable|receivable|tax|charge|income|debt|provision|special";
