"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"isEmployee";"isFactor";"name";"firstName";"titleSelect";"languageCode";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"inPaymentMode.importId";"outPaymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName";"invoicesCopySelect";"factorizedCustomer"
20;1;"false";"true";"true";"false";"false";"APOLLO";;;"fr";62;"info@apollo.fr";"04.35.79.88.99";;"emailpaper";8;15;6;"SME";"EUR";;;1;411100;401100;;3;1;4;11;2;5;;"img/partner/20_120px_fr.png";1;"true"
21;2;"true";"false";"false";"false";"false";"MICHEL";"Loic";1;"fr";62;"l.michel@apollo.fr";"04.31.45.39.99";"06.41.66.37.99";;8;15;;;;;;1;;;20;;;;;;;;"img/partner/1033_128px_fr.png";2;
22;2;"true";"false";"false";"false";"false";"GARCIA";"Daniel";1;"fr";62;"d.garcia@apollo.fr";"04.19.14.89.99";"06.89.42.54.99";;8;15;;;;;;1;;;20;;;;;;;;"img/partner/1033_128px_fr.png";1;
23;2;"true";"false";"false";"false";"false";"DAVID";"Laurent";1;"fr";62;"l.david@apollo.fr";"04.73.26.45.99";"07.95.48.27.99";;8;15;;;;;;1;;;20;;;;;;;;"img/partner/1033_128px_fr.png";2;
44;1;"false";"true";"true";"false";"false";"BLUEBERRY TELECOM";;;"fr";13002;"info@blueberry-telecom.fr";"04.73.67.88.99";;"emailpaper";8;15;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;"img/partner/44_120px_fr.png";1;
45;2;"true";"false";"false";"false";"false";"ROUSSEAU";"Élisabeth";2;"fr";13001;"e.rousseau@blueberry-telecom.fr";"04.86.61.79.99";"06.14.62.29.99";;8;15;;;;;;1;;;44;;;;;;;;"img/partner/1012_128px_fr.png";2;
46;2;"true";"false";"false";"false";"false";"BLANC";"Bernard";1;"fr";13001;"b.blanc@blueberry-telecom.fr";"04.32.13.60.99";"07.83.63.98.99";;8;15;;;;;;1;;;44;;;;;;;;"img/partner/1033_128px_fr.png";1;
70;1;"false";"true";"true";"false";"false";"MASSON SA";;;"fr";311;"contact@masson.fr";"05.44.40.54.99";;"emailpaper";6;14;2;"SME";"EUR";;;1;411100;401100;;1;2;21;;;3;;"img/partner/70_120px_fr.png";2;
71;2;"true";"false";"false";"false";"false";"MASSON";"Xavier";1;"fr";311;"x.masson@masson.fr";"05.15.60.89.99";"07.76.18.65.99";;6;14;;;;;;1;;;70;;;;;;;;"img/partner/1033_128px_fr.png";1;
72;2;"true";"false";"false";"false";"false";"SANCHEZ";"Catherine";2;"fr";311;"c.sanchez@masson.fr";"05.27.69.43.99";"07.59.17.99.99";;6;14;;;;;;1;;;70;;;;;;;;"img/partner/1012_128px_fr.png";2;
