"code";"name";"password";"group.code";"language";"homeAction";"importId";"companySet.importId";"activeCompany.id";"partner.importId";"activeCashRegister.id";"activeTeam.importId";"picture_fileName";"blocked";"stepStatusSelect";"localization.importId"
"admin";"Admin";"admin";"admins";"en-gb";;1;1;1;90019;1;4;"img/user/1033_128px.png";"false";"5";1
"demo";"Demo";"demo";"users";"en-gb";;2;1;1;90020;1;4;"img/user/1033_128px.png";"false";"5";1
"psdt";"Yoann MARQUES";"psdt";"MNGT";"en-gb";;3;1;1;90001;1;4;"img/user/1033_128px.png";"false";"5";1
"assist";"Lucy ROBERT";"assist";"MNGT";"en-gb";;4;1;1;90002;1;4;"img/user/1033_128px.png";"false";"5";1
"projdir";"Lucas RICHARD";"projdir";"MNGT";"en-gb";;5;1;1;90003;1;4;"img/user/1033_128px.png";"false";"5";1
"projmg";"Daniel SILVA";"projmg";"ERP";"en-gb";;6;1;1;90004;1;4;"img/user/1033_128px.png";"false";"5";1
"consultant";"Charles MARTIN";"consultant";"CST";"en-gb";;7;1;1;90005;1;4;"img/user/1033_128px.png";"false";"5";1
"demoerp";"Kevin DEMOERP";"demoerp";"ERP";"en-gb";"saleman.dashboard.view.sample";8;1;1;90006;1;4;"img/user/1033_128px.png";"false";"5";1
"democrm";"Charles DEMOCRM";"democrm";"CRM";"en-gb";"crm.root.opportunity";9;1;1;90007;2;1;"img/user/1033_128px.png";"false";"5";1
"smn2";"Tony RAYMOND";"smn2";"SALE";"en-gb";;10;1;1;90008;4;1;"img/user/1033_128px.png";"false";"5";1
"sms1";"Thomas LAMY";"sms1";"SALE";"en-gb";;11;1;1;90009;3;2;"img/user/1033_128px.png";"false";"5";1
"sms2";"Anne GIRAULT";"sms2";"SALE";"en-gb";;12;1;1;90010;5;2;"img/user/1012_128px.png";"false";"5";1
"smi1";"Dimitri GEOFFROY";"smi1";"SALE";"en-gb";;13;1;1;90011;1;3;"img/user/1033_128px.png";"false";"5";1
"purch";"Alex DAVID";"purch";"PURCH";"en-gb";;14;1;1;90012;1;4;"img/user/1033_128px.png";"false";"5";1
"prod";"William ANDRE";"prod";"OPTS";"en-gb";;15;1;1;90013;1;4;"img/user/1033_128px.png";"false";"5";1
"suppmg";"David MAURIN";"suppmg";"OPTS";"en-gb";;16;1;1;90014;1;4;"img/user/1033_128px.png";"false";"5";1
"supp1";"Cyril MARCHAL";"supp1";"OPTS";"en-gb";;17;1;1;90015;1;4;"img/user/1033_128px.png";"false";"5";1
"supp2";"Robin COSTA";"supp2";"OPTS";"en-gb";;18;1;1;90016;1;4;"img/user/1033_128px.png";"false";"5";1
"hrmg";"Romane COLIN";"hrmg";"HRSC";"en-gb";;19;1;1;90017;1;4;"img/user/1012_128px.png";"false";"5";1
"account";"Victoria LOUIS";"account";"ACCO";"en-gb";;20;1;1;90018;1;4;"img/user/1012_128px.png";"false";"5";1
"client";"123 Service";"client";"CLT";"en-gb";"wizard-client-view";21;1;1;88;1;;"img/user/88_120px.png";"false";"5";1
"supplier";"TOP Components";"supplier";"SUP";"en-gb";"wizard-supplier-view";22;1;1;148;1;;"img/user/148_128px.png";"false";"5";1
"admin-fr";"admin-fr";"admin";"admins";"fr-fr";;23;1;1;90022;1;4;"img/user/1033_128px.png";"false";"5";2
