"importId";"metaModel";"metaField";"title";"addressTemplate.importId";"isRequired"
"1";"Address";"department";"Recipient details";"1";"false"
"2";"Address";"floor";"Address precisions";"1";"false"
"4";"Address";"streetName";"N° and Street label";"1";"true"
"5";"Address";"postBox";"Distribution precisions (POB, Village...)";"1";"false"
"6";"Address";"city";;"1";"true"
"7";"Address";"zip";;"1";"true"
"8";"Address";"department";"Additional delivery information";"2";"false"
"9";"Address";"streetName";"N° and Street label";"2";"true"
"10";"Address";"room";"Apartment number";"2";"false"
"11";"Address";"city";;"2";"true"
"12";"Address";"countrySubDivision";"Province or territory";"2";"true"
"13";"Address";"zip";"Postal code";"2";"true"
"14";"Address";"postBox";"Postal box";"2";"false"
"15";"Address";"department";"Company";"3";"false"
"16";"Address";"streetName";"N° and Street name";"3";"true"
"17";"Address";"room";"Apartment number";"3";"false"
"18";"Address";"city";;"3";"true"
"19";"Address";"countrySubDivision";"State";"3";"true"
"20";"Address";"zip";;"3";"true"
"21";"Address";"postBox";"PO box";"3";"false"
"22";"Address";"streetName";"Address";"4";"true"
"23";"Address";"city";;"4";"true"
"24";"Address";"department";"Company";"5";"false"
"25";"Address";"subDepartment";"Department";"5";"false"
"26";"Address";"streetName";"N° and street name";"5";"true"
"27";"Address";"city";;"5";"true"
"28";"Address";"zip";"Postcode";"5";"true"
"29";"Address";"postBox";"PO box";"5";"false"
"30";"Address";"department";"Additional delivery information";"6";"false"
"31";"Address";"streetName";"N° and street name";"6";"true"
"32";"Address";"city";;"6";"true"
"33";"Address";"countrySubDivision";"State";"6";"true"
"34";"Address";"zip";"PIN code";"6";"true"
"35";"Address";"department";"Company";"7";"false"
"36";"Address";"subDepartment";"Department";"7";"false"
"37";"Address";"streetName";"N° and street name";"7";"true"
"38";"Address";"room";"Apartment number";"7";"false"
"39";"Address";"city";;"7";"true"
"40";"Address";"countrySubDivision";"State or territory";"7";"true"
"41";"Address";"zip";"Postcode";"7";"true"
"42";"Address";"postBox";"PO box";"7";"false"
"43";"Address";"buildingNumber";"Building Number";"8";"true"
"44";"Address";"department";"Department";"8";"false"
"45";"Address";"buildingName";"Building Name";"8";"false"
"46";"Address";"streetName";"Street Name";"8";"true"
"47";"Address";"floor";"Floor";"8";"false"
"48";"Address";"room";"Room";"8";"false"
"49";"Address";"zip";"Zip";"8";"true"
"50";"Address";"townName";"Town Name";"8";"true"
"51";"Address";"townLocationName";"Town Location Name";"8";"false"
"52";"Address";"buildingNumber";"Building Number";"9";"false"
"53";"Address";"department";"Department";"9";"false"
"54";"Address";"buildingName";"Building Name";"9";"false"
"55";"Address";"streetName";"Street Name";"9";"false"
"56";"Address";"floor";"Floor";"9";"false"
"57";"Address";"room";"Room";"9";"false"
"58";"Address";"zip";"Zip";"9";"true"
"59";"Address";"townName";"Town Name";"9";"true"
"60";"Address";"postBox";"Post Box";"9";"false"
"61";"Address";"buildingNumber";"Building Number";"10";"true"
"62";"Address";"department";"Department";"10";"false"
"63";"Address";"streetName";"Street Name";"10";"true"
"64";"Address";"floor";"Floor";"10";"false"
"65";"Address";"room";"Room";"10";"false"
"66";"Address";"zip";"Zip";"10";"true"
"67";"Address";"townName";"Town Name";"10";"true"
"68";"Address";"countrySubDivision";"Province";"10";"true"
"69";"Address";"townLocationName";"Town Location Name";"10";"false"
"70";"Address";"buildingNumber";"Building Number";"11";"true"
"71";"Address";"department";"Department";"11";"false"
"72";"Address";"streetName";"Rue";"11";"true"
"73";"Address";"districtName";"District";"11";"false"
"74";"Address";"zip";"Zip";"11";"true"
"75";"Address";"townName";"Town Name";"11";"true"
"76";"Address";"countrySubDivision";"State";"11";"true"
"77";"Address";"postBox";"Post Box";"12";"true"
"78";"Address";"city";;"12";"true"
