"importId";"metaModel";"metaField";"title";"addressTemplate.importId";"isRequired"
"DEFAULT1";"Address";"department";"Recipient details";"DEFAULT";"false"
"DEFAULT2";"Address";"floor";"Address precisions";"DEFAULT";"false"
"DEFAULT3";"Address";"streetName";"N° and Street label";"DEFAULT";"true"
"DEFAULT4";"Address";"postBox";"Distribution precisions (POB, Village...)";"DEFAULT";"false"
"DEFAULT5";"Address";"city";;"DEFAULT";"true"
"DEFAULT6";"Address";"zip";;"DEFAULT";"true"
"CAN1";"Address";"department";"Additional delivery information";"CAN";"false"
"CAN2";"Address";"streetName";"N° and Street label";"CAN";"true"
"CAN3";"Address";"room";"Apartment number";"CAN";"false"
"CAN4";"Address";"city";;"CAN";"true"
"CAN5";"Address";"countrySubDivision";"Province or territory";"CAN";"true"
"CAN6";"Address";"zip";"Postal code";"CAN";"true"
"CAN7";"Address";"postBox";"Postal box";"CAN";"false"
"USA1";"Address";"department";"Company";"USA";"false"
"USA2";"Address";"streetName";"N° and Street name";"USA";"true"
"USA3";"Address";"room";"Apartment number";"USA";"false"
"USA4";"Address";"city";;"USA";"true"
"USA5";"Address";"countrySubDivision";"State";"USA";"true"
"USA6";"Address";"zip";;"USA";"true"
"USA7";"Address";"postBox";"PO box";"USA";"false"
"MAR1";"Address";"streetName";"Address";"MAR";"true"
"MAR2";"Address";"city";;"MAR";"true"
"GBR1";"Address";"department";"Company";"GBR";"false"
"GBR2";"Address";"subDepartment";"Department";"GBR";"false"
"GBR3";"Address";"streetName";"N° and street name";"GBR";"true"
"GBR4";"Address";"city";;"GBR";"true"
"GBR5";"Address";"zip";"Postcode";"GBR";"true"
"GBR6";"Address";"postBox";"PO box";"GBR";"false"
"IND1";"Address";"department";"Additional delivery information";"IND";"false"
"IND2";"Address";"streetName";"N° and street name";"IND";"true"
"IND3";"Address";"city";;"IND";"true"
"IND4";"Address";"countrySubDivision";"State";"IND";"true"
"IND5";"Address";"zip";"PIN code";"IND";"true"
"AUS1";"Address";"department";"Company";"AUS";"false"
"AUS2";"Address";"subDepartment";"Department";"AUS";"false"
"AUS3";"Address";"streetName";"N° and street name";"AUS";"true"
"AUS4";"Address";"room";"Apartment number";"AUS";"false"
"AUS5";"Address";"city";;"AUS";"true"
