"module";"object";"view";"field";"help"
"axelor-stock";"StockMove";"stock-move-form";"conformitySelect";"Enables to specify if the product (usually received) answers the request. "
"axelor-stock";"StockMove";"stock-move-form";"isWithReturnSurplus";"Box to be checked in order to automatically generate a new stock movement, in case of a surplus in the quantity of a product (after actual values have been entered). "
"axelor-stock";"StockMove";"stock-move-form";"isWithBackorder";"Box to be checked in order to automatically generate a new stock movement, in case of insufficient quantity of a product (after actual values have been entered). "
"axelor-stock";"StockMove";"stock-move-form";"fromAddress";"For supplier arrivals only. This field enables to select the departure address for stock movements, among addresses recorded in the supplier's form. "
"axelor-stock";"StockMoveLine";"stock-move-line-form";"conformitySelect";"Enables to specify if the product (usually received) answers the request. "
"axelor-stock";"Inventory";"inventory-form";"excludeOutOfStock";"Box to be checked in order to exclude products for which the stock quantity equals 0 from inventory lines. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"generatePurchaseAutoTrackingNbr";"Box to be checked in order to allow automatic generation of a tracking number from a configurable sequence. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"purchaseQtyByTracking";"Enables to specify the product quantity (in product unit) which will be batched under the same tracking number. By default, this number is set to 1. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"generateProductionAutoTrackingNbr";"Box to be checked in order to allow automatic generation of a tracking number from a configurable sequence. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"productionQtyByTracking";"Enables to specify the product quantity (in product unit) which will be batched under the same tracking number. By default, this number is set to 1. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"generateSaleAutoTrackingNbr";"Box to be checked in order to allow automatic generation of a tracking number from a configurable sequence. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"hasSaleAutoSelectTrackingNbr";"Box to be checked in order to specify that the tracking number attached to a product on a customer order will be automatically selected, observing a rule regarding entry into inventory (FIFO/LIFO). "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"saleAutoTrackingNbrOrderSelect";"Enables to specify whether, in the case of sale, the most ancient (FIFO) or most recent (LIFO) tracking number will be selected. "
"axelor-stock";"TrackingNumberConfiguration";"tracking-number-configuration-form";"saleQtyByTracking";"Enables to specify the product quantity (in product unit) which will be batched under the same tracking number. By default, this number is set to 1. "
"axelor-stock";"StockConfig";"stock-config-form";"realizeStockMovesUponParcelPalletCollection";"If this option is activated, when a logistic form goes to the collected status, the customer delivery automatically changes to the status ""Realized""."
"axelor-stock";"StockConfig";"stock-config-form";"freightCarrierCustomerAccountNumberList";"Allows you to enter your customer number to the carriers companies.
"
"axelor-stock";"StockConfig";"stock-config-form";"stockMoveAutomaticMail";"By checking this box, an email will automatically be sent when performing a stock movement. You can select the message template that will be sent."
