"name";"roles"
"invoice-root";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-custinvoices";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-custrefunds";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-purchase-supinvoices";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-my-awaiting-pfp";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-pfp";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-pfp-my-awaiting-pfp";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-pfp-awaiting-pfp";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-purchase-suprefunds";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-invoice-terms";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-report";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing-custinvoices";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing-custrefunds";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing-supplinvoices";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing-supplrefunds";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-sale-invoice-dashboard-1";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-purchase-invoice-dashboard-1";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-invoice-advanced";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-sale-invoice-advanced";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-purchase-invoice-advanced";"Invoice Manager|Invoice User|Invoice Read"
"invoice-conf";"Invoice Manager"
"invoice-conf-refusalreason";"Invoice Manager"
"invoice-conf-pfp-partial-reason";"Invoice Manager"
