"name";"roles"
"account-root-payment-schedule";"Account Manager|Account User|Account Read"
"account-root-payment-schedule-payment-schedule";"Account Manager|Account User|Account Read"
"account-root-payment-schedule-payment-schedule-line";"Account Manager|Account User|Account Read"
"account-root";"Account Manager|Account User|Account Read"
"account-root-move";"Account Manager|Account User|Account Read"
"account-root-move-move";"Account Manager|Account User|Account Read"
"account-root-payments";"Account Manager|Account User|Account Read"
"account-root-payments-payment-voucher";"Account Manager|Account User|Account Read"
"account-root-periodic-processing";"Account Manager|Account User|Account Read"
"account-root-periodic-processing-reconcile";"Account Manager|Account User|Account Read"
"account-root-periodic-processing-overpayment-clearances";"Account Manager|Account User|Account Read"
"account-root-periodic-processing-shift-irrecoverable";"Account Manager|Account User|Account Read"
"account-root-periodic-processing-cheque-reject";"Account Manager|Account User|Account Read"
"account-root-debt-recovery";"Account Manager|Account User|Account Read"
"debt-recovery-root-history";"Account Manager|Account User|Account Read"
"debt-recovery-root-subrogation-releases";"Account Manager|Account User|Account Read"
"debt-recovery-root-notifications";"Account Manager|Account User|Account Read"
"debt-recovery-root-conf";"Account Manager"
"debt-recovery-root-conf-debt-recovery-method";"Account Manager"
"debt-recovery-root-conf-debt-recovery-level";"Account Manager"
"account-root-accounting";"Account Manager|Account User|Account Read"
"account-root-accounting-reimbursement";"Account Manager|Account User|Account Read"
"account-root-accounting-cheque-deposit-slip-all";"Account Manager|Account User|Account Read"
"account-root-accounting-accounting-reports";"Account Manager|Account User|Account Read"
"account-root-accounting-accounting-exports";"Account Manager|Account User|Account Read"
"account-root-report";"Account Manager|Account User|Account Read"
"account-conf";"Account Manager"
"account-conf-financial";"Account Manager"
"account-conf-fiscal-position";"Account Manager"
"account-conf-financial-year";"Account Manager"
"account-conf-financial-period";"Account Manager"
"account-conf-financial-journal";"Account Manager"
"account-conf-financial-journal-type";"Account Manager"
"account-conf-financial-account";"Account Manager"
"account-conf-financial-accounting-plan";"Account Manager"
"account-conf-financial-account-management";"Account Manager"
"account-conf-financial-account-type";"Account Manager"
"account-conf-financial-tax";"Account Manager"
"account-conf-analytic";"Account Manager"
"account-conf-analytic-journal";"Account Manager"
"account-conf-analytic-account";"Account Manager"
"account-conf-analytic-accounting-plan";"Account Manager"
"account-conf-analytic-axis";"Account Manager"
"account-conf-analytic-move-line";"Account Manager"
"account-conf-analytic-distribution-template";"Account Manager"
"account-conf-payment";"Account Manager"
"account-conf-payment-payment-mode";"Account Manager"
"account-conf-payment-payment-condition";"Account Manager"
"account-conf-reporting";"Account Manager"
"account-conf-reporting-interbank-code";"Account Manager"
"admin-root-batch-accounting";"Account Manager"
"menu-accounting-dashboard-1";"Account Manager|Account User|Account Read"
"move-template-wizard";"Account Manager|Account User|Account Read"
"move-template-root";"Account Manager"
"move-template";"Account Manager"
"move-template-line";"Account Manager"
"move-template-type";"Account Manager"
