"importId";"titleSelect";"firstName";"name";"mobilePhone";"fixedPhone";"email";"recruitmentTypeSelect";"address";"availabilitySelect";"availabilityDate";"decisionDate";"salaryExpectation";"relocationSelect";"globalEvaluation";"resume";"coverLetter";"macroCategorySelect";"categorySelect";"toolKeywordSet_importId";"fieldKeywordSet_importId";"jobKeywordSet_importId";"_partnerSet";"degree.id";"evaluationGrade";"personalInfo.id";"competence"
1;1;"Alexander";"SIMPSON";"07.63.38.75.99";;"a.simpson@free.fr";1;;4;;;;2;;;;3;3;;;;;51;13;1;
2;1;"Kieran";"MCCALL";"07.24.72.43.99";;"k.mccall@yahoo.fr";1;;2;;;;1;;;;5;2;;;;;2;12;2;
3;2;"Lisa";"PRITCHARD";"07.53.67.51.99";;"l.pritchard@free.fr";0;;5;;;;1;;;;5;2;;;;;37;15;3;
4;1;"Bruno";"SANDOVAL";"07.17.43.97.99";;"b.sandoval@gmail.fr";0;;2;;;;3;;;;3;3;;;;;49;12;4;
5;1;"Dominic";"BEASLEY";"07.59.67.22.99";;"d.beasley@free.fr";0;;1;;;;1;;;;6;3;;;;;32;9;5;
6;2;"Martina";"PHILLIPS";"07.22.91.50.99";;"m.phillips@yahoo.fr";0;;7;;;;2;;;;5;2;;;;;9;14;6;
7;1;"Simon";"RITCHIE";"07.50.64.73.99";;"s.ritchie@yahoo.fr";1;;7;;;;3;;;;4;1;;;;;40;18;7;
8;2;"Catherine";"PUTNAM";"07.22.76.87.99";;"c.putnam@sfr.fr";1;;8;"2013-06-08";;;1;;;;6;3;;;;;34;8;8;
9;1;"Leo";"CALHOUN";"07.68.74.53.99";;"l.calhoun@sfr.fr";0;;4;;;;3;;;;6;3;;;;;3;8;9;
10;1;"Brian";"HICKMAN";"07.90.65.40.99";;"b.hickman@free.fr";0;;4;;;;3;;;;2;2;;;;;64;17;10;
11;2;"Veronica";"HAHN";"07.57.18.70.99";;"v.hahn@free.fr";0;;6;;;;1;;;;4;1;;;;;16;15;11;
12;1;"Sebastian";"CONNOLLY";"07.61.67.41.99";;"s.connolly@sfr.fr";1;;2;;;;3;;;;1;1;;;;;54;19;12;
13;1;"Stephen";"STEPHENS";"07.82.39.28.99";;"s.stephens@gmail.fr";1;;4;;;;3;;;;1;1;;;;;65;15;13;
14;1;"Philip";"MCKENNA";"07.63.84.31.99";;"p.mckenna@yahoo.fr";1;;5;;;;3;;;;6;3;;;;;32;16;14;
15;1;"Kenny";"STRICKLAND";"07.30.40.98.99";;"k.strickland@free.fr";0;;1;;;;3;;;;6;3;;;;;24;9;15;
16;1;"Julien";"VIDAL";"07.20.81.47.99";;"j.vidal@gmail.fr";1;;5;;;;2;;;;6;3;;;;;24;12;16;
17;2;"Anne";"ROQUES";"07.37.91.79.99";;"a.roques@gmail.fr";0;;6;;;;2;;;;4;1;;;;;30;8;17;
18;2;"Cindy";"AUBERT";"07.94.58.59.99";;"c.aubert@sfr.fr";1;;5;;;;2;;;;6;3;;;;;15;13;18;
19;1;"Thibaut";"NEVEU";"07.21.57.90.99";;"t.neveu@free.fr";0;;5;;;;2;;;;6;3;;;;;16;19;19;
20;2;"Anna";"GILLET";"07.74.93.66.99";;"a.gillet@free.fr";1;;4;;;;2;;;;6;3;;;;;27;11;20;
21;2;"Elise";"GERMAIN";"07.58.29.53.99";;"e.germain@yahoo.fr";0;;7;;;;2;;;;2;2;;;;;53;10;21;
22;1;"Max";"CARRE";"07.69.76.71.99";;"m.carre@yahoo.fr";1;;8;"2013-06-08";;;2;;;;6;3;;;;;32;19;22;
23;1;"Yann";"PARMENTIER";"07.26.13.70.99";;"y.parmentier@gmail.fr";0;;5;;;;1;;;;1;1;;;;;59;10;23;
24;1;"Kevin";"RODRIGUES";"07.84.57.87.99";;"k.rodrigues@sfr.fr";0;;1;;;;2;;;;2;2;;;;;70;8;24;
25;1;"Vincent";"RAYNAUD";"07.10.14.76.99";;"v.raynaud@yahoo.fr";0;;8;"2013-06-08";;;2;;;;1;1;;;;;72;12;25;
26;2;"Angelique";"VILLAIN";"07.16.54.29.99";;"a.villain@yahoo.fr";1;;2;;;;3;;;;5;2;;;;;4;11;26;
27;1;"Pierre";"DUPONT";"07.77.46.67.99";;"p.dupont@sfr.fr";0;;1;;;;1;;;;5;2;;;;;42;8;27;
28;2;"Elodie";"BLOT";"07.80.35.45.99";;"e.blot@sfr.fr";1;;7;;;;1;;;;5;2;;;;;42;12;28;
