"importId";"partner_importId";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic";
1;2;"MARTIN Mickaël";75011;"45 BD VOLTAIRE  75011 PARIS";"CRLYFRPPXXX";"FR30002055218056299524299";"FR";"30002";"05521";80562995242;99;"FR30002055218056299524299 CRLYFRPPXXX";
2;3;"BERNARD Henry";69003;"IMM LE FONTENOY 96 BD MARIUS VIVIER MERLE 69003 LYON";"CRLYFRPPXXX";"FR30002088025156078354899";"FR";"30002";"08802";51560783548;99;"FR30002088025156078354899 CRLYFRPPXXX";
3;5;"DUBOIS Paul";69003;"IMM LE FONTENOY 96 BD MARIUS VIVIER MERLE 69003 LYON";"CRLYFRPPXXX";"FR30002088023472537112099";"FR";"30002";"08802";34725371120;99;"FR30002088023472537112099 CRLYFRPPXXX";
4;7;"THOMAS Maurice";69003;"IMM LE FONTENOY 96 BD MARIUS VIVIER MERLE 69003 LYON";"CRLYFRPPXXX";"FR30002088026640742787599";"FR";"30002";"08802";66407427875;99;"FR30002088026640742787599 CRLYFRPPXXX";
5;8;"ROBERT Bernard";69008;"18 PL AMBROISE COURTOIS  69008 LYON";"CRLYFRPPXXX";"FR30002053875948466246399";"FR";"30002";"05387";59484662463;99;"FR30002053875948466246399 CRLYFRPPXXX";
6;10;"RICHARD Louis-Marie";69008;"18 PL AMBROISE COURTOIS  69008 LYON";"CRLYFRPPXXX";"FR30002053877804667475599";"FR";"30002";"05387";78046674755;99;"FR30002053877804667475599 CRLYFRPPXXX";
7;11;"PETIT Frédéric";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000013311281957299";"FR";"24599";"00001";33112819572;99;"FR24599000013311281957299 BARCFRPPXXX";"FR24599000013662443072599 BARCFRPPXXX"
8;1000;"DURAND Jean-Luc";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000014265774414899";"FR";"24599";"00001";42657744148;99;"FR24599000014265774414899 BARCFRPPXXX";"FR24599000015380460807299 BARCFRPPXXX"
9;13;"LEROY Vincent";75001;"354 RUE ST HONORE  75001 PARIS";"CRLYFRPPXXX";"FR30002050823931103523699";"FR";"30002";"05082";39311035236;99;"FR30002050823931103523699 CRLYFRPPXXX";
10;14;"MOREAU Christian";75013;"11, PL D ITALIE 11 PL D ITALIE 75013 PARIS";"BKCHFRPPXXX";"FR18769000028863427358999";"FR";"18769";"00002";88634273589;99;"FR18769000028863427358999 BKCHFRPPXXX";"FR18769000025144288086799 BKCHFRPPXXX"
11;16;"SIMON Olivier";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050747216848238299";"FR";"30002";"05074";72168482382;99;"FR30002050747216848238299 CRLYFRPPXXX";
12;17;"LAURENT Jacques";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050743528883601699";"FR";"30002";"05074";35288836016;99;"FR30002050743528883601699 CRLYFRPPXXX";
13;19;"LEFEBVRE Thierry";75001;"354 RUE ST HONORE  75001 PARIS";"CRLYFRPPXXX";"FR30002050822450432569099";"FR";"30002";"05082";24504325690;99;"FR30002050822450432569099 CRLYFRPPXXX";
14;21;"MICHEL Loic";75002;"32 AV DE L OPERA  75002 PARIS";"CRLYFRPPXXX";"FR30002050806159685245899";"FR";"30002";"05080";61596852458;99;"FR30002050806159685245899 CRLYFRPPXXX";
15;22;"GARCIA Daniel";77420;"55 BIS R DE PARIS  77200 TORCY";"BNPAFRPPXXX";"FR30004020962370609015699";"FR";"30004";"02096";23706090156;99;"FR30004020962370609015699 BNPAFRPPXXX";
16;23;"DAVID Laurent";77200;"55 BIS R DE PARIS  77200 TORCY";"BNPAFRPPXXX";"FR30004020963712102458499";"FR";"30004";"02096";37121024584;99;"FR30004020963712102458499 BNPAFRPPXXX";
17;25;"BERTRAND Philippe";92240;"BUILDING PASTEUR, BLOC 1 91-93 BOULEVARD PASTEUR 92127 PARIS";"AGRIFRPPXXX";"FR30006000015159688388099";"FR";"30006";"00001";51596883880;99;"FR30006000015159688388099 AGRIFRPPXXX";"FR30006000019920433562899 AGRIFRPPXXX"
18;26;"ROUX Jean Philippe";93000;"CENTRE COMMERCIAL DE BOBIGNY II BOULEVARD MAURICE THOREZ 93000 BOBIGNY";"CRLYFRPPXXX";"FR30002013679561473629399";"FR";"30002";"01367";95614736293;99;"FR30002013679561473629399 CRLYFRPPXXX";
19;27;"VINCENT Philippe";94000;"CTRE CIAL LES ARCADES CLOS MONT D EST 93160 NOISY LE GRAND";"CRLYFRPPXXX";"FR30002094105592256702999";"FR";"30002";"09410";55922567029;99;"FR30002094105592256702999 CRLYFRPPXXX";
20;29;"FOURNIER William";95000;"207 RUE CARNOT  94120 NOISY LE GRAND";"BNPAFRPPXXX";"FR30004024454121482080399";"FR";"30004";"02445";41214820803;99;"FR30004024454121482080399 BNPAFRPPXXX";
21;30;"MOREL Séverine";92800;"TOUR ARIANE QUARTIER VILLON 5 PL DE LA PYRAMIDE 92800 PARIS LA DEFENSE CEDEX 22";"CRLYFRPPXXX";"FR30002685137088729754899";"FR";"30002";"68513";70887297548;99;"FR30002685137088729754899 CRLYFRPPXXX";
22;32;"GIRARD Denis";75020;"4 RUE D AVRON  75020 PARIS";"CRLYFRPPXXX";"FR30002055183048221780099";"FR";"30002";"05518";30482217800;99;"FR30002055183048221780099 CRLYFRPPXXX";
23;33;"ANDRE Jean Pierre";75020;"4 RUE D AVRON  75020 PARIS";"CRLYFRPPXXX";"FR30002055184381624108499";"FR";"30002";"05518";43816241084;99;"FR30002055184381624108499 CRLYFRPPXXX";
24;1001;"MERCIER Ludovic";75019;"ZAC CLAUDE BERNARD 134 BD MAC DONALD 75019 PARIS";"BNPAFRPPXXX";"FR30004031004632402531599";"FR";"30004";"03100";46324025315;99;"FR30004031004632402531599 BNPAFRPPXXX";
25;35;"DUPONT Albert";75019;"ZAC CLAUDE BERNARD 134 BD MAC DONALD 75019 PARIS";"BNPAFRPPXXX";"FR30004031005373224615799";"FR";"30004";"03100";53732246157;99;"FR30004031005373224615799 BNPAFRPPXXX";
26;36;"LAMBERT Jérôme";75018;"20 RUE DES ABBESSES  75018 PARIS";"CRLYFRPPXXX";"FR30002055289875270875999";"FR";"30002";"05528";98752708759;99;"FR30002055289875270875999 CRLYFRPPXXX";
27;38;"BONNET Françoise";75018;"20 RUE DES ABBESSES  75018 PARIS";"CRLYFRPPXXX";"FR30002055282309616822599";"FR";"30002";"05528";23096168225;99;"FR30002055282309616822599 CRLYFRPPXXX";
28;39;"FRANCOIS Nelly";75017;"85 B AV DE WAGRAM  75017 PARIS";"CRLYFRPPXXX";"FR30002051063203585237899";"FR";"30002";"05106";32035852378;99;"FR30002051063203585237899 CRLYFRPPXXX";
29;41;"MARTINEZ Chantal";75017;"85 B AV DE WAGRAM  75017 PARIS";"CRLYFRPPXXX";"FR30002051062271187034399";"FR";"30002";"05106";22711870343;99;"FR30002051062271187034399 CRLYFRPPXXX";
