"importId";"titleSelect";"firstName";"name";"entryDate";"companyDepartment.id";"internalContact.importId";"dailySalaryCost";"macroCategorySelect";"categorySelect";"personalInfo.importId";"toolKeywordSet_importId";"fieldKeywordSet_importId";"jobKeywordSet_importId";"competence";"emergencyContact";"emergencyNumber";"candidate.id"
1;1;"Yoann";"MARQUES";"2013-05-15";1;90001;;3;3;90001;"17|54|61";70;119;;"M. MARQUES";"06.38.80.71.99";
2;2;"Lucy";"ROBERT";"2013-05-15";1;90002;;5;2;90002;"17|35";"70|8";102;;"M. ROBERT";"06.45.71.73.99";
3;1;"Lucas";"RICHARD";"2013-05-15";2;90003;;2;2;90003;"61|35|14";70;"108";;"M. RICHARD";"06.72.59.59.99";
7;1;"Daniel";"SILVA";"2013-05-15";2;90004;;3;3;90004;"51|61|84|25";"70|4";107;;"M. SILVA";"06.16.75.93.99";
9;1;"Charles";"MARTIN";"2013-05-15";2;90005;;2;2;90005;"66|25|18";70;110;;"M. MARTIN";"06.67.89.42.99";
10;1;"Kevin";"DEMOERP";"2013-05-15";3;90006;;2;2;90006;"17|54|61|45";70;115;;"M. FERRER";"06.12.69.26.99";
11;1;"Charles";"DEMOCRM";"2013-05-15";3;90007;;1;1;90007;"54|16|45";70;103;;"Mme FERRAND";"06.13.27.34.99";
12;1;"Tony";"RAYMOND";"2013-05-15";3;90008;;1;1;90008;"79|54|82";70;103;;"Mme RAYMOND";"06.68.35.26.99";
13;1;"Thomas";"LAMY";"2013-05-15";3;90009;;1;1;90009;"79|82|54";70;103;;"Mme LAMY";"06.42.78.91.99";
14;2;"Anne";"GIRAULT";"2013-05-15";3;90010;;1;1;90010;"79|54";70;103;;"Mme GIRAULT";"06.15.32.98.99";
15;1;"Dimitri";"GEOFFROY";"2013-05-15";3;90011;;2;2;90011;"54|16|79";70;103;;"Mme GEOFFROY";"06.34.82.82.99";
16;1;"Alex";"DAVID";"2013-05-15";4;90012;;1;1;90012;"2|54";70;113;;"Mme DAVID";"06.62.85.95.99";
17;1;"William";"ANDRE";"2013-05-15";5;90013;;2;2;90013;"61|4|7|43";70;108;;"Mme ANDRE";"06.52.61.99.99";
20;1;"David";"MAURIN";"2013-05-15";6;90014;;1;1;90014;"17|25|61|14";70;108;;"Mme MAURIN";"06.58.20.91.99";
21;1;"Cyril";"MARCHAL";"2013-05-15";6;90015;;4;1;90015;"17|25";70;"132";;"Mme FERNANDES";"06.95.76.72.99";
22;1;"Robin";"COSTA";"2013-05-15";6;90016;;4;1;90016;"17|25";70;"132";;"Mme COSTA";"06.88.63.54.99";
23;1;"Romane";"COLIN";"2013-05-15";7;90017;;1;1;90017;"17|67|43";"70|8";114;;"Mme COLIN";"06.89.23.47.99";
24;2;"Victoria";"LOUIS";"2013-05-15";8;90018;;2;2;90018;18;70;139;;"Mme COHEN";"06.20.14.35.99";
