"importId";"partnerSeq";"partnerTypeSelect";"isContact";"name";"firstName";"titleSelect";"language.code";"mainInvoicingAddress.importId";"deliveryAddress.importId";"email";"fixedPhone";"mobilePhone";"bankDetails.importId";"invoiceSendingFormatSelect";"paymentMode.code";"paymentCondition.code";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"isCustomer";"customerTypeSelect";"isSupplier";"supplierTypeSelect";"industrySectorSelect";"userInfo.importId";"team.importId";"source.id"
1;"T00001";1;"false";"MARTIN Industries";;;"fr";1;1;"info@martin-industries.fr";"04.41.40.42.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;17;16;2;10
2;"T00002";2;"true";"MARTIN";"Mickaël";1;"fr";1;1;"m.martin@martin-industries.fr";"04.54.98.54.99";"06.93.73.43.99";;;;;;;;;1;;;1;"false";;"false";;;;;
3;"T00003";2;"true";"BERNARD";"Henry";1;"fr";1;1;"h.bernard@martin-industries.fr";"04.59.45.84.99";"07.97.77.48.99";;;;;;;;;1;;;1;"false";;"false";;;;;
4;"T00004";1;"false";"DB Services";;;"fr";20;20;"info@db-services.fr";"03.69.41.38.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;7;14;1;9
5;"T00005";2;"true";"DUBOIS";"Paul";1;"fr";20;20;"p.dubois@db-services.fr";"03.96.82.60.99";"07.25.80.19.99";;;;;;;;;1;;;4;"false";;"false";;;;;
6;"T00006";1;"false";"TM Composants";;;"fr";30;30;"contact@tm-composants.fr";"04.56.12.12.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;9;16;2;10
7;"T00007";2;"true";"THOMAS";"Maurice";1;"fr";30;30;"m.thomas@tm-composants.fr";"04.37.78.59.99";"07.41.97.48.99";;;;;;;;;1;;;6;"false";;"false";;;;;
8;"T00008";2;"true";"ROBERT";"Bernard";1;"fr";30;30;"b.robert@tm-composants.fr";"04.86.69.96.99";"07.98.25.23.99";;;;;;;;;1;;;6;"false";;"false";;;;;
9;"T00009";1;"false";"Ets RICHARD";;;"fr";40;40;"contact@ets-richard.fr";"04.87.24.94.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;20;16;2;6
10;"T00010";2;"true";"RICHARD";"Louis-Marie";1;"fr";40;40;"l.richard@ets-richard.fr";"04.19.46.87.99";"06.46.34.61.99";;;;;;;;;1;;;9;"false";;"false";;;;;
11;"T00011";2;"true";"PETIT";"Frédéric";1;"fr";40;40;"f.petit@ets-richard.fr";"04.16.68.53.99";"07.14.79.96.99";;;;;;;;;1;;;9;"false";;"false";;;;;
12;"T00012";1;"false";"LEROY TRANSPORTS";;;"fr";50;50;"contact@leroytransports.fr";"04.32.27.66.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;21;15;2;3
13;"T00013";2;"true";"LEROY";"Vincent";1;"fr";50;50;"v.leroy@leroytransports.fr";"04.28.14.70.99";"07.98.70.84.99";;;;;;;;;1;;;12;"false";;"false";;;;;
14;"T00014";2;"true";"MOREAU";"Christian";1;"fr";50;50;"c.moreau@leroytransports.fr";"04.97.87.36.99";"06.32.88.36.99";;;;;;;;;1;;;12;"false";;"false";;;;;
15;"T00015";1;"false";"SIMON";;;"fr";60;60;"contact@simon.fr";"04.77.28.67.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;1;16;2;3
16;"T00016";2;"true";"SIMON";"Olivier";1;"fr";60;60;"o.simon@simon.fr";"04.77.44.33.99";"07.48.59.74.99";;;;;;;;;1;;;15;"false";;"false";;;;;
17;"T00017";2;"true";"LAURENT";"Jacques";1;"fr";60;60;"j.laurent@simon.fr";"04.85.15.45.99";"06.43.48.39.99";;;;;;;;;1;;;15;"false";;"false";;;;;
18;"T00018";1;"false";"TOP Service";;;"fr";61;61;"contact@top-service.fr";"04.53.73.56.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;7;15;2;7
19;"T00019";2;"true";"LEFEBVRE";"Thierry";1;"fr";61;61;"t.lefebvre@top-service.fr";"04.33.34.76.99";"06.42.90.93.99";;;;;;;;;1;;;18;"false";;"false";;;;;
20;"T00020";1;"false";"APOLLO";;;"fr";62;62;"info@apollo.fr";"04.86.46.79.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;4;15;2;5
21;"T00021";2;"true";"MICHEL";"Loic";1;"fr";62;62;"l.michel@apollo.fr";"04.51.10.79.99";"06.41.66.37.99";;;;;;;;;1;;;20;"false";;"false";;;;;
22;"T00022";2;"true";"GARCIA";"Daniel";1;"fr";62;62;"d.garcia@apollo.fr";"04.27.12.59.99";"06.89.42.54.99";;;;;;;;;1;;;20;"false";;"false";;;;;
23;"T00023";2;"true";"DAVID";"Laurent";1;"fr";62;62;"l.david@apollo.fr";"04.66.41.34.99";"07.95.48.27.99";;;;;;;;;1;;;20;"false";;"false";;;;;
24;"T00024";1;"false";"SPOUTNIK Communications";;;"fr";70;70;"contact@spoutnik.fr";"04.22.43.17.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;5;15;2;9
