"importId";"code_fr_FR";"name_fr_FR";"code_en_EN";"name_en_EN"
1;"U";"Unité";"U";"Unit"
2;"PCE";"Pièce";"PCE";"Piece"
3;"%";"Percent";"%";"Percent"
4;"MIN";"Minute";"MIN";"Minute"
5;"HRE";"Heure";"HOUR";"Hour"
6;"1/2-JR";"Demi-journée";"1/2-DAY";"Half-Day"
7;"JR";"Jour";"DAY";"Day"
8;"SEM";"Semaine";"WEEK";"Week"
9;"MOIS";"Mois";"MTH";"Month"
10;"ANNEE";"Année";"YR";"Year"
11;"BTE2";"Boîte de 2 Pces";"BOX2";"Box of 2 Pces"
12;"BTE6";"Boîte de 6 Pces";"BOX6";"Box of 6 Pces"
13;"BTE12";"Boîte de 12 Pces";"BOX12";"Box of 12 Pces"
14;"BTE24";"Boîte de 24 Pces";"BOX24";"Box of 24 Pces"
15;"BTE50";"Boîte de 50 Pces";"BOX50";"Box of 50 Pces"
16;"BTE100";"Boîte de 100 Pces";"BOX100";"Box of 100 Pces"
17;"BTE500";"Boîte de 500 Pces";"BOX500";"Box of 500 Pces"
18;"BTE1000";"Boîte de 1000 Pces";"BOX1000";"Box of 1000 Pces"
