"partner";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic"
1;"MARTIN Mickaël";75011;"45 BD VOLTAIRE  75011 PARIS";"CRLYFRPPXXX";"FR30002055217001067366399";"FR";"30002";"05521";70010673663;99;"FR30002055217001067366399 CRLYFRPPXXX"
2;"BERNARD Henry";69003;"IMM LE FONTENOY 96 BD MARIUS VIVIER MERLE 69003 LYON";"CRLYFRPPXXX";"FR30002088025583449720899";"FR";"30002";"08802";55834497208;99;"FR30002088025583449720899 CRLYFRPPXXX"
3;"DUBOIS Paul";69003;"IMM LE FONTENOY 96 BD MARIUS VIVIER MERLE 69003 LYON";"CRLYFRPPXXX";"FR30002088026710704629199";"FR";"30002";"08802";67107046291;99;"FR30002088026710704629199 CRLYFRPPXXX"
4;"THOMAS Maurice";69003;"IMM LE FONTENOY 96 BD MARIUS VIVIER MERLE 69003 LYON";"CRLYFRPPXXX";"FR30002088028169054044799";"FR";"30002";"08802";81690540447;99;"FR30002088028169054044799 CRLYFRPPXXX"
5;"ROBERT Bernard";69008;"18 PL AMBROISE COURTOIS  69008 LYON";"CRLYFRPPXXX";"FR30002053879718394961499";"FR";"30002";"05387";97183949614;99;"FR30002053879718394961499 CRLYFRPPXXX"
6;"RICHARD Louis-Marie";69008;"18 PL AMBROISE COURTOIS  69008 LYON";"CRLYFRPPXXX";"FR30002053876736396247299";"FR";"30002";"05387";67363962472;99;"FR30002053876736396247299 CRLYFRPPXXX"
7;"PETIT Frédéric";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000013662443072599";"FR";"24599";"00001";36624430725;99;"FR24599000013662443072599 BARCFRPPXXX"
8;"DURAND Jean-Luc";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000015380460807299";"FR";"24599";"00001";53804608072;99;"FR24599000015380460807299 BARCFRPPXXX"
9;"LEROY Vincent";75001;"354 RUE ST HONORE  75001 PARIS";"CRLYFRPPXXX";"FR30002050829608827384899";"FR";"30002";"05082";96088273848;99;"FR30002050829608827384899 CRLYFRPPXXX"
10;"MOREAU Christian";75013;"11, PL D ITALIE 11 PL D ITALIE 75013 PARIS";"BKCHFRPPXXX";"FR18769000025144288086799";"FR";"18769";"00002";51442880867;99;"FR18769000025144288086799 BKCHFRPPXXX"
11;"SIMON Olivier";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050744079107422199";"FR";"30002";"05074";40791074221;99;"FR30002050744079107422199 CRLYFRPPXXX"
12;"LAURENT Jacques";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050741291519269099";"FR";"30002";"05074";12915192690;99;"FR30002050741291519269099 CRLYFRPPXXX"
13;"LEFEBVRE Thierry";75001;"354 RUE ST HONORE  75001 PARIS";"CRLYFRPPXXX";"FR30002050825595573349999";"FR";"30002";"05082";55955733499;99;"FR30002050825595573349999 CRLYFRPPXXX"
14;"MICHEL Loic";75002;"32 AV DE L OPERA  75002 PARIS";"CRLYFRPPXXX";"FR30002050808908213595899";"FR";"30002";"05080";89082135958;99;"FR30002050808908213595899 CRLYFRPPXXX"
15;"GARCIA Daniel";77420;"55 BIS R DE PARIS  77200 TORCY";"BNPAFRPPXXX";"FR30004020962569590611199";"FR";"30004";"02096";25695906111;99;"FR30004020962569590611199 BNPAFRPPXXX"
16;"DAVID Laurent";77200;"55 BIS R DE PARIS  77200 TORCY";"BNPAFRPPXXX";"FR30004020967013431484699";"FR";"30004";"02096";70134314846;99;"FR30004020967013431484699 BNPAFRPPXXX"
17;"BERTRAND Philippe";92240;"BUILDING PASTEUR, BLOC 1 91-93 BOULEVARD PASTEUR 92127 PARIS";"AGRIFRPPXXX";"FR30006000019920433562899";"FR";"30006";"00001";99204335628;99;"FR30006000019920433562899 AGRIFRPPXXX"
18;"ROUX Jean Philippe";93000;"CENTRE COMMERCIAL DE BOBIGNY II BOULEVARD MAURICE THOREZ 93000 BOBIGNY";"CRLYFRPPXXX";"FR30002013674721542556999";"FR";"30002";"01367";47215425569;99;"FR30002013674721542556999 CRLYFRPPXXX"
19;"VINCENT Philippe";94000;"CTRE CIAL LES ARCADES CLOS MONT D EST 93160 NOISY LE GRAND";"CRLYFRPPXXX";"FR30002094109329808660599";"FR";"30002";"09410";93298086605;99;"FR30002094109329808660599 CRLYFRPPXXX"
20;"FOURNIER William";95000;"207 RUE CARNOT  94120 NOISY LE GRAND";"BNPAFRPPXXX";"FR30004024451589649917999";"FR";"30004";"02445";15896499179;99;"FR30004024451589649917999 BNPAFRPPXXX"
21;"MOREL Séverine";92800;"TOUR ARIANE QUARTIER VILLON 5 PL DE LA PYRAMIDE 92800 PARIS LA DEFENSE CEDEX 22";"CRLYFRPPXXX";"FR30002685137949723221699";"FR";"30002";"68513";79497232216;99;"FR30002685137949723221699 CRLYFRPPXXX"
22;"GIRARD Denis";75020;"4 RUE D AVRON  75020 PARIS";"CRLYFRPPXXX";"FR30002055189014603495999";"FR";"30002";"05518";90146034959;99;"FR30002055189014603495999 CRLYFRPPXXX"
