"id";"titleSelect";"name";"firstName";"entryDate";"companyDepartment.id";"internalContact.importId";"dailySalaryCost";"macroCategorySelect";"categorySelect";"personalInfo.importId";"toolKeywordSet_importId";"fieldKeywordSet_importId";"jobKeywordSet_importId";"partnerSet";"competence";"emergencyContact";"emergencyNumber";"candidate.id"
1;1;"Yoann";"MARQUES";2009-04-14;1;90001;;3;3;90001;"17|54|61";8;119;;;"M. MARQUES";"06.50.33.75.99";
2;2;"Lucy";"ROBERT";2009-04-14;1;90002;;5;2;90002;"17|35";"8|8";102;;;"M. ROBERT";"06.57.84.45.99";
3;1;"Lucas";"RICHARD";2009-04-14;2;90003;;2;2;90003;"61|35|8";8;"122";;;"M. RICHARD";"06.66.60.41.99";
4;1;"Loic";"HERVE";2009-04-14;2;90004;;1;1;90004;"51|61|8|10";"8|8";107;;;"M. HERVE";"06.39.83.80.99";
5;3;"Virgine";"CLEMENT";2009-04-14;2;90005;;1;1;90005;"36|53|12|78";8;131;;;"M. CLEMENT";"06.48.45.88.99";
6;1;"Jeremy";"DA";2009-04-14;2;90006;;4;1;90006;"36|37|62|78";8;131;;;"M. DA";"06.50.88.25.99";
7;1;"Daniel";"SILVA";2009-04-14;2;90007;;3;3;90007;"51|61|84|25";"8|8";107;;;"M. SILVA";"06.38.12.57.99";
8;1;"Greg";"MARCHAL";2009-04-14;2;90008;;2;2;90008;"24|82|36|46";"8|4";131;;;"M. MARCHAL";"06.52.49.47.99";
9;1;"Charles";"MARTIN";2009-04-14;2;90009;;2;2;90009;"66|25|18";8;110;;;"M. MARTIN";"06.30.64.93.99";
10;1;"Kevin";"FERRER";2009-04-14;3;90010;;2;2;90010;"17|54|61|45";8;115;;;"M. FERRER";"06.49.51.25.99";
11;1;"Charles";"FERRAND";2009-04-14;3;90011;;1;1;90011;"54|16|45";8;103;;;"Mme FERRAND";"06.60.27.12.99";
12;1;"Tony";"RAYMOND";2009-04-14;3;90012;;1;1;90012;"79|54";8;103;;;"Mme RAYMOND";"06.13.58.81.99";
13;1;"Thomas";"LAMY";2009-04-14;3;90013;;1;1;90013;"79|82|54";8;103;;;"Mme LAMY";"06.64.34.33.99";
14;2;"Anne";"GIRAULT";2009-04-14;3;90014;;1;1;90014;"79|54";8;103;;;"Mme GIRAULT";"06.15.95.16.99";
15;1;"Dimitri";"GEOFFROY";2009-04-14;3;90015;;2;2;90015;"54|16";8;103;;;"Mme GEOFFROY";"06.11.85.30.99";
16;1;"Alex";"DAVID";2009-04-14;4;90016;;1;1;90016;"2|54";8;113;;;"Mme DAVID";"06.67.67.88.99";
17;1;"William";"ANDRE";2009-04-14;5;90017;;2;2;90017;"61|8|35|24";8;108;;;"Mme ANDRE";"06.86.20.94.99";
18;3;"Victoria";"LOUIS";2009-04-14;5;90018;;5;2;90018;"8|24|82|35";8;"133";;;"Mme LOUIS";"06.67.64.88.99";
19;1;"Simon";"RICHARD";2009-04-14;5;90019;;5;2;90019;"8|19|52|79";8;"131";;;"Mme RICHARD";"06.84.59.49.99";
20;1;"David";"MAURIN";2009-04-14;6;90020;;1;1;90020;"17|25|61|35";8;108;;;"Mme MAURIN";"06.54.89.14.99";
21;1;"Cyril";"FERNANDES";2009-04-14;6;90021;;4;1;90021;"17|25";8;"136";;;"Mme FERNANDES";"06.73.40.68.99";
22;2;"Robin";"COSTA";2009-04-14;6;90022;;4;1;90022;"17|25";8;"136";;;"Mme COSTA";"06.88.76.54.99";
23;1;"Romane";"COLIN";2009-04-14;7;90023;;1;1;90023;"17|67|43";"8|8";114;;;"Mme COLIN";"06.38.33.76.99";
24;2;"Sophie";"COHEN";2009-04-14;8;90024;;2;2;90024;18;8;139;;;"Mme COHEN";"06.96.39.50.99";
