"importId";"titleSelect";"enterpriseName";"name";"firstName";"officeName";"jobTitle_fr";"jobTitle_en";"mobile";"department";"fax";"website";"email";"description_fr_FR";"description_en_EN";"contactDate";"statusSelect";"leadSource";"statusDescription";"leadSourceDescription";"campaign.id";"referredBy";"isDoNotCall";"userInfo";"team.id"
1;1;"APP Solutions";"Bastien";"HUBERT";;"Responsable Achats";"Consultant";"07.73.11.99.99";;;;"b.hubert@app-solutions.fr";;;41276;3;9;;;;;"true";16;1
2;2;"G&Q International";"Louise";"BERTHELOT";;"Consultant";"Consultant";"07.18.36.39.99";;;;"l.berthelot@gq-international.fr";;;41280;7;5;;;;;"false";17;2
3;1;"GORDON Solutions";"Théo";"GOMEZ";;"PDG";"Consultant";;;;;"t.gomez@gordon-solutions.fr";;;41284;6;8;;;;;"true";18;3
4;2;"KGM Media";"Christelle";"RAULT";;"PDG";"Project Manager";;;;;"c.rault@kgm-media.fr";;;41288;5;1;;;;;"false";19;4
5;2;"YEU Solutions";"Margot";"PARIS";;"Consultant";"CEO";;;;;"m.paris@yeu-solutions.fr";;;41292;2;1;;;;;"true";20;5
6;2;"A&U Web";"Juliette";"FERNANDES";;"Gérant";"Consultant";;;;;"j.fernandes@au-web.fr";;;41296;7;2;;;;;"false";21;1
7;2;"B&T Web";"Margot";"THIERY";;"Consultant";"CEO";"07.44.59.12.99";;;;"m.thiery@bt-web.fr";;;41300;5;5;;;;;"true";22;2
8;1;"B&X Web";"Étienne";"DURANT";;"PDG";"Project Manager";"06.68.94.94.99";;;;"é.durant@bx-web.fr";;;41304;5;5;;;;;"false";23;3
9;2;"WIX Solutions";"Claire";"BRAULT";;"Gérant";"Owner";"06.74.88.59.99";;;;"c.brault@wix-solutions.fr";;;41308;7;5;;;;;"true";24;4
10;1;"Q&L Solutions";"Nicolas";"LEBLANC";;"Consultant";"Owner";"06.98.32.72.99";;;;"n.leblanc@ql-solutions.fr";;;41312;1;8;;;;;"false";25;5
11;2;"GEH Systems";"Julia";"GRANGER";;"Acheteur";"Consultant";"06.73.13.31.99";;;;"j.granger@geh-systems.fr";;;41316;5;6;;;;;"true";26;1
