"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"isEmployee";"name";"firstName";"titleSelect";"languageCode";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"paymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName";"invoicesCopySelect";"registrationCode";"businessCountry.importId"
20;1;"false";"true";"true";"false";"APOLLO";;;"fr";62;"info@apollo.fr";"04.35.79.88.99";;;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;4;11;2;5;;"img//partner/20_120px.png";1;"732 829 320 00074";"67"
21;2;"true";"false";"false";"false";"MICHEL";"Loic";1;"fr";62;"l.michel@apollo.fr";"04.31.45.39.99";"06.41.66.37.99";;;;;;;;1;;;20;;;;;;;;"img//partner/1033_128px.png";2;"876 539 297 08537";"67"
22;2;"true";"false";"false";"false";"GARCIA";"Daniel";1;"fr";62;"d.garcia@apollo.fr";"04.19.14.89.99";"06.89.42.54.99";;;;;;;;1;;;20;;;;;;;;"img//partner/1033_128px.png";1;"997 260 591 00273";"67"
23;2;"true";"false";"false";"false";"DAVID";"Laurent";1;"fr";62;"l.david@apollo.fr";"04.73.26.45.99";"07.95.48.27.99";;;;;;;;1;;;20;;;;;;;;"img//partner/1033_128px.png";2;"917 583 601 00658";"67"
44;1;"false";"true";"true";"false";"BLUEBERRY TELECOM";;;"fr";13002;"info@blueberry-telecom.fr";"04.73.67.88.99";;;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;"img//partner/44_120px.png";1;"533 880 902 50395";"67"
45;2;"true";"false";"false";"false";"ROUSSEAU";"Élisabeth";2;"fr";13001;"e.rousseau@blueberry-telecom.fr";"04.86.61.79.99";"06.14.62.29.99";;;;;;;;1;;;44;;;;;;;;"img//partner/1012_128px.png";2;"501 958 722 00974";"67"
46;2;"true";"false";"false";"false";"BLANC";"Bernard";1;"fr";13001;"b.blanc@blueberry-telecom.fr";"04.32.13.60.99";"07.83.63.98.99";;;;;;;;1;;;44;;;;;;;;"img//partner/1033_128px.png";1;"401 604 103 94765";"67"
70;1;"false";"true";"true";"false";"MASSON SA";;;"fr";311;"contact@masson.fr";"05.44.40.54.99";;;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;1;2;21;;;3;;"img//partner/70_120px.png";2;"497 161 240 02233";"67"
71;2;"true";"false";"false";"false";"MASSON";"Xavier";1;"fr";311;"x.masson@masson.fr";"05.15.60.89.99";"07.76.18.65.99";;;;;;;;1;;;70;;;;;;;;"img//partner/1033_128px.png";1;"437 847 528 37284";"67"
72;2;"true";"false";"false";"false";"SANCHEZ";"Catherine";2;"fr";311;"c.sanchez@masson.fr";"05.27.69.43.99";"07.59.17.99.99";;;;;;;;1;;;70;;;;;;;;"img//partner/1012_128px.png";2;"402 194 849 75972";"67"
77;1;"false";"true";"true";"false";"GERARD Solutions";;;"fr";330;"contact@gerard-solutions.fr";"05.22.62.48.99";;;"emailpaper";8;2;"SME";"EUR";;;1;411100;401100;;2;1;4;12;2;12;;"img//partner/77_128px.png";1;"174 135 913 07109";"67"
78;2;"true";"false";"false";"false";"GERARD";"Fabrice";1;"fr";330;"f.gerard@gerard-solutions.fr";"05.12.44.47.99";"06.90.75.97.99";;;;;;;;1;;;77;;;;;;;;"img//partner/1033_128px.png";2;"692 763 287 06456";"67"
79;2;"true";"false";"false";"false";"NGUYEN";"Xavier";1;"fr";330;"x.nguyen@gerard-solutions.fr";"05.57.53.68.99";"06.97.90.53.99";;;;;;;;1;;;77;;;;;;;;"img//partner/1033_128px.png";1;"387 900 889 00578";"67"
88;1;"false";"true";"true";"false";"123 Services";;;"fr";590;"contact@123-services.fr";"03.35.52.63.99";;;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;3;2;7;9;1;1;;"img//partner/88_120px.png";2;"481 789 754 03425";"67"
89;2;"true";"false";"false";"false";"MARTIN";"Sophie";2;"fr";590;"s.martin@123-services.fr";"03.90.66.96.99";"07.81.76.49.99";;;;;;;;1;;;88;;;;;;;;"img//partner/1012_128px.png";1;"416 160 526 78954";"67"
90;2;"true";"false";"false";"false";"PETIT";"Jacques";1;"fr";590;"j.petit@123-services.fr";"03.10.54.73.99";"06.18.74.32.99";;;;;;;;1;;;88;;;;;;;;"img//partner/1033_128px.png";2;"635 013 401 58732";"67"
