"importId";"metaModel";"metaField";"title";"addressTemplate.importId";"isRequired"
"1";"Address";"department";"Détails du destinataire";"1";"false"
"2";"Address";"floor";"Précisions de l'adresse";"1";"false"
"4";"Address";"streetName";"N° et libellé de la rue";"1";"true"
"5";"Address";"postBox";"Précisions de distribution (BP, Lieu-dit…)";"1";"false"
"6";"Address";"city";;"1";"true"
"7";"Address";"zip";;"1";"true"
"8";"Address";"department";"Informations de livraison supplémentaires";"2";"false"
"9";"Address";"streetName";"N° et nom de rue";"2";"true"
"10";"Address";"room";"Numéro d'appartement";"2";"false"
"11";"Address";"city";;"2";"true"
"12";"Address";"countrySubDivision";"Province ou territoire";"2";"true"
"13";"Address";"zip";"Code postal";"2";"true"
"14";"Address";"postBox";"BoîtePostale";"2";"false"
"15";"Address";"department";"Entreprise";"3";"false"
"16";"Address";"streetName";"N° et nom de rue";"3";"true"
"17";"Address";"room";"Numéro d'appartement";"3";"false"
"18";"Address";"city";;"3";"true"
"19";"Address";"countrySubDivision";"État";"3";"true"
"20";"Address";"zip";;"3";"true"
"21";"Address";"postBox";"Boîte postale";"3";"false"
"22";"Address";"streetName";"Adresse";"4";"true"
"23";"Address";"city";;"4";"true"
"24";"Address";"department";"Entreprise";"5";"false"
"25";"Address";"subDepartment";"Service";"5";"false"
"26";"Address";"streetName";"N° et nom de rue";"5";"true"
"27";"Address";"city";;"5";"true"
"28";"Address";"zip";"Code postal";"5";"true"
"29";"Address";"postBox";"Boîte postale";"5";"false"
"30";"Address";"department";"Informations de livraison supplémentaires";"6";"false"
"31";"Address";"streetName";"N° et nom de rue";"6";"true"
"32";"Address";"city";;"6";"true"
"33";"Address";"countrySubDivision";"État";"6";"true"
"34";"Address";"zip";"Index postal";"6";"true"
"35";"Address";"department";"Entreprise";"7";"false"
"36";"Address";"subDepartment";"Service";"7";"false"
"37";"Address";"streetName";"N° et nom de rue";"7";"true"
"38";"Address";"room";"Numéro d'appartement";"7";"false"
"39";"Address";"city";;"7";"true"
"40";"Address";"countrySubDivision";"État ou territoire";"7";"true"
"41";"Address";"zip";"CodePostal";"7";"true"
"42";"Address";"postBox";"Boîte postale";"7";"false"
"43";"Address";"buildingNumber";"N°Batiment";"8";"true"
"44";"Address";"department";"Departement";"8";"false"
"45";"Address";"buildingName";"Nom du batiment";"8";"false"
"46";"Address";"streetName";"Rue";"8";"true"
"47";"Address";"floor";"Etage";"8";"false"
"48";"Address";"room";"Appartement";"8";"false"
"49";"Address";"zip";"Zip";"8";"true"
"50";"Address";"townName";"Village";"8";"true"
"51";"Address";"townLocationName";"Localisation village";"8";"false"
"52";"Address";"buildingNumber";"N°Batiment";"9";"false"
"53";"Address";"department";"Departement";"9";"false"
"54";"Address";"buildingName";"Nom du batiment";"9";"false"
"55";"Address";"streetName";"Rue";"9";"false"
"56";"Address";"floor";"Etage";"9";"false"
"57";"Address";"room";"Appartement";"9";"false"
"58";"Address";"zip";"Zip";"9";"true"
"59";"Address";"townName";"Village";"9";"true"
"60";"Address";"postBox";"Post Box";"9";"false"
"61";"Address";"buildingNumber";"N°Batiment";"10";"true"
"62";"Address";"department";"Departement";"10";"false"
"63";"Address";"streetName";"Rue";"10";"true"
"64";"Address";"floor";"Etage";"10";"false"
"65";"Address";"room";"Appartement";"10";"false"
"66";"Address";"zip";"Zip";"10";"true"
"67";"Address";"townName";"Village";"10";"true"
"68";"Address";"countrySubDivision";"Province";"10";"true"
"69";"Address";"townLocationName";"Localisation village";"10";"false"
