"importId";"metaModel";"metaField";"title";"addressTemplate.importId";"isRequired"
"1";"Address";"department";"Détails du destinataire";"1";"false"
"2";"Address";"floor";"Précisions de l'adresse";"1";"false"
"3";"Address";"street";;"1";"false"
"4";"Address";"streetName";"N° et libellé de la rue";"1";"false"
"5";"Address";"postBox";"Précisions de distribution (BOÎ, Village...)";"1";"false"
"6";"Address";"city";;"1";"false"
"7";"Address";"zip";;"1";"false"
"8";"Address";"department";"Informations de livraison supplémentaires";"2";"false"
"9";"Address";"streetName";"N° et nom de rue";"2";"true"
"10";"Address";"room";"Numéro d'appartement";"2";"false"
"11";"Address";"city";;"2";"true"
"12";"Address";"countrySubDivision";"Province ou territoire";"2";"true"
"13";"Address";"zip";"Code postal";"2";"false"
"14";"Address";"postBox";"Boîte postale";"2";"false"
"15";"Address";"department";"Entreprise";"3";"false"
"16";"Address";"streetName";"N° et nom de rue";"3";"true"
"17";"Address";"room";"Numéro d'appartement";"3";"false"
"18";"Address";"city";;"3";"true"
"19";"Address";"countrySubDivision";"État";"3";"true"
"20";"Address";"zip";;"3";"false"
"21";"Address";"postBox";"Boîte postale";"3";"false"
"22";"Address";"streetName";"Adresse";"4";"true"
"23";"Address";"city";;"4";"true"
"24";"Address";"department";"Entreprise";"5";"false"
"25";"Address";"subDepartment";"Département";"5";"false"
"26";"Address";"streetName";"N° et nom de rue";"5";"true"
"27";"Address";"city";;"5";"true"
"28";"Address";"zip";"Code postal";"5";"true"
"29";"Address";"postBox";"Boîte postale";"5";"false"
"30";"Address";"department";"Informations de livraison supplémentaires";"6";"false"
"31";"Address";"streetName";"N° et nom de rue";"6";"true"
"32";"Address";"city";;"6";"true"
"33";"Address";"countrySubDivision";"État";"6";"true"
"34";"Address";"zip";"Code PIN";"6";"true"
"35";"Address";"department";"Entreprise";"7";"false"
"36";"Address";"subDepartment";"Département";"7";"false"
"37";"Address";"streetName";"N° et nom de rue";"7";"true"
"38";"Address";"room";"Numéro d'appartement";"7";"false"
"39";"Address";"city";;"7";"true"
"40";"Address";"countrySubDivision";"État ou territoire";"7";"true"
"41";"Address";"zip";"Code postal";"7";"true"
"42";"Address";"postBox";"Boîte postale";"7";"false"
