"importId";"code";"name";"journalType.importId";"excessPaymentOk";"editReceiptOk";"allowAccountingDaybook";"authorizeSimulatedMove";"descriptionModel";"descriptionIdentificationOk";"notExportOk";"exportCode";"statusSelect";"company_importId";"sequence.importId";"validAccountTypes";"validAccounts";"authorizedFunctionalOriginSelect";"hasRequiredOrigin";"hasDuplicateDetectionOnOrigin"
1;"SAL";"Sales";1;"false";"false";"true";"false";"Cust. Inv.";"true";"false";;1;1;110;"receivable|tax|income|immobilisation";;"3,7";"false";"false"
2;"CREF";"Refunds";2;"false";"false";"true";"false";"Cust. Refund";"true";"false";;1;1;111;"receivable|tax|income|immobilisation";;"3";"false";"false"
3;"PCH";"Purchase";4;"false";"false";"true";"false";"Suppl. Inv.";"true";"false";;1;1;112;"payable|tax|charge|immobilisation";;"4";"false";"false"
4;"SREF";"Supplier Refund";2;"false";"false";"true";"false";"Suppl. Refund";"true";"false";;1;1;113;"payable|tax|charge|immobilisation";;"4";"false";"false"
5;"IN_CSH";"Cash Cashing";3;"false";"true";"true";"false";"Payment Rec.";"true";"false";;1;1;115;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
6;"IN_CHQ";"Cheque Cashing";3;"true";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;116;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
7;"IN_CC";"Credit Card Cashing";3;"false";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;117;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
8;"IN_WEB";"Internet Cashing";3;"false";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;118;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
9;"IN_IPO";"IPO Cashing";3;"true";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;119;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
10;"IN_IPOC";"IPO + Cheque Cashing";3;"true";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;120;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
11;"IN_WT";"Wire Transfer Cashing";3;"true";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;121;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
12;"IN_DD";"Direct Debit Cashing";3;"false";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;122;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
13;"IN_OTH";"Other Cashing";3;"false";"false";"true";"false";"Payment Rec.";"true";"false";;1;1;123;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
14;"RBT_CLT";"Client reimbursement";3;"false";"false";"true";"false";"Reimbursement ";"true";"false";;1;1;125;"receivable|payable|tax|cash";"665000|765000";"5";"false";"false"
15;"OUT_CSH";"Cash Payments";3;"true";"true";"true";"false";"Payment Emit.";"true";"false";;1;1;126;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
16;"OUT_CHQ";"Cheque Payments";3;"true";"false";"true";"false";"Payment Emit.";"true";"false";;1;1;127;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
17;"OUT_CC";"Credit Card Payments";3;"true";"false";"true";"false";"Payment Emit.";"true";"false";;1;1;128;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
18;"OUT_IPO";"IPO Payments";3;"true";"false";"true";"false";"Payment Emit.";"true";"false";;1;1;129;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
19;"OUT_WT";"Wire Transfer Payments";3;"true";"false";"true";"false";"Payment Emit.";"true";"false";;1;1;130;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
20;"OUT_DD";"Direct Debit Payments";3;"true";"false";"true";"false";"Payment Emit.";"true";"false";;1;1;131;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
21;"OUT_OTH";"Other Payments";3;"true";"false";"true";"false";"Payment Emit.";"true";"false";;1;1;132;"payable|receivable|tax|cash";"665000|765000";"5";"false";"false"
22;"ACC_CLR";"Account clearance";3;"true";"false";"false";"false";;"false";"false";;1;1;135;"receivable|tax|cash";;;"false";"false"
23;"MISC_AUTO";"Auto Misc. Operation on invoices or cashing";3;"false";"false";"true";"false";;"false";"false";;1;1;133;"asset|cash|commitment|currentAsset|equity|immobilisation|payable|receivable|tax|charge|income|debt|provision|special";;"6,7";"false";"false"
24;"MISC_MAN";"Manual Misc. Operation";3;"false";"false";"true";"false";;"false";"false";;1;1;134;"asset|cash|commitment|currentAsset|equity|immobilisation|payable|receivable|tax|charge|income|debt|provision|special";;"6,7";"false";"false"
25;"REJ_BK";"Bank Operations Rejects";3;"false";"false";"false";"false";"Reject ";"true";"false";;1;1;;"payable|receivable|tax|cash";;"5";"false";"false"
26;"INSTALL";"Monthly Installments";3;"false";"false";"false";"false";"Installment";"true";"false";;1;1;;"receivable|tax|charge";;"5";"false";"false"
27;"TECH";"Technical";5;"false";"false";"false";"false";;"false";"true";;1;1;;;;;"false";"false"
28;"IRRECOV";"Irrecoverables";4;"false";"false";"true";"false";"Irrecouverable";"false";"false";;1;1;109;"receivable|tax|charge";;"9";"false";"false"
29;"EXP";"Employees Travel expenses";4;"false";"false";"true";"false";"Expense";"true";"false";;1;1;180;"receivable|tax|charge|debt";;;"false";"false"
30;"RBLA";"Reported Balance";5;"false";"false";"true";"false";"Reported balance";"false";"false";;1;1;181;"asset|cash|commitment|currentAsset|equity|immobilisation|payable|receivable|tax|charge|income|debt|provision|special";;"1,2";"false";"false"
