"importId";"name";"fromDate";"toDate";"bankStatementFileFormat.statementFileFormatSelect";"statusSelect"
"2019-01";"Relevé du 2019-01-01 au 2019-01-31";"2019-01-01";"2019-01-31";"camt.xxx.cfonb120.stm";2
"2019-02";"Relevé du 2019-02-01 au 2019-02-28";"2019-02-01";2019-02-28;"camt.xxx.cfonb120.stm";2
"2019-03";"Relevé du 2019-03-01 au 2019-03-31";"2019-03-01";"2019-03-31";"camt.xxx.cfonb120.stm";2
"2019-04";"Relevé du 2019-04-01 au 2019-04-30";"2019-04-01";"2019-04-30";"camt.xxx.cfonb120.stm";2
"2019-05";"Relevé du 2019-05-01 au 2019-05-31";"2019-05-01";"2019-05-31";"camt.xxx.cfonb120.stm";2
"2019-06";"Relevé du 2019-06-01 au 2019-06-30";"2019-06-01";"2019-06-30";"camt.xxx.cfonb120.stm";2
"2019-07";"Relevé du 2019-07-01 au 2019-07-31";"2019-07-01";"2019-07-31";"camt.xxx.cfonb120.stm";2
"2019-08";"Relevé du 2019-08-01 au 2019-08-31";"2019-08-01";"2019-08-31";"camt.xxx.cfonb120.stm";2
"2019-09";"Relevé du 2019-09-01 au 2019-09-30";"2019-09-01";"2019-09-30";"camt.xxx.cfonb120.stm";2
"2019-10";"Relevé du 2019-10-01 au 2019-10-31";"2019-10-01";"2019-10-31";"camt.xxx.cfonb120.stm";2
"2019-11";"Relevé du 2019-11-01 au 2019-11-30";"2019-11-01";"2019-11-30";"camt.xxx.cfonb120.stm";2
"2019-12";"Relevé du 2019-12-01 au 2019-12-31";"2019-12-01";"2019-12-31";"camt.xxx.cfonb120.stm";2
