"importId";"product.importId";"name";"qty";"priority";"defineSubBillOfMaterial";"unit.importId";"prodProcess.importId";"costPrice";"company.importId";"hasNoManageStock";"billOfMaterials"
1;110;"Basic Server";1;10;"true";1;1;;1;"false";"2|3|4|5|6|7|8|9"
2;200;"Hard Disk SATA 1To";2;10;"false";1;;;1;"false";
3;210;"Processor 4x3,4 GHz";1;10;"false";1;;;1;"false";
4;220;"Rack Casing";1;10;"false";1;;;1;"false";
5;230;"Memory 8 Go DDR3";4;10;"false";1;;;1;"false";
6;240;"Classic MotherBoard";1;10;"false";1;;;1;"false";
7;250;"Power Supply";1;10;"false";1;;;1;"false";
8;300;"Cables set";1;10;"false";1;;;1;"false";
9;301;"Screws set";1;10;"false";1;;;1;"false";
20;110;"Basic Server (option)";1;10;"true";1;1;;1;"false";"21|22|23|24|25|26|27|28"
21;200;"Hard Disk SATA 1To";2;10;"false";1;;;1;"false";
22;210;"Processor 4x3,4 GHz";1;10;"false";1;;;1;"false";
23;220;"Rack Casing";1;10;"false";1;;;1;"false";
24;231;"Memory 16 Go DDR3";2;10;"false";1;;;1;"false";
25;240;"Classic MotherBoard";1;10;"false";1;;;1;"false";
26;250;"Power Supply";1;10;"false";1;;;1;"false";
27;300;"Cables set";1;10;"false";1;;;1;"false";
28;301;"Screws set";1;10;"false";1;;;1;"false";
40;111;"High Performance Server";1;10;"true";1;2;;1;"false";"41|42|43|44|45|46|47|48"
41;201;"Hard Disk SSD 100 Go";3;10;"false";1;;;1;"false";
42;211;"Processor 6x3,2 GHz";1;10;"false";1;;;1;"false";
43;220;"Rack Casing";1;10;"false";1;;;1;"false";
44;231;"Memory 16 Go DDR3";4;10;"false";1;;;1;"false";
45;241;"High Performance MotherBoard";1;10;"false";1;;;1;"false";
46;250;"Power Supply";1;10;"false";1;;;1;"false";
47;300;"Cables set";1;10;"false";1;;;1;"false";
48;301;"Screws set";1;10;"false";1;;;1;"false";
60;100;"Basic Pack";1;10;"true";1;3;;1;"false";"61|62|63|64"
61;110;"Basic Server";1;10;"false";1;;;1;"false";
62;130;"LED Screen HD 22 inch";1;10;"false";1;;;1;"false";
63;120;"InkJet Printer";1;10;"false";1;;;1;"false";
64;304;"Paper ream 500 Sheets A4 Standard 80 g";2;10;"false";1;;;1;"false";
80;101;"Performance Pack";1;10;"true";1;4;;1;"false";"81|82|83"
81;131;"LED Screen HD 24 inch";1;10;"false";1;;;1;"false";
82;121;"Laser Printer";1;10;"false";1;;;1;"false";
83;304;"Paper ream 500 Sheets A4 Standard 80 g";3;10;"false";1;;;1;"false";
84;111;"High Performance Server (option)";1;10;"true";1;2;;1;"false";"85|86|87|88|89|90|91|92"
85;201;"Hard Disk SSD 100 Go";3;10;"false";1;;;1;"false";
86;211;"Processor 6x3,2 GHz";1;10;"false";1;;;1;"false";
87;220;"Rack Casing";1;10;"false";1;;;1;"false";
88;231;"Memory 16 Go DDR3";4;10;"false";1;;;1;"false";
89;241;"High Performance MotherBoard";1;10;"false";1;;;1;"false";
90;250;"Power Supply";1;10;"false";1;;;1;"false";
91;300;"Cables set";1;10;"false";1;;;1;"false";
92;301;"Screws set";1;10;"false";1;;;1;"false";
