"key","message","comment","context"
"App Mobile","App Mobile",,
"Apps permissions","Apps Berechtigungen",,
"CRM","CRM",,
"Contacts","Kontakte",,
"Customers","Kunden",,
"Expense","Aufwand",,
"Expenses","Aufwendungen",,
"Leads","Leads",,
"Leave","Urlaub",,
"Leaves","Blätter",,
"Mobile apps","Mobile Apps",,
"Offline record limit","Offline-Satzgrenze",,
"Products","Produkte",,
"Projects","Projekte",,
"Quality",,,
"Sale","Verkauf",,
"Sales","Umsatz",,
"Task",,,
"Timesheet","Stundenzettel",,
"Timesheets","Stundenzettel",,
