"name";"object";"canRead";"canWrite";"canCreate";"canRemove";"canExport";"condition";"conditionParams"
perm.mobile.User.rw;com.axelor.auth.db.User;true;true;false;false;false;;
perm.mobile.Language.r;com.axelor.apps.base.db.Language;true;false;false;false;false;;
perm.mobile.Localization.r;com.axelor.apps.base.db.Localization;true;false;false;false;false;;
perm.mobile.TraceBack.c;com.axelor.apps.base.db.TraceBack;false;false;true;false;false;;
perm.mobile.Company.r;com.axelor.apps.base.db.Company;true;false;false;false;false;;
perm.mobile.MetaModule.r;com.axelor.meta.db.MetaModule;true;false;false;false;false;;
perm.mobile.App.r;com.axelor.studio.db.App;true;false;false;false;false;;
perm.mobile.AppBase.r;com.axelor.studio.db.AppBase;true;false;false;false;false;;
perm.mobile.AppMobileSettings.r;com.axelor.studio.db.AppMobileSettings;true;false;false;false;false;;
perm.mobile.MobileSettings.r;com.axelor.apps.mobilesettings.db.*;true;false;false;false;false;;
perm.mobile.MetaFile.r;com.axelor.meta.db.MetaFile;true;false;false;false;false;;
perm.mobile.Mail.rwc;com.axelor.mail.db.*;true;true;true;false;false;;
perm.mobile.DMSFile.r;com.axelor.dms.db.DMSFile;true;false;false;false;false;;
perm.mobile.MetaJsonField.r;com.axelor.meta.db.MetaJsonField;true;false;false;false;false;;
perm.mobile.MetaTranslation.r;com.axelor.meta.db.MetaTranslation;true;false;false;false;false;;
perm.mobile.stock.Product.rw;com.axelor.apps.base.db.Product;true;true;false;false;false;;
perm.mobile.stock.ProductVariant.r;com.axelor.apps.base.db.ProductVariant;true;false;false;false;false;;
perm.mobile.stock.ProductVariantAttr.r;com.axelor.apps.base.db.ProductVariantAttr;true;false;false;false;false;;
perm.mobile.stock.ProductVariantValue.r;com.axelor.apps.base.db.ProductVariantValue;true;false;false;false;false;;
perm.mobile.stock.StockMove.rwc;com.axelor.apps.stock.db.StockMove;true;true;true;false;false;;
perm.mobile.stock.StockMoveLine.rwc;com.axelor.apps.stock.db.StockMoveLine;true;true;true;false;false;;
perm.mobile.stock.Inventory.rw;com.axelor.apps.stock.db.Inventory;true;true;false;false;false;;
perm.mobile.stock.InventoryLine.rw;com.axelor.apps.stock.db.InventoryLine;true;true;false;false;false;;
perm.mobile.stock.Partner.r;com.axelor.apps.base.db.Partner;true;false;false;false;false;;
perm.mobile.stock.StockCorrection.rwc;com.axelor.apps.stock.db.StockCorrection;true;true;true;false;false;;
perm.mobile.stock.StockCorrectionReason.r;com.axelor.apps.stock.db.StockCorrectionReason;true;false;false;false;false;;
perm.mobile.stock.StockLocation.r;com.axelor.apps.stock.db.StockLocation;true;false;false;false;false;;
perm.mobile.stock.StockLocationLine.rw;com.axelor.apps.stock.db.StockLocationLine;true;true;false;false;false;;
perm.mobile.stock.SupplierCatalog.r;com.axelor.apps.purchase.db.SupplierCatalog;true;false;false;false;false;;
perm.mobile.stock.TrackingNumber.rc;com.axelor.apps.stock.db.TrackingNumber;true;false;true;false;false;;
perm.mobile.stock.Unit.r;com.axelor.apps.base.db.Unit;true;false;false;false;false;;
perm.mobile.stock.AppStock.r;com.axelor.studio.db.AppStock;true;false;false;false;false;;
perm.mobile.stock.AppSupplychain.r;com.axelor.studio.db.AppSupplychain;true;false;false;false;false;;
perm.mobile.manuf.ManufOrder.rw;com.axelor.apps.production.db.ManufOrder;true;true;false;false;false;;
perm.mobile.manuf.ProductionOrder.r;com.axelor.apps.production.db.ProductionOrder;true;false;false;false;false;;
perm.mobile.manuf.OperationOrder.rw;com.axelor.apps.production.db.OperationOrder;true;true;false;false;false;;
perm.mobile.manuf.ProdProduct.rwc;com.axelor.apps.production.db.ProdProduct;true;true;true;false;false;;
perm.mobile.manuf.ObjectDescription.r;com.axelor.apps.production.db.ObjectDescription;true;false;false;false;false;;
perm.mobile.manuf.WorkCenter.r;com.axelor.apps.production.db.WorkCenter;true;false;false;false;false;;
perm.mobile.manuf.Machine.r;com.axelor.apps.production.db.Machine;true;false;false;false;false;;
perm.mobile.manuf.AppProduction.r;com.axelor.studio.db.AppProduction;true;false;false;false;false;;
perm.mobile.crm.Catalog.rc;com.axelor.apps.crm.db.Catalog;true;false;true;false;false;;
perm.mobile.crm.CatalogType.r;com.axelor.apps.rrm.db.CatalogType;true;false;false;false;false;;
perm.mobile.crm.Partner.rw;com.axelor.apps.base.db.Partner;true;true;false;false;false;;
perm.mobile.crm.PartnerStatus.r;com.axelor.apps.crm.db.PartnerStatus;true;false;false;false;false;;
perm.mobile.crm.EmailAddress.rwc;com.axelor.message.db.EmailAddress;true;true;true;false;false;;
perm.mobile.crm.Event.rwc;com.axelor.apps.crm.db.Event;true;true;true;false;false;;
perm.mobile.crm.Function.r;com.axelor.apps.base.db.Function;true;false;false;false;false;;
perm.mobile.crm.Lead.rwc;com.axelor.apps.crm.db.Lead;true;true;true;false;false;;
perm.mobile.crm.LeadStatus.r;com.axelor.apps.crm.db.LeadStatus;true;false;false;false;false;;
perm.mobile.crm.Opportunity.rwc;com.axelor.apps.crm.db.Opportunity;true;true;true;false;false;;
perm.mobile.crm.OpportunityStatus.r;com.axelor.apps.crm.db.OpportunityStatus;true;false;false;false;false;;
perm.mobile.crm.AppCrm.r;com.axelor.studio.db.AppCrm;true;false;false;false;false;;
perm.mobile.helpdesk.Partner.r;com.axelor.apps.base.db.Partner;true;false;false;false;false;;
perm.mobile.helpdesk.Project.r;com.axelor.apps.project.db.Project;true;false;false;false;false;;
perm.mobile.helpdesk.Ticket.rwc;com.axelor.apps.helpdesk.db.Ticket;true;true;true;false;false;;
perm.mobile.helpdesk.TicketStatus.r;com.axelor.apps.helpdesk.db.TicketStatus;true;false;false;false;false;;
perm.mobile.helpdesk.TicketType.r;com.axelor.apps.helpdesk.db.TicketType;true;false;false;false;false;;
perm.mobile.helpdesk.Timer.rw;com.axelor.apps.base.db.Timer;true;true;false;false;false;;
perm.mobile.helpdesk.TimerHistory.rwc;com.axelor.apps.base.db.TimerHistory;true;true;true;false;false;;
perm.mobile.helpdesk.AppHelpdesk.r;com.axelor.studio.db.AppHelpdesk;true;false;false;false;false;;
perm.mobile.hr.Currency.r;com.axelor.apps.base.db.Currency;true;false;false;false;false;;
perm.mobile.hr.Employee.r;com.axelor.apps.hr.db.Employee;true;false;false;false;false;;
perm.mobile.hr.Expense.rwcde;com.axelor.apps.hr.db.Expense;true;true;true;true;true;;
perm.mobile.hr.ExpenseLine.rwcde;com.axelor.apps.hr.db.ExpenseLine;true;true;true;true;true;;
perm.mobile.hr.Product.r;com.axelor.apps.base.db.Product;true;false;false;false;false;;
perm.mobile.hr.KilometricAllowParam.r;com.axelor.apps.hr.db.KilometricAllowParam;true;false;false;false;false;;
perm.mobile.hr.Project.r;com.axelor.apps.project.db.Project;true;false;false;false;false;;
perm.mobile.hr.AppExpense.r;com.axelor.studio.db.AppExpense;true;false;false;false;false;;
perm.mobile.hr.ManufOrder.r;com.axelor.apps.production.db.ManufOrder;true;false;false;false;false;;
perm.mobile.hr.OperationOrder.r;com.axelor.apps.production.db.OperationOrder;true;false;false;false;false;;
perm.mobile.hr.ProjectTask.r;com.axelor.apps.project.db.ProjectTask;true;false;false;false;false;;
perm.mobile.hr.TSTimer.rwcde;com.axelor.apps.hr.db.TSTimer;true;true;true;true;true;;
perm.mobile.hr.Timesheet.rwcde;com.axelor.apps.hr.db.Timesheet;true;true;true;true;true;;
perm.mobile.hr.TimesheetLine.rwcde;com.axelor.apps.hr.db.TimesheetLine;true;true;true;true;true;;
perm.mobile.hr.AppTimesheet.r;com.axelor.studio.db.AppTimesheet;true;false;false;false;false;;
perm.mobile.quality.ControlEntry.rwc;com.axelor.apps.quality.db.ControlEntry;true;true;true;false;false;;
perm.mobile.quality.AppQuality.r;com.axelor.studio.db.AppQuality;true;false;false;false;false;;
