"key","message","comment","context"
"Anomaly","Anomalie",,
"Batch","Charge",,
"CRM","CRM",,
"Category","Kategorie",,
"Cause","Ursache",,
"Configuration problem","Konfigurationsproblem",,
"Date","Datum",,
"Debt recovery","Forderungseintreibung",,
"Direct debit","Lastschriftverfahren",,
"Doubtful customer","Zweifelhafter Kunde",,
"Error","Fehler",,
"Functional anomaly","Funktionelle Anomalie",,
"ID","ID",,
"Inconsistency","Inkonsistenz",,
"Interbank payment order","Interbank-Zahlungsauftrag",,
"Invoicing","Rechnungsstellung",,
"Message","Nachricht",,
"Missing field","Fehlende Felder",,
"Name","Name",,
"No Return Value","Kein Rückgabewert",,
"Non-unique key","Nicht eindeutiger Schlüssel",,
"Origin","Herkunft",,
"Reference","Referenz",,
"Reference ID","Referenz-ID",,
"Reimbursement","Erstattung",,
"Reminder","Erinnerung",,
"Show the batch","Anzeige der Charge",,
"Show the reference","Zeigen Sie die Referenz",,
"Technical anomaly","Technische Anomalie",,
"Trace","Trace",,
"TraceBack","TraceBack",,
"Type","Typ",,
"User","Benutzer",,
