"key","message","comment","context"
"Anomaly","Anomalia",,
"Batch","Lotto",,
"CRM","CRM",,
"Category","Categoria",,
"Cause","Causa",,
"Configuration problem","Problema di configurazione",,
"Date","Data",,
"Debt recovery","Recupero crediti",,
"Direct debit","Addebito diretto",,
"Doubtful customer","Cliente dubbioso",,
"Error","Errore",,
"Functional anomaly","Anomalia funzionale",,
"ID","ID",,
"Inconsistency","Incoerenza",,
"Interbank payment order","Ordine di pagamento interbancario",,
"Invoicing","Fatturazione",,
"Message","Messaggio",,
"Missing field","Campo mancante",,
"Name","Nome",,
"No Return Value","Nessun valore di ritorno",,
"Non-unique key","Chiave non univoca",,
"Origin","Origine",,
"Reference","Riferimento",,
"Reference ID","ID di riferimento",,
"Reimbursement","Rimborso",,
"Reminder","Promemoria",,
"Reported balance",,,
"Show the batch","Mostra il lotto",,
"Show the reference","Mostra il riferimento",,
"Technical anomaly","Anomalia tecnica",,
"Trace","Traccia",,
"TraceBack","TraceBack",,
"Type","Tipo",,
"User","Utente",,
