"importId";"product.importId";"name";"qty";"priority";"defineSubBillOfMaterial";"unit.importId";"prodProcess.importId";"costPrice";"company.importId";"hasNoManageStock";"billOfMaterials"
1;110;"Serveur Classique";1;10;"true";1;1;;1;"false";"2|3|4|5|6|7|8|9"
2;200;"Disque dur SATA 1To";2;10;"false";1;;;1;"false";
3;210;"Processeur 4x3,4 GHz";1;10;"false";1;;;1;"false";
4;220;"Boîtier Rack";1;10;"false";1;;;1;"false";
5;230;"Mémoire 8 Go DDR3";4;10;"false";1;;;1;"false";
6;240;"Carte mère classique";1;10;"false";1;;;1;"false";
7;250;"Alimentation";1;10;"false";1;;;1;"false";
8;300;"Set connectique";1;10;"false";1;;;1;"false";
9;301;"Set visserie";1;10;"false";1;;;1;"false";
20;110;"Serveur Classique 2";1;10;"true";1;1;;1;"false";"21|22|23|24|25|26|27|28"
21;200;"Disque dur SATA 1To";2;10;"false";1;;;1;"false";
22;210;"Processeur 4x3,4 GHz";1;10;"false";1;;;1;"false";
23;220;"Boîtier Rack";1;10;"false";1;;;1;"false";
24;231;"Mémoire 16 Go DDR3";2;10;"false";1;;;1;"false";
25;240;"Carte mère classique";1;10;"false";1;;;1;"false";
26;250;"Alimentation";1;10;"false";1;;;1;"false";
27;300;"Set connectique";1;10;"false";1;;;1;"false";
28;301;"Set visserie";1;10;"false";1;;;1;"false";
40;111;"Serveur Haute Performance";1;10;"true";1;2;;1;"false";"41|42|43|44|45|46|47|48"
41;201;"Disque dur SSD 100 Go";3;10;"false";1;;;1;"false";
42;211;"Processeur 6x3,2 GHz";1;10;"false";1;;;1;"false";
43;220;"Boîtier Rack";1;10;"false";1;;;1;"false";
44;231;"Mémoire 16 Go DDR3";4;10;"false";1;;;1;"false";
45;241;"Carte mère haut de gamme";1;10;"false";1;;;1;"false";
46;250;"Alimentation";1;10;"false";1;;;1;"false";
47;300;"Set connectique";1;10;"false";1;;;1;"false";
48;301;"Set visserie";1;10;"false";1;;;1;"false";
60;100;"Pack Classique";1;10;"true";1;3;;1;"false";"61|62|63|64"
61;110;"Serveur Classique";1;10;"false";1;;;1;"false";
62;130;"Ecran LED HD 22 pouces";1;10;"false";1;;;1;"false";
63;120;"Imprimante Jet d'encre";1;10;"false";1;;;1;"false";
64;304;"Ramette 500 Feuilles A4 Standard 80 g";2;10;"false";1;;;1;"false";
80;101;"Pack Performance";1;10;"true";1;4;;1;"false";"81|82|83"
81;131;"Ecran LED HD 24 pouces";1;10;"false";1;;;1;"false";
82;121;"Imprimante Laser";1;10;"false";1;;;1;"false";
83;304;"Ramette 500 Feuilles A4 Standard 80 g";3;10;"false";1;;;1;"false";
84;111;"Serveur Haute Performance";1;10;"true";1;2;;1;"false";"85|86|87|88|89|90|91|92"
85;201;"Disque dur SSD 100 Go";3;10;"false";1;;;1;"false";
86;211;"Processeur 6x3,2 GHz";1;10;"false";1;;;1;"false";
87;220;"Boîtier Rack";1;10;"false";1;;;1;"false";
88;231;"Mémoire 16 Go DDR3";4;10;"false";1;;;1;"false";
89;241;"Carte mère haut de gamme";1;10;"false";1;;;1;"false";
90;250;"Alimentation";1;10;"false";1;;;1;"false";
91;300;"Set connectique";1;10;"false";1;;;1;"false";
92;301;"Set visserie";1;10;"false";1;;;1;"false";
