"key","message","comment","context"
"${name}",,,
"%s : You must configure Project module for company %s",,,
"%s project",,,
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<< Previous",,,
"Actions",,,
"Activate a field on a project task where you can record the task progress in %.",,,
"Activate a panel tab, within a project-task-form related to the project, allowing to replicate a task following a date frequency defined by the user.",,,
"Activate the project change shortcut",,,
"Activates a Kanban view with tasks of the project categorized by section, accessible via the Tools menu.",,,
"Activates a Kanban view with tasks of the project categorized by status, accessible via the Tools menu.",,,
"Activates a Planification tab on the project-task-form allowing to record planned times on tasks, in order to compare with actual spent time.",,,
"Activates a calendar view with tasks of the project categorized by section, accessible via the Tools menu.",,,
"Activates a calendar view with tasks of the project categorized by status, accessible via the Tools menu.",,,
"Activates a calendar view with tasks of the project categorized by user, accessible via the Tools menu.",,,
"Activates a gantt view of the project accessible via the Tools menu.",,,
"Active project",,,
"Active project changed to %s",,,
"Activities",,,
"Activity",,,
"Add a new check list item",,,
"Add a new item",,,
"Added by",,,
"All",,,
"All open tasks",,,
"All tasks",,,
"All tasks (tree)",,,
"Allow to activate an additional tasks classification, customizable according the the user needs. Section can be created in the Configuration sub-menu of the Project menu.",,,
"Allow to allocate Time spent from the project-task-form. A readonly logtimes paneltab will also appear on the related project-form. Note: if you use the HR timesheets, these log times will allocate HR Timesheet for the concerned colleague.",,,
"Allow to open discussion topic, where project members can interact, accessible via the the Tools menu.",,,
"App",,,
"App base",,,
"App customized fields",,,
"App json",,,
"App project",,,
"Apply modifications to next tasks",,,
"Are you sure you want to delete this task ?",,,
"Assign the task to a user.The user has to be created beforehand and recorded as a member of the selected project (in the membersPanelTab of the project).",,,
"Assigned to",,,
"Attrs",,,
"Book resource",,,
"Business project",,,
"Calendar",,,
"Cancel",,,
"Canceled project status",,,
"Categories?",,,
"Category",,,
"Category customized fields",,,
"Category json",,,
"Characteristics",,,
"Check availability of resources",,,
"Check list",,,
"Check list item",,,
"Check list template",,,
"Check list templates",,,
"Close topic",,,
"Closed",,,
"Code",,,
"Company",,,
"Completed",,,
"Completed ?",,,
"Completed project status",,,
"Completed task status",,,
"Configuration",,,
"Configurations",,,
"Content",,,
"Create project from this template",,,
"Currency",,,
"Custom field",,,
"Custom fields",,,
"Custom fields management",,,
"Customer",,,
"Customer Contact",,,
"Customized",,,
"Customized fields",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Dashboard",,,
"Date",,,
"Date or frequency changed",,,
"Deadline",,,
"Deadline Today",,,
"Deadline Tomorrow",,,
"Deadline Yesterday",,,
"Decimal",,,
"Default priorities",,,
"Default progress",,,
"Default sites",,,
"Default task status",,,
"Delay to start (Hours)",,,
"Delete",,,
"Description",,,
"Details",,,
"Due Date",,,
"Duration (Hours)",,,
"Duration hours",,,
"Employee",,,
"Empty opposite project task link type",,,
"Empty the opposite link type",,,
"Enable Gantt view",,,
"Enable Kanban view per section",,,
"Enable Kanban view per status",,,
"Enable calendar view per section",,,
"Enable calendar view per status",,,
"Enable calendar view per user",,,
"Enable per project task sequence",,,
"Enable site management for project",,,
"Enable status management by task category",,,
"Enable status progress by category.",,,
"Enable task progress by status",,,
"Enable task signature",,,
"Estimated time",,,
"Estimated time (in hours)",,,
"Extends members from parent",,,
"Finish",,,
"Finish tasks to finish",,,
"Finish tasks to start",,,
"First",,,
"Folder",,,
"Follow-up",,,
"Followers",,,
"Frequency",,,
"Frequency end date cannot be before task date.",,,
"From",,,
"From Date",,,
"From date",,,
"Full name could not be computed, please check the groovy formula.",,,
"Full name groovy formula",,,
"Gantt",,,
"Gantt with project",,,
"Gantt with user",,,
"Gen proj type per order line",,,
"General configuration",,,
"Generate a new link",,,
"Generate a project task link type",,,
"Generate check list",,,
"Generate new opposite link type",,,
"Generate opposite link type",,,
"Generate project configurations",,,
"Generate sequence for project",,,
"Generated project",,,
"High",,,
"Image",,,
"Import all members",,,
"Include sub projects",,,
"Integer",,,
"Internal Description",,,
"Invalid model name",,,
"Invalid selection name",,,
"Invoicing",,,
"Invoicing unit",,,
"Is unique task for multiple quantity",,,
"Issue tracking",,,
"Last status",,,
"Last updated on",,,
"Latest News",,,
"Link type",,,
"Log Times",,,
"Log time",,,
"Low",,,
"Manage by category",,,
"Manage by project",,,
"Manage opposite link type",,,
"Manage relations",,,
"Members",,,
"Membres",,,
"Message",,,
"MultiSelect",,,
"My open tasks",,,
"My project",,,
"My projects",,,
"My tasks due",,,
"My tasks to do",,,
"My today planning",,,
"My topics",,,
"My upcoming planning",,,
"Name",,,
"New line",,,
"New topics",,,
"Next >>",,,
"Next project sequence",,,
"Next task",,,
"No data to display",,,
"No status management",,,
"None",,,
"Normal",,,
"Not specified",,,
"Notes",,,
"Open",,,
"Open gantt",,,
"Open phase",,,
"Open task",,,
"Open task btn",,,
"Opposite link type",,,
"Opposite project task link type",,,
"Order by state",,,
"Other customized fields",,,
"Overview",,,
"Parent",,,
"Parent project",,,
"Parent task",,,
"Per section calendar",,,
"Per section kanban",,,
"Per status calendar",,,
"Per status kanban",,,
"Per user calendar",,,
"Phase by line",,,
"Phases",,,
"Planned Time Planning",,,
"Planned charge",,,
"Planned progress",,,
"Planning",,,
"Please check the compute full name groovy formula in project app configuration",,,
"Please configure the completed task status in the project config panel.",,,
"Please configure the completed task status of the project task category.",,,
"Please configure the project %s with project task link type %s if you want to create this link.",,,
"Please fill canceled project status in App Project configuration.",,,
"Please fill completed task status in Project configuration.",,,
"Please fill in task date.",,,
"Please select project",,,
"Please select user",,,
"Please set the completed paid project status in the project configuration.",,,
"Please set the completed project status in the project configuration.",,,
"Predecessors tasks",,,
"Preferences",,,
"Priorities?",,,
"Priority",,,
"Product",,,
"Progress",,,
"Progress by task status",,,
"Project",,,
"Project Activities",,,
"Project Activity",,,
"Project Calendar",,,
"Project Gantt",,,
"Project Label",,,
"Project Phase",,,
"Project Priority",,,
"Project Task",,,
"Project Task Category",,,
"Project Task Section",,,
"Project Task Tree",,,
"Project Tasks",,,
"Project alone",,,
"Project check list item list",,,
"Project check list template",,,
"Project code is already used. Please provide unique code",,,
"Project config",,,
"Project configurations",,,
"Project customized fields",,,
"Project dashboard",,,
"Project fields",,,
"Project filters",,,
"Project json",,,
"Project status",,,
"Project status management",,,
"Project structure",,,
"Project task",,,
"Project task category",,,
"Project task category filters",,,
"Project task filters",,,
"Project task link",,,
"Project task link type",,,
"Project task linked",,,
"Project task list",,,
"Project task relation",,,
"Project task relation type",,,
"Project task relation types",,,
"Project task relations",,,
"Project task to link",,,
"Project template",,,
"Project template filters",,,
"Project templates",,,
"Project time unit",,,
"Project.Resource","Resources",,
"Project/Business (Project)",,,
"Projects",,,
"Quantity",,,
"Related Tasks",,,
"Related task",,,
"Remove lines",,,
"Reporting",,,
"Reportings",,,
"Reset",,,
"Resource",,,
"Resource booking",,,
"Resource bookings",,,
"Resource management",,,
"Resource type",,,
"Resource types",,,
"Resources",,,
"Section",,,
"Section?",,,
"Select",,,
"Select Projects",,,
"Select Users",,,
"Select an existing project task link type",,,
"Select an opposite link type",,,
"Select values",,,
"Seq.",,,
"Sequence",,,
"Serial/batch number",,,
"Show planning",,,
"Show sub-projects",,,
"Signature",,,
"Site",,,
"Sites",,,
"Spent time",,,
"Start",,,
"Start date",,,
"Start tasks to finish",,,
"Start tasks to start",,,
"Status",,,
"Stop",,,
"String",,,
"Sub-Projects",,,
"Subject",,,
"Suprojects",,,
"Synchronize",,,
"Tags",,,
"Take charge",,,
"Task",,,
"Task Calendar",,,
"Task Tree",,,
"Task by line",,,
"Task configuration",,,
"Task date","Start date",,
"Task deadline",,,
"Task duration",,,
"Task fields",,,
"Task parent or children has not been configured correctly.",,,
"Task planning",,,
"Task progress",,,
"Task recurrence",,,
"Task status",,,
"Task status management",,,
"Task template",,,
"Task template filters",,,
"Task template list",,,
"Task templates",,,
"Tasks",,,
"Tasks created by me",,,
"Tasks to finish before finish",,,
"Tasks to start before start",,,
"Team",,,
"Technical type",,,
