"key","message","comment","context"
"%s project","проект %s",,
"0 %",,,
"1 week",,,
"10 %",,,
"100 %",,,
"2 weeks",,,
"20 %",,,
"3 weeks",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"Accept Order",,,
"Actions","Действия",,
"Add Section",,,
"Add Subtask",,,
"Add Task",,,
"Add multiple lines","Добавить несколько строк",,
"Add selected lines","Добавить выбранные строки",,
"Add tags",,,
"All completed tasks",,,
"All phase tasks",,,
"All phases",,,
"All tasks","Все задачи",,
"Alphabetical",,,
"Analytic",,,
"Announcement",,,
"App",,,
"App project","Проект приложений",,
"Apply modifications to next tasks",,,
"Assigned to","Назначенный",,
"Assignee",,,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Attrs",,,
"Book resource","Бронировочный ресурс",,
"Business","Бизнес",,
"Business project","Бизнес-проект",,
"Cancel","Отмена",,
"Canceled",,,
"Cannot delete section with tasks",,,
"Category","Категория",,
"Characteristics","Характеристики",,
"Check availability of resources",,,
"Child Projects","Детские проекты",,
"Closed",,,
"Code","Код",,
"Company","Компания",,
"Completed tasks",,,
"Configuration","Конфигурация",,
"Configurations","Конфигурации",,
"Content","Содержание",,
"Contracts",,,
"Convert Task to Project",,,
"Convert to project",,,
"Copied to clipboard",,,
"Copy task link",,,
"Copy task name",,,
"Create New Task",,,
"Create business project from this template",,,
"Create invoicing project","Создать проект выставления счетов",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Валюта",,
"Customer","Клиент",,
"Customer Contact","Контакт с клиентом",,
"Customer Invoice lines","Счета-фактуры клиентов",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Date or frequency changed",,,
"Dates","Даты",,
"Deadline","Крайний срок",,
"Deadline Today","Крайний срок Сегодня",,
"Deadline Tomorrow","Крайний срок - завтра.",,
"Deadline Yesterday","Крайний срок Вчерашний день",,
"Default status",,,
"Delay to start (Hours)","Задержка начала работы (в часах)",,
"Delete Permanently",,,
"Delete Section",,,
"Delete Task",,,
"Delete task btn",,,
"Description","Описание",,
"Due Date","Срок выполнения",,
"Due next week",,,
"Due this week",,,
"Duplicate task",,,
"Duration (Hours)","Продолжительность (часы)",,
"Duration hours","Продолжительность часов",,
"Employee",,,
"Enable task signature",,,
"Enter Time spent",,,
"Estimated time",,,
"Estimated time (in days)",,,
"Estimated time (in hours)",,,
"Exclude planning","Исключить планирование",,
"Expense lines","Статьи расходов",,
"Expenses","Расходы",,
"Extends members from parent","Расширяет членство от родителей",,
"Financial Data","Финансовые данные",,
"Financial Report","Финансовый отчет",,
"Find a task",,,
"Finish","Готово",,
"Finish tasks to finish","Закончить задания, чтобы закончить",,
"Finish tasks to start","Завершение заданий для начала работы",,
"Finished",,,
"First",,,
"Follow-up","Последующая деятельность",,
"Followers","Подписчики",,
