"key","message","comment","context"
"%d errors occurred. Please check tracebacks for details.","wystąpiły błędy %d. Prosimy o sprawdzenie informacji zwrotnych w celu uzyskania szczegółowych informacji.",,
"%d line successfully rejected","%d wiersz odrzucony",,
"%d lines successfully rejected","%d wierszy odrzuconych z wynikiem pozytywnym",,
"%s : Bank statement line %s amount can't be null","%s : Linia wyciągu bankowego %s kwota nie może być nieważna",,
"%s : Computed balance and Ending Balance must be equal","%s : Saldo obliczone i saldo końcowe musi być równe",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : Kwota MoveLine nie jest równa linii wyciągu bankowego",,
"%s : Please configure an ICS number for the company %s.","%s : Proszę skonfigurować numer ICS dla firmy %s.",,
"%s : Please, configure a default signer for the company %s","%s : Proszę skonfigurować domyślny sygnalizator dla firmy %s.",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : Proszę skonfigurować sekwencję dla międzynarodowych poleceń przelewu i firmy %s.",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : Proszę skonfigurować sekwencję dla międzynarodowych poleceń zapłaty i firmy %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : Proszę skonfigurować sekwencję dla międzynarodowych przekazów pieniężnych i firmy %s.",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : Proszę skonfigurować sekwencję dla Przelewów Skarbu Państwa i spółki %.",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : Proszę skonfigurować sekwencję dla pozostałych zleceń bankowych i firmy %s.",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : Proszę skonfigurować sekwencję dla Poleceń Przelewu SEPA i firmy %s.",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : Proszę skonfigurować sekwencję dla poleceń zapłaty SEPA i firmy %s.",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : Proszę skonfigurować konto dla zlecenia bankowego dla banku zewnętrznego na przelew bankowy dla firmy %s.",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : Proszę skonfigurować konto dla wewnętrznego polecenia przelewu bankowego do banku wewnętrznego dla firmy %s.",,
"%s : You must configure bank payment's information for the company %s","%s : Musisz skonfigurować informacje o płatności bankowej dla firmy %s",,
"%s bank statements get.","Wyciągi bankowe są otrzymywane w %.",,
"+33000000000",,,
"000000","OK",,
"011000","Otrzymane potwierdzenie odbioru",,
"011001","Otrzymane negatywne potwierdzenie odbioru",,
"011101","Numer segmentu nie został osiągnięty",,
"031001","Nieznane parametry zamówienia są ignorowane",,
"061001","Błąd autoryzacji podpisu",,
"061002","Komunikat niezgodny z EBICS",,
"061099","Wewnętrzny błąd EBICS",,
"061101","Konieczna synchronizacja",,
"090005","Brak dostępnych danych do pobrania",,
"091002","Abonent nieznany lub stan abonenta niedopuszczalny",,
"091003","Abonent nieznany",,
"091004","Stan abonenta nieznany",,
"091005","Rodzaj postanowienia niedopuszczalny",,
"091006","Typ zlecenia nie jest obsługiwany",,
"091007","Abonent nie posiada autoryzacji podpisu pod zleceniem, o którym mowa w administracji VEU",,
"091008","Klucz bankowy nieważny",,
"091009","Przekroczenie wielkości segmentu",,
"091010","XML nieprawidłowy zgodnie ze schematem XML EBICS",,
"091011","Przekazany HostID jest nieznany po stronie banku",,
"091101","Identyfikator transakcji jest nieprawidłowy",,
"091102","Transakcja anulowana",,
"091103","Podejrzewany komunikat powtórka (błędna strefa czasowa/czasowa lub błąd nonce)",,
"091104","Przekroczenie liczby segmentów",,
"091112","Nieprawidłowe parametry zamówienia",,
"091113","Treść komunikatu semantycznie niezgodna z EBICS",,
"091117","System bankowy nie obsługuje żądanej wielkości zamówienia",,
"091118","Zgłoszona liczba segmentów do przesłania jest zbyt duża",,
"091119","Przekroczenie maksymalnej liczby równoległych transakcji na klienta",,
"091120","Identyfikator partnera pliku ES nie jest identyczny z identyfikatorem partnera zgłaszającego.",,
"091121","Atrybut określonego zlecenia nie jest zgodny z poleceniem w systemie bankowym",,
"091209","świadectwo jest nieważne, ponieważ jeszcze nie obowiązuje",,
"091301","W przypadku asynchronicznie realizowanych zleceń, błąd może wystąpić podczas wstępnej weryfikacji.",,
"1",,,
"10 - Bank details IBAN","10 - Dane bankowe IBAN",,
"10 - Sender bank details type","10 - Typ danych banku nadawcy",,
"10 - Sequence","10 - Kolejność",,
"11 - Bank details code","11 - Kod danych bankowych",,
"11 - Sender bank details IBAN","11 - Dane banku nadawcy IBAN",,
"12 - Bank order currency","12 - Waluta zlecenia bankowego",,
"13 - Total","13 - Razem",,
"14 - Sender bank details type","14 - Typ danych banku nadawcy",,
"15 - Sender bank details IBAN","15 - Dane banku nadawcy IBAN",,
"16 - Bank order currency","16 - Waluta zlecenia bankowego",,
"16 - Economic reason code","16 - Kod powodu ekonomicznego",,
"17-3 - File format qualifying date","17-3 - data kwalifikująca format pliku",,
"18 - Order debit type index","18 - Indeks typu obciążenia zamówienia",,
"18 - Payment mode select","18 - Wybór trybu płatności",,
"19 - Fees imputation mode","19 - Tryb imputacji opłat",,
"19 - Order index type","19 - Typ indeksu zamówień",,
"2",,,
"20 - Bank order date","20 - Data zlecenia bankowego",,
"21 - Currency","21 - Waluta",,
"24-1 - Qualifying of date","24-1 - Kwalifikacja daty",,
"24-2 - Date","24-2 - Data",,
"25 - Currency","25 - Waluta",,
"3",,,
"4",,,
"4 - Bank details type","4 - Typ danych bankowych",,
"4 - Bank name","4 - Nazwa banku",,
"4 - Generation date","4 - Data wytworzenia",,
"4-1 - Payment Reason 1","4-1 - Powód płatności 1",,
"4-2 - Payment Reason 2","4-2 - Powód płatności 2",,
"4-3 - Payment Reason 3","4-3 - Powód płatności 3",,
"4-4 - Payment Reason 4","4-4 - Powód płatności 4",,
"5",,,
"5 - Bank address","5 - Adres banku",,
"5 - Bank details IBAN","5 - Dane bankowe IBAN",,
"5 - Sender company","5 - Firma wysyłająca",,
"6 - Bank code","6 - Kod banku",,
"6 - Bank details owner name","6 - Dane bankowe imię i nazwisko/nazwę właściciela",,
"6 - Registration code","6 - Kod rejestracyjny",,
"6 - Sender address","6 - Adres nadawcy",,
"7 - Country code","7 - Kod kraju",,
"7 - Registration code","7 - Kod rejestracyjny",,
"7 - Sequence","7 - Kolejność",,
"8 - Sequence","8 - Kolejność",,
"9 - Bank details type","9 - Typ danych bankowych",,
"9 - Country code","9 - Kod kraju",,
"9-1 - Special instructions 1","9-1 - Instrukcje specjalne 1",,
"9-2 - Special instructions 2","9-2 - Instrukcje specjalne 2",,
"9-3 - Special instructions 3","9-3 - Instrukcje specjalne 3",,
"A bank order %s already exist for the invoice %s.",,,
"Accepted Bank Details Identifiers","Przyjęte dane bankowe Identyfikatory banków",,
"Account","Konto",,
"Account balance","Saldo konta",,
"Account management is missing.","Brak zarządzania kontem.",,
"Accounting details","Szczegóły rachunkowości",,
"Accounting information","Informacje księgowe",,
"Accounting.Account","Konto",,
"Action","Działanie",,
"Actions","Działania",,
"Active connection","Aktywne połączenie",,
"Additional information","Informacje dodatkowe",,
"Administration mode","Tryb administracyjny",,
"Allow orders with a transfer currency different from bank details currency","Pozwalają na składanie zleceń w walucie innej niż waluta przelewu niż waluta danych bankowych",,
"Amount Rejected","Kwota odrzucona",,
"Amount in transfer's currency","Kwota w walucie przelewu",,
"Amount remaining to reconcile","Kwota pozostała do uzgodnienia",,
"Amount value of a bank order line is not valid","Wartość linii zlecenia bankowego jest nieważna",,
"Amount value of the bank order is not valid","Wartość zlecenia bankowego jest nieważna",,
"Anomaly has been detected during file generation for bank order %s","Anomalia została wykryta podczas generowania pliku dla zlecenia bankowego %s",,
