"key","message","comment","context"
"${fullName} plan. st. move","${fullName} mvt. stock planifié",,
"${product.fullName} plan. st. move","${product.fullName} mvt. stock planifié",,
"${product.fullName} real st. move","${product.fullName} mvt. stock réalisé",,
"${product.fullName} reserved","${product.fullName} alloué",,
"%d order invoiced successfully,","%d commande facturée avec succès,",,
"%d orders invoiced successfully,","%d commandes facturées avec succès,",,
"%d outgoing stock move processed successfully,","%d BL traité avec succès,",,
"%d outgoing stock moves processed successfully,","%d BL traités avec succès,",,
"%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).","%s : La génération de l'acompte a échoué. Veuillez configurer un RIB pour la société %s et pour le mode de paiement associé %s soit directement au niveau du mode de paiement soit au niveau de la commande client %s (champ caché).",,
"%s blocked : maximal accepted credit exceeded for %s.","%s bloqué : encours maximal autorisé dépassé pour le devis %s.",,
"%s please configure a virtual supplier stock location for the company %s","%s Veuillez configurer un entrepot virtuel fournisseur pour la société %s",,
"%s purchase order","%s en commande fournisseur",,
"%s requested reserved","%s demandée en réservation",,
"%s sale order","%s en commande client",,
"%s stock location","%s en emplacement de stock",,
"A list of all product categories for which to run the batch (children categories are automatically included). All products will be processed if this list is left empty (note that the batch may take a long time to run if you have a lot of products).","Une liste de toutes les catégories de produits pour lesquelles exécuter le batch (les sous-catégories seront automatiquement ajoutées). L'intégralité des produits seront traités si cette liste est laissée vide (veuillez noter que le traitement peut prendre longtemps si vous avez beaucoup de produits).",,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","Une liste de lignes de devis de vente qui vont être traitées. Les lignes pouvant être sélectionnées sont celles satisfaisant aux conditions suivantes :\nLe produit est stockable\nLe produit est géré en stock\nLe produit n'est pas exclu du CBN\nLe devis/commande de vente doit avoir le même emplacement de stock ou sous-emplacement\nSi PDP, le produit doit être un produit fini\nLa quantité livrée de la ligne doit être inférieure à la quantité totale\nLa ligne doit se conformer à au moins un des types d'encours",,
"A supplier partner must be selected","Un fournisseur doit être sélectionné",,
"Accepted Credit","Montant encours accepté",,
"Account configuration",,,
"Accounting Batch",,,
"Accounting Family Dashboard","Tb famille comptable",,
