key,message,comment,context
+10 years,,,
0 %,,,
0-2 years,,,
10 %,,,
100 %,,,
2-5 years,,,
20 %,,,
30 %,,,
40 %,,,
5-10 years,,,
50 %,,,
60 %,,,
70 %,,,
80 %,,,
90 %,,,
<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />,,,
Accept/plan,,,
Actions,,,
All Applications,,,
All applications,,,
All open Applications,,,
All trainings,,,
Application rejected,,,
Applied job,Offre d'emploi,,
Appreciation,Appréciation,,
Availability from,Disponibilité,,
Business sectors,,,
Cancel,Annulée,,
Cancel/,,,
Canceled,Annulé,,
Categories,Catégories,,
Category,Catégorie,,
Close session,Fermer la session,,
Closed,,,
Company,Société,,
Complete,Formation réalisée,,
Completed,Réalisé,,
Configuration,Configuration,,
Contact,,,
Contract,Contrat,,
Contract type,Type de contrat,,
Create,Créer,,
Create call,,,
Create call (${ fullName }),,,
Create meeting (${ fullName }),,,
Dashboard,,,
Department,Département,,
Description,Description,,
Draft,,,
Education level,,,
Email,,,
Employee,Employé,,
Employee hired,,,
Employee registred,Personnes inscrites,,
Expected salary,Salaire souhaité,,
Experience,Expérience,,
Experience skills,Compétences profesionnelles,,
First name,,,
Fixed phone,,,
From,De,,
From date,De,,
Full name,,,
Hire,Embauché,,
Hired,,,
Historic job positions,Historique des offres,,
Interviews,,,
Invalid dates. From date must be before to date.,,,
Job Application,,,
Job application,,,
Job applications,,,
Job description,Description de l'offre,,
Job email,Email de réponse à l'offre d'emploi,,
Job info,,,
Job position,,,
Job positions,Offres d'emplois,,
Job reference,Référence de l'offre d'emploi,,
Job title,,,
Last name,,,
Level of education,Niveau de diplôme,,
LinkedIn profile,LinkedIn,,
Location,Emplacement,,
Mandatory training ?,Formation obligatoire,,
Mobile phone,,,
Month,,,
My team trainings,Les formations des collab.,,
My trainings,Mes formations,,
Name,Nom,,
Nb Employee,,,
Nb Hours,,,
Nb of open job,,,
Nb of people hired,,,
Nb. hours per category,,,
Nb. hours per training,,,
Nb. of delivered hours for last 3 years,,,
Nb. of delivered hours per month,,,
Nb. of trained employee per category,,,
Number of hours,Nombre d'heures,,
Number of registredred to the session,Nombre d'inscrits à la session,,
Objectives,Objectifs,,
Offer rejected,,,
Offered,,,
On hold,En attente,,
Open,Ouvert,,
Planned,Planifié,,
Planned events,,,
Previous events,,,
Program,Programme,,
Proposed salary,Salaire proposé,,
Rating,,,
Reason not hired,,,
Received,,,
Recruitment,Recrutement,,
Referred by,Référent,,
Register training,Inscription à la formation,,
Requested,Demandé,,
Required training,Formations requises,,
Responsible,Responsable du recrutement,,
Salary,Salaire,,
Schedule meeting,,,
Session,,,
Skills,Compétences,,
Skills tag,Compétences,,
Source,Provenance,,
Status,Statut,,
Tag,Compétences,,
Tag skill,Compétences,,
Tag skills,Compétences,,
To,Date à (inclus),,
To date,Date à (inclus),,
Total,,,
Training,Formations,,
Training Categories,,,
Training Category,,,
Training Register,,,
Training dashboard,,,
Training dates must be under training session date range.,,,
Training per category,,,
Training register,,,
Training registers,,,
Training session,,,
Training sessions,,,
Training skills,Compétences formations,,
Trainings,Formations,,
Work experience,Expérience professionnelle,,
Year,,,
help:Training.duration,Durée en heures de la formation,,
help:Training.mandatoryTraining,Cochez la case si la formation est obligatoire,,
help:Training.requiredTrainingSet,Formations requises pour s'inscrire,,
help:TrainingRegister.ratingSelect,Donnez une note à la formation,,
