"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.studio.DashletBuilder.r";"com.axelor.studio.db.DashletBuilder";"x";;;;;;;"BPM Read"
"perm.studio.AppBuilder.r";"com.axelor.studio.db.AppBuilder";"x";;;;;;;"BPM Read"
"perm.studio.DashboardBuilder.r";"com.axelor.studio.db.DashboardBuilder";"x";;;;;;;"BPM Read"
"perm.studio.ActionBuilderLine.r";"com.axelor.studio.db.ActionBuilderLine";"x";;;;;;;"BPM Read"
"perm.studio.ChartBuilder.r";"com.axelor.studio.db.ChartBuilder";"x";;;;;;;"BPM Read"
"perm.studio.ActionBuilderView.r";"com.axelor.studio.db.ActionBuilderView";"x";;;;;;;"BPM Read"
"perm.studio.ActionBuilder.r";"com.axelor.studio.db.ActionBuilder";"x";;;;;;;"BPM Read"
"perm.studio.MenuBuilder.r";"com.axelor.studio.db.MenuBuilder";"x";;;;;;;"BPM Read"
"perm.studio.Filter.r";"com.axelor.studio.db.Filter";"x";;;;;;;"BPM Read"
"perm.studio.AppDataLoader.r";"com.axelor.studio.db.AppDataLoader";"x";;;;;;;"BPM Read"
"perm.studio.SelectionBuilder.r";"com.axelor.studio.db.SelectionBuilder";"x";;;;;;;"BPM Read"
"perm.studio.ValueMapper.r";"com.axelor.studio.db.ValueMapper";"x";;;;;;;"BPM Read"
"perm.studio.AppLoader.r";"com.axelor.studio.db.AppLoader";"x";;;;;;;"BPM Read"
"perm.studio.WsAuthenticator.r";"com.axelor.studio.db.WsAuthenticator";"x";;;;;;;"BPM Read"
"perm.studio.WsConnector.r";"com.axelor.studio.db.WsConnector";"x";;;;;;;"BPM Read"
"perm.studio.WsKeyValue.r";"com.axelor.studio.db.WsKeyValue";"x";;;;;;;"BPM Read"
"perm.studio.WsRequest.r";"com.axelor.studio.db.WsRequest";"x";;;;;;;"BPM Read"
"perm.studio.DashletBuilder.rwc";"com.axelor.studio.db.DashletBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.AppBuilder.rwc";"com.axelor.studio.db.AppBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.DashboardBuilder.rwc";"com.axelor.studio.db.DashboardBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.ActionBuilderLine.rwc";"com.axelor.studio.db.ActionBuilderLine";"x";"x";"x";;;;;"BPM User"
"perm.studio.ChartBuilder.rwc";"com.axelor.studio.db.ChartBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.ActionBuilderView.rwc";"com.axelor.studio.db.ActionBuilderView";"x";"x";"x";;;;;"BPM User"
"perm.studio.ActionBuilder.rwc";"com.axelor.studio.db.ActionBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.MenuBuilder.rwc";"com.axelor.studio.db.MenuBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.Filter.rwc";"com.axelor.studio.db.Filter";"x";"x";"x";;;;;"BPM User"
"perm.studio.AppDataLoader.rwc";"com.axelor.studio.db.AppDataLoader";"x";"x";"x";;;;;"BPM User"
"perm.studio.SelectionBuilder.rwc";"com.axelor.studio.db.SelectionBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.ValueMapper.rwc";"com.axelor.studio.db.ValueMapper";"x";"x";"x";;;;;"BPM User"
"perm.studio.AppLoader.rwc";"com.axelor.studio.db.AppLoader";"x";"x";"x";;;;;"BPM User"
"perm.studio.WsAuthenticator.rwc";"com.axelor.studio.db.WsAuthenticator";"x";"x";"x";;;;;"BPM User"
"perm.studio.WsConnector.rwc";"com.axelor.studio.db.WsConnector";"x";"x";"x";;;;;"BPM User"
"perm.studio.WsKeyValue.rwc";"com.axelor.studio.db.WsKeyValue";"x";"x";"x";;;;;"BPM User"
"perm.studio.WsRequest.rwc";"com.axelor.studio.db.WsRequest";"x";"x";"x";;;;;"BPM User"
"perm.studio.DashletBuilder.rwcde";"com.axelor.studio.db.DashletBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.AppBuilder.rwcde";"com.axelor.studio.db.AppBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.DashboardBuilder.rwcde";"com.axelor.studio.db.DashboardBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ActionBuilderLine.rwcde";"com.axelor.studio.db.ActionBuilderLine";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ChartBuilder.rwcde";"com.axelor.studio.db.ChartBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ActionBuilderView.rwcde";"com.axelor.studio.db.ActionBuilderView";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ActionBuilder.rwcde";"com.axelor.studio.db.ActionBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.MenuBuilder.rwcde";"com.axelor.studio.db.MenuBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.Filter.rwcde";"com.axelor.studio.db.Filter";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.AppDataLoader.rwcde";"com.axelor.studio.db.AppDataLoader";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.SelectionBuilder.rwcde";"com.axelor.studio.db.SelectionBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ValueMapper.rwcde";"com.axelor.studio.db.ValueMapper";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.AppLoader.rwcde";"com.axelor.studio.db.AppLoader";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WsAuthenticator.rwcde";"com.axelor.studio.db.WsAuthenticator";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WsConnector.rwcde";"com.axelor.studio.db.WsConnector";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WsKeyValue.rwcde";"com.axelor.studio.db.WsKeyValue";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WsRequest.rwcde";"com.axelor.studio.db.WsRequest";"x";"x";"x";"x";"x";;;"BPM Manager"
