"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.studio.DashletBuilder.r";"com.axelor.studio.db.DashletBuilder";"x";;;;;;;"BPM Read"
"perm.studio.AppBuilder.r";"com.axelor.studio.db.AppBuilder";"x";;;;;;;"BPM Read"
"perm.studio.Wkf.r";"com.axelor.studio.db.Wkf";"x";;;;;;;"BPM Read"
"perm.studio.WkfTrackingTime.r";"com.axelor.studio.db.WkfTrackingTime";"x";;;;;;;"BPM Read"
"perm.studio.DashboardBuilder.r";"com.axelor.studio.db.DashboardBuilder";"x";;;;;;;"BPM Read"
"perm.studio.ActionBuilderLine.r";"com.axelor.studio.db.ActionBuilderLine";"x";;;;;;;"BPM Read"
"perm.studio.WkfTransition.r";"com.axelor.studio.db.WkfTransition";"x";;;;;;;"BPM Read"
"perm.studio.WkfNode.r";"com.axelor.studio.db.WkfNode";"x";;;;;;;"BPM Read"
"perm.studio.WkfTrackingTotal.r";"com.axelor.studio.db.WkfTrackingTotal";"x";;;;;;;"BPM Read"
"perm.studio.ChartBuilder.r";"com.axelor.studio.db.ChartBuilder";"x";;;;;;;"BPM Read"
"perm.studio.WkfTracking.r";"com.axelor.studio.db.WkfTracking";"x";;;;;;;"BPM Read"
"perm.studio.WkfTrackingLine.r";"com.axelor.studio.db.WkfTrackingLine";"x";;;;;;;"BPM Read"
"perm.studio.ActionBuilderView.r";"com.axelor.studio.db.ActionBuilderView";"x";;;;;;;"BPM Read"
"perm.studio.ActionBuilder.r";"com.axelor.studio.db.ActionBuilder";"x";;;;;;;"BPM Read"
"perm.studio.MenuBuilder.r";"com.axelor.studio.db.MenuBuilder";"x";;;;;;;"BPM Read"
"perm.studio.Filter.r";"com.axelor.studio.db.Filter";"x";;;;;;;"BPM Read"
"perm.studio.DashletBuilder.rwc";"com.axelor.studio.db.DashletBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.AppBuilder.rwc";"com.axelor.studio.db.AppBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.Wkf.rwc";"com.axelor.studio.db.Wkf";"x";"x";"x";;;;;"BPM User"
"perm.studio.WkfTrackingTime.rwc";"com.axelor.studio.db.WkfTrackingTime";"x";"x";"x";;;;;"BPM User"
"perm.studio.DashboardBuilder.rwc";"com.axelor.studio.db.DashboardBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.ActionBuilderLine.rwc";"com.axelor.studio.db.ActionBuilderLine";"x";"x";"x";;;;;"BPM User"
"perm.studio.WkfTransition.rwc";"com.axelor.studio.db.WkfTransition";"x";"x";"x";;;;;"BPM User"
"perm.studio.WkfNode.rwc";"com.axelor.studio.db.WkfNode";"x";"x";"x";;;;;"BPM User"
"perm.studio.WkfTrackingTotal.rwc";"com.axelor.studio.db.WkfTrackingTotal";"x";"x";"x";;;;;"BPM User"
"perm.studio.ChartBuilder.rwc";"com.axelor.studio.db.ChartBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.WkfTracking.rwc";"com.axelor.studio.db.WkfTracking";"x";"x";"x";;;;;"BPM User"
"perm.studio.WkfTrackingLine.rwc";"com.axelor.studio.db.WkfTrackingLine";"x";"x";"x";;;;;"BPM User"
"perm.studio.ActionBuilderView.rwc";"com.axelor.studio.db.ActionBuilderView";"x";"x";"x";;;;;"BPM User"
"perm.studio.ActionBuilder.rwc";"com.axelor.studio.db.ActionBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.MenuBuilder.rwc";"com.axelor.studio.db.MenuBuilder";"x";"x";"x";;;;;"BPM User"
"perm.studio.Filter.rwc";"com.axelor.studio.db.Filter";"x";"x";"x";;;;;"BPM User"
"perm.studio.DashletBuilder.rwcde";"com.axelor.studio.db.DashletBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.AppBuilder.rwcde";"com.axelor.studio.db.AppBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.Wkf.rwcde";"com.axelor.studio.db.Wkf";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WkfTrackingTime.rwcde";"com.axelor.studio.db.WkfTrackingTime";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.DashboardBuilder.rwcde";"com.axelor.studio.db.DashboardBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ActionBuilderLine.rwcde";"com.axelor.studio.db.ActionBuilderLine";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WkfTransition.rwcde";"com.axelor.studio.db.WkfTransition";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WkfNode.rwcde";"com.axelor.studio.db.WkfNode";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WkfTrackingTotal.rwcde";"com.axelor.studio.db.WkfTrackingTotal";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ChartBuilder.rwcde";"com.axelor.studio.db.ChartBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WkfTracking.rwcde";"com.axelor.studio.db.WkfTracking";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.WkfTrackingLine.rwcde";"com.axelor.studio.db.WkfTrackingLine";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ActionBuilderView.rwcde";"com.axelor.studio.db.ActionBuilderView";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.ActionBuilder.rwcde";"com.axelor.studio.db.ActionBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.MenuBuilder.rwcde";"com.axelor.studio.db.MenuBuilder";"x";"x";"x";"x";"x";;;"BPM Manager"
"perm.studio.Filter.rwcde";"com.axelor.studio.db.Filter";"x";"x";"x";"x";"x";;;"BPM Manager"
