"key","message","comment","context"
"Accept Order",,,
"All open tasks","Toues les tâches ouvertes",,
"All tickets","Historique des tâches",,
"Announcement","Annonce",,
"App Business Support",,,
"Assignment","Affectation",,
"Characteristics",,,
"Client",,,
"Configuration",,,
"Content","Contenu",,
"Date","Date",,
"Default Invoicing","Facturation par défaut",,
"Financial Data",,,
"In production","En production",,
"In progress","en cours",,
"In test","En recette",,
"Internal Description","Description interne",,
"New tasks","Nouvelles tâches",,
"No","Aucune",,
"On hold","En attente",,
"Order Accepted","Devis accepté",,
"Order Proposed","Devis proposé",,
"Package","Forfait",,
"Prestataire",,,
"Private","Privé",,
"Production server date","Date de mise en production",,
"Project",,,
"Project.version","Version",,
"Provider","Prestataire",,
"Status",,,
"Subject",,,
"Target version","Version cible",,
"Task",,,
"Task Tree",,,
"Task date",,,
"Tasks","Les Tâches",,
"Tasks to be treated by customer","Tickets à traiter Client",,
"Tasks to be treated by provider","Tickets à traiter Prestataire",,
"Testing server date","Date de mise en recette",,
"Ticket associated",,,
"Time Spent","Temps passé",,
"Title","Titre",,
"Tree view",,,
"Update to invoice",,,
