"key","message","comment","context"
"${fullName} plan. st. move","${fullName} mvt. st. plan.",,
"${fullName} real st. move","${fullName} mvt. st. réel",,
"0.00",,,
"0.50",,,
"1.00",,,
"1.50",,,
"2.00",,,
"2.50",,,
"3.00",,,
"3.50",,,
"4.00",,,
"4.50",,,
"5.00",,,
"<B>%s or %s</B> not found","<B>%s ou %s</B> introuvables",,
"<span class='label label-warning'>Warning : Delivery address is missing.</span>","<span class='label label-warning'>Attention : Adresse de livraison manquante</span>",,
"A cancel reason must be selected",,,
"A partial stock move has been generated (%s)","Un mouvement de stock partiel a été généré (%s)",,
"ABC analysis","Classification ABC",,
"AbcAnalysis.stockLocation","Emplacement de stock : ",,
"Account selection to carrier","Sélection de compte auprès du transporteur",,
"Accounting family","Famille comptable",,
"Accounting value","Valeur comptable",,
"Add","Ajouter",,
"Address","Adresse",,
"Alert","Alerte",,
"All storable products used in DEB must have net mass and mass unit information for customs.","Tous les produits stockables soumis à la DEB doivent avoir un masse nette et une unité de masse pour les douanes.",,
"Allocate",,,
"Allocate all",,,
"Allocations of costs","Répartition des coûts",,
"An error occurred while importing the file data, product not found with code :","Une erreur est survenue lors de l'import, aucun produit stockable avec le code",,
"An error occurred while importing the file data, there are multiple products with code :","Une erreur est survenue lors de l'import : il y plus d'un produit ayant le code",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","Une erreur est survenue lors de l'import. Veuillez contacter un administrateur.",,
"An incoming partial stock move has been generated (%s)","Un BR reliquat a été généré (%s)",,
"An outgoing partial stock move has been generated (%s)","Un BL reliquat a été généré (%s)",,
"App stock","App Stocks",,
"Are you sure you want to change status to  ""Collected "" ?","Confirmez-vous le passage au statut ""Enlevé"" ?",,
"Are you sure you want to go back to provision ?","Êtes-vous sûr de vouloir revenir à une mise à disposition ?",,
"Are you sure you want to realize this stock move?","Confirmer la réalisation de ce mouvement de stock?",,
"Are you sure you want to validate the carrier?","Êtes-vous sûr de vouloir valider le transporteur ?",,
"Arrival product qty","Qté des produits reçus",,
"Arrivals History","Historique réceptions",,
"Auto product tracking Nbr. order","Sélection automatique d'un numéro de suivi à la production",,
"Auto sale tracking Nbr. order","Sélection automatique numéro de série ventes",,
"Auto select product tracking Nbr.","Sélection automatique d'un numéro de suivi à la production",,
"Auto select sale tracking Nbr.","Sélection automatique numéro de série ventes",,
"Av. for product","Disp. pour le produit",,
"Availability","Disponibilité",,
"Availability request","Demande de mise à dispo.",,
"Available","Disponible",,
"Available qty","Qté disponible",,
"Available qty for product",,,
"Available status","Disponible statut",,
"Average","Moyenne",,
"Average Price","Prix moyen pondéré",,
"Back to provision","Retour à mise à disposition",,
"Backorder","Reliquat",,
"Backorder Id",,,
"Backorder Stock Move",,,
"Bad stock location lines","Mauvaises lignes d'emplacement de stock",,
"Bad stock move type",,,
"Barter","Troc",,
"Both source location address and delivery (to) address are required to define the delivery itinerary","Les champs Emplacement source et A l'adresse sont requis pour définir l'itinéraire de livraison.",,
"Buyer","Acheteur",,
"Buyer/Seller","Acheteur/Vendeur",,
"CSV",,,
"Can't delete a planned stock move","Il n'est pas possible de supprimer un mouvement de stock planifié",,
"Can't delete a realized stock move","Il n'est pas possible de supprimer un mouvement de stock réalisé",,
"Can't realize this stock move because of the ongoing inventory %s.","Impossible de réaliser ce mouvement de stock à cause de l’inventaire en cours %s.",,
"Cancel","Annuler",,
"Cancel reason",,,
"Cancel reservation",,,
"Canceled","Annulé",,
"Cancellation",,,
"Cancellation confirmation",,,
"Cancelled Arrivals","Réceptions annulées",,
"Cannot go back to draft status.",,,
"Carriage (Sea/Air) to port of import","Transport principal",,
"Carriage to place of destination","Acheminement vers l’usine ou l’entrepôt d’arrivée",,
"Carriage to port of export","Acheminement vers une plateforme de départ",,
"Carrier","Transporteur",,
"Carrier validated","Transporteur validé",,
"Certificate of conformity","Certificat de conformité",,
"Certificate of conformity title","Titre pour l'impression du certificat de conformité",,
"Change allocated qty",,,
"Check Duplicate","Vérifier doublons",,
"Code",,,
"Collected","Enlevé",,
"Collection date","Date d’enlèvement",,
"Comment to display on picking order","Commentaire à afficher sur les bons de préparation",,
"Comment to display on stock move","Commentaire à afficher sur les mouvements de stock",,
"Comments","Commentaires",,
"Commercial regularization resulting in value increase","Régularisation commerciale entraînant une majoration de valeur",,
"Commercial regularization resulting in value reduction","Régularisation commerciale entraînant une minoration de valeur",,
"Company","Société",,
"Company Unit price W.T.",,,
"Company account","Compte société",,
"Company address is empty.","L'adresse de la société n'est pas remplie",,
"Company cannot be null.",,,
"Company missing for stock location %s",,,
"Complete","Terminer",,
"Completed","Terminé",,
"Compliant","Conforme",,
"Compliant arrival product qty","Qté des produits reçus conformes",,
"Configuration","Configuration",,
"Configuration is missing in stock configuration to see financial data","Veuillez configurer le module stock par société pour voir les données financières des emplacements",,
"Confirm cancellation",,,
"Conformity","Conformité",,
"Conformity Certificates",,,
"Conformity certificate","Certificat de conformité",,
"ConformityCertificate.certificateNumber","N° du certificat",,
"ConformityCertificate.customerName","Raison sociale du client",,
"ConformityCertificate.designation","Désignation",,
"ConformityCertificate.externalReference","Référence client",,
"ConformityCertificate.function","Fonction",,
"ConformityCertificate.lotNoRef","Lot N°/Réf",,
"ConformityCertificate.name","Nom",,
"ConformityCertificate.numberAndDateDelivery","N° et date BL",,
"ConformityCertificate.orderDate","Date de commande",,
"ConformityCertificate.orderNumber","N° de commande",,
"ConformityCertificate.partNumber","Code article",,
"ConformityCertificate.qtyUnit","Qté / Unité",,
"ConformityCertificate.quantity","Quantité",,
"ConformityCertificate.sequence","Poste",,
"ConformityCertificate.signature","Visa",,
"ConformityCertificate.stockMoveLineRowNum","Ligne",,
"Consignments by post","Envois postaux",,
"Control on Receipt","Contrôle à la réception",,
"Correction Reason",,,
"Counter","Compteur",,
"Country","Pays",,
"Country of origin","Pays d'origine",,
"Create inventory","Créer inventaire",,
"Current","Actuel",,
"Current Qty","Quantité actuelle",,
"Current Quantity","Quantité actuelle",,
"Current quantity problem","Problème sur la quantité actuelle",,
"Cust. Shipment to prepare","Expéditions client à préparer",,
"Customer account","Compte client",,
"Customer account number","Numéro de compte client",,
"Customer account number to carrier","Numéro de compte client auprès du transporteur",,
"Customer account numbers to carriers","Numéros de compte client auprès des transporteurs",,
"Customer average delivery delay","Délai moyen de livraison client",,
"Customer deliveries","Livraisons clients",,
"Customer deliveries by country","Livraison client par pays",,
"Customer deliveries filters","Livraisons Clients",,
"Customer deliveries statistics","Statistiques de livraison client",,
"Customer order ref.","Ref. commande client",,
"Customer returns","Retours clients",,
"Customer virtual stock location","Emplacement virtuel client",,
"Customs","Douanes",,
"Customs code","Code douanier",,
"Customs code nomenclature","Code de nomenclature douanière",,
"Customs code nomenclature:all","Codes de nomenclature douanière",,
"Dashboard","Tableau de bord",,
"Data is null or empty","Données sont nulles ou vides",,
"Date","Date",,
"Dates",,,
"Deallocate",,,
"Deallocate all",,,
"Declaration of exchanges for %s is not supported.",,,
"Default signatory user","Signataire par défaut",,
"Default stock location","Emplacement par défaut",,
"Defense or intergovernmental program","Programme de défense ou inter-gouvernementaux",,
"Define ideal Qty","Définir qté idéale",,
"Define max Qty","Définir qté max",,
"Delay","Délai",,
"Deliver to customer","Client livré",,
"Deliver to customer is not set.","Le client livré n'est pas renseigné.",,
"Deliveries","Livraisons",,
"Deliveries Cancelled","Livraisons annulées",,
"Deliveries Details","Détails livraisons",,
"Deliveries History","Historique des Livraisons",,
"Deliveries to prepare","Livraisons à préparer",,
"Delivery delay (days)","Délai de livraison (jours)",,
"Delivery for trial sale","Livraison pour vente à vue ou à l'essai",,
"Delivery number","N° expédition",,
"Delivery stock move","Livraison client",,
"Deported stock location","Stock déporté chez",,
"Description","Description",,
"Detail","Détail",,
"Detail line(s) not inside a parcel/pallet","Ligne(s) de détail sans colis/parcelle",,
"Detailed stock",,,
"Details",,,
"Details stock location lines","Produits présents dans l'emplacement (vue non-consolidée)",,
"Dimensions (cm)","Dimensions (cm)",,
