"code";"name";"password";"group.code";"language";"homeAction";"importId";"companySet.importId";"activeCompany.id";"partner.importId";"activeCashRegister.id";"activeTeam.importId";"picture_fileName";"blocked";"stepStatusSelect"
"admin";"Admin";"admin";"admins";"en";;1;1;1;90019;1;4;"img/user/1033_128px.png";"false";"5"
"demo";"Demo";"demo";"users";"en";;2;1;1;90020;1;4;"img/user/1033_128px.png";"false";"5"
"psdt";"Yoann MARQUES";"psdt";"MNGT";"en";;3;1;1;90001;1;4;"img/user/1033_128px.png";"false";"5"
"assist";"Lucy ROBERT";"assist";"MNGT";"en";;4;1;1;90002;1;4;"img/user/1033_128px.png";"false";"5"
"projdir";"Lucas RICHARD";"projdir";"MNGT";"en";;5;1;1;90003;1;4;"img/user/1033_128px.png";"false";"5"
"projmg";"Daniel SILVA";"projmg";"ERP";"en";;6;1;1;90004;1;4;"img/user/1033_128px.png";"false";"5"
"consultant";"Charles MARTIN";"consultant";"CST";"en";;7;1;1;90005;1;4;"img/user/1033_128px.png";"false";"5"
"demoerp";"Kevin DEMOERP";"demoerp";"ERP";"en";"saleman.dashboard.view.sample";8;1;1;90006;1;4;"img/user/1033_128px.png";"false";"5"
"democrm";"Charles DEMOCRM";"democrm";"CRM";"en";"crm.root.opportunity";9;1;1;90007;2;1;"img/user/1033_128px.png";"false";"5"
"smn2";"Tony RAYMOND";"smn2";"SALE";"en";;10;1;1;90008;4;1;"img/user/1033_128px.png";"false";"5"
"sms1";"Thomas LAMY";"sms1";"SALE";"en";;11;1;1;90009;3;2;"img/user/1033_128px.png";"false";"5"
"sms2";"Anne GIRAULT";"sms2";"SALE";"en";;12;1;1;90010;5;2;"img/user/1012_128px.png";"false";"5"
"smi1";"Dimitri GEOFFROY";"smi1";"SALE";"en";;13;1;1;90011;1;3;"img/user/1033_128px.png";"false";"5"
"purch";"Alex DAVID";"purch";"PURCH";"en";;14;1;1;90012;1;4;"img/user/1033_128px.png";"false";"5"
"prod";"William ANDRE";"prod";"OPTS";"en";;15;1;1;90013;1;4;"img/user/1033_128px.png";"false";"5"
"suppmg";"David MAURIN";"suppmg";"OPTS";"en";;16;1;1;90014;1;4;"img/user/1033_128px.png";"false";"5"
"supp1";"Cyril MARCHAL";"supp1";"OPTS";"en";;17;1;1;90015;1;4;"img/user/1033_128px.png";"false";"5"
"supp2";"Robin COSTA";"supp2";"OPTS";"en";;18;1;1;90016;1;4;"img/user/1033_128px.png";"false";"5"
"hrmg";"Romane COLIN";"hrmg";"HRSC";"en";;19;1;1;90017;1;4;"img/user/1012_128px.png";"false";"5"
"account";"Victoria LOUIS";"account";"ACCO";"en";;20;1;1;90018;1;4;"img/user/1012_128px.png";"false";"5"
"client";"123 Service";"client";"CLT";"en";"wizard-client-view";21;1;1;88;1;;"img/user/88_120px.png";"false";"5"
"supplier";"TOP Components";"supplier";"SUP";"en";"wizard-supplier-view";22;1;1;148;1;;"img/user/148_128px.png";"false";"5"
