"importId";"partner_importId";"ownerName";"iban";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic";"bank.importId";"bankAddress.importId";"company.importId"
1;20;"APOLLO ";"FR7699111053182427705722824";"99111";"05318";24277057228;24;"FR7699111053182427705722824 AAAAFRPPXXX";1;1;
2;44;"BLUEBERRY TELECOM";"FR7699111053257084773754411";"99111";"05325";70847737544;11;"FR7699111053257084773754411 AAAAFRPPXXX";1;1;
3;70;"MASSON Logistics";"FR7699111054591684853901734";"99111";"05459";16848539017;34;"FR7699111054591684853901734 AAAAFRPPXXX";1;1;
4;77;"GERARD Solutions";"FR7699111052145220683269564";"99111";"05214";52206832695;64;"FR7699111052145220683269564 AAAAFRPPXXX";1;1;
5;88;"123 Services";"FR7699222029928602419478871";"99222";"02992";86024194788;71;"FR7699222029928602419478871 BBBBFRPPXXX";2;2;
6;132;"BOURGEOIS INDUSTRIE";"FR7699111094109003512506606";"99111";"09410";90035125066;06;"FR7699111094109003512506606 AAAAFRPPXXX";1;1;
7;136;"Banque GUILLOT";"FR7699333024458280759476443";"99333";"02445";82807594764;43;"FR7699333024458280759476443 CCCCFRPPXXX";3;3;
8;1012;"PICARD Anna";"FR7699111050237613320114732";"99111";"05023";76133201147;32;"FR7699111050237613320114732 AAAAFRPPXXX";1;1;
9;1033;"MEYER Philippe";"FR7699333031007628340661022";"99333";"03100";76283406610;22;"FR7699333031007628340661022 CCCCFRPPXXX";3;3;
90000;90000;"Axelor";"FR7699333020961963437764029";"99333";"02096";19634377640;29;"FR7699333020961963437764029 CCCCFRPPXXX";3;3;1
