"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"isEmployee";"name";"firstName";"titleSelect";"languageCode";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"paymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blockingList.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName";"invoicesCopySelect";"registrationCode"
20;1;"false";"true";"true";"false";"APOLLO";;;"fr";62;"info@apollo.fr";"04.35.79.88.99";;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;4;11;2;5;;"img/partner/20_120px.png";1;"732 829 320 00074"
21;2;"true";"false";"false";"false";"MICHEL";"Loic";1;"fr";62;"l.michel@apollo.fr";"04.31.45.39.99";"06.41.66.37.99";;;;;;;;1;;;20;;;;;;;;"img/partner/1033_128px.png";2;"876 539 297 08537"
22;2;"true";"false";"false";"false";"GARCIA";"Daniel";1;"fr";62;"d.garcia@apollo.fr";"04.19.14.89.99";"06.89.42.54.99";;;;;;;;1;;;20;;;;;;;;"img/partner/1033_128px.png";1;"997 260 591 00273"
23;2;"true";"false";"false";"false";"DAVID";"Laurent";1;"fr";62;"l.david@apollo.fr";"04.73.26.45.99";"07.95.48.27.99";;;;;;;;1;;;20;;;;;;;;"img/partner/1033_128px.png";2;"917 583 601 00658"
44;1;"false";"true";"true";"false";"BLUEBERRY TELECOM";;;"fr";13002;"info@blueberry-telecom.fr";"04.73.67.88.99";;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;"img/partner/44_120px.png";1;"533 880 902 50395"
45;2;"true";"false";"false";"false";"ROUSSEAU";"Élisabeth";2;"fr";13001;"e.rousseau@blueberry-telecom.fr";"04.86.61.79.99";"06.14.62.29.99";;;;;;;;1;;;44;;;;;;;;"img/partner/1012_128px.png";2;"501 958 722 00974"
46;2;"true";"false";"false";"false";"BLANC";"Bernard";1;"fr";13001;"b.blanc@blueberry-telecom.fr";"04.32.13.60.99";"07.83.63.98.99";;;;;;;;1;;;44;;;;;;;;"img/partner/1033_128px.png";1;"401 604 103 94765"
70;1;"false";"true";"true";"false";"MASSON SA";;;"fr";311;"contact@masson.fr";"05.44.40.54.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;1;2;21;;;3;;"img/partner/70_120px.png";2;"497 161 240 02233"
71;2;"true";"false";"false";"false";"MASSON";"Xavier";1;"fr";311;"x.masson@masson.fr";"05.15.60.89.99";"07.76.18.65.99";;;;;;;;1;;;70;;;;;;;;"img/partner/1033_128px.png";1;"437 847 528 37284"
72;2;"true";"false";"false";"false";"SANCHEZ";"Catherine";2;"fr";311;"c.sanchez@masson.fr";"05.27.69.43.99";"07.59.17.99.99";;;;;;;;1;;;70;;;;;;;;"img/partner/1012_128px.png";2;"402 194 849 75972"
77;1;"false";"true";"true";"false";"GERARD Solutions";;;"fr";330;"contact@gerard-solutions.fr";"05.22.62.48.99";;"emailpaper";8;2;"SME";"EUR";;;1;411100;401100;;2;1;4;12;2;12;;"img/partner/77_128px.png";1;"174 135 913 07109"
78;2;"true";"false";"false";"false";"GERARD";"Fabrice";1;"fr";330;"f.gerard@gerard-solutions.fr";"05.12.44.47.99";"06.90.75.97.99";;;;;;;;1;;;77;;;;;;;;"img/partner/1033_128px.png";2;"692 763 287 06456"
79;2;"true";"false";"false";"false";"NGUYEN";"Xavier";1;"fr";330;"x.nguyen@gerard-solutions.fr";"05.57.53.68.99";"06.97.90.53.99";;;;;;;;1;;;77;;;;;;;;"img/partner/1033_128px.png";1;"387 900 889 00578"
88;1;"false";"true";"true";"false";"123 Services";;;"fr";590;"contact@123-services.fr";"03.35.52.63.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;3;2;7;9;1;1;;"img/partner/88_120px.png";2;"963 254 057 60550"
89;2;"true";"false";"false";"false";"ROGER";"Jean Marc";1;"fr";590;"j.roger@123-services.fr";"03.83.87.87.99";"06.75.77.83.99";;;;;;;;1;;;88;;;;;;;;"img/partner/1033_128px.png";1;"619 773 625 00998"
90;2;"true";"false";"false";"false";"ROCHE";"Dominique";1;"fr";590;"d.roche@123-services.fr";"03.47.63.91.99";"07.42.32.10.99";;;;;;;;1;;;88;;;;;;;;"img/partner/1033_128px.png";2;"346 451 313 75109"
91;2;"true";"false";"false";"false";"ROY";"Thierry";1;"fr";590;"t.roy@123-services.fr";"03.50.79.78.99";"06.64.23.62.99";;;;;;;;1;;;88;;;;;;;;"img/partner/1033_128px.png";1;"818 855 751 00868"
132;1;"false";"true";"true";"false";"BOURGEOIS INDUSTRIE";;;"fr";940;"info@bourgeois-industries.fr";"01.97.37.77.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;2;1;17;8;3;2;;"img/partner/132_120px.png";2;"626 655 088 00831"
133;2;"true";"false";"false";"false";"BOURGEOIS";"Luc";1;"fr";940;"l.bourgeois@bourgeois-industries.fr";"01.42.72.29.99";"06.86.42.41.99";;;;;;;;1;;;132;;;;;;;;"img/partner/1033_128px.png";1;"914 818 281 03392"
134;2;"true";"false";"false";"false";"ARAFI";"Zohra";2;"fr";940;"z.arafi@bourgeois-industries.fr";"01.72.29.71.99";"06.43.52.92.99";;;;;;;;1;;;132;;;;;;;;"img/partner/1045_128px.png";2;"655 697 159 82670"
135;2;"true";"false";"false";"false";"CHARLES";"Jeannot";1;"fr";940;"j.charles@bourgeois-industries.fr";"01.87.59.46.99";"07.72.53.10.99";;;;;;;;1;;;132;;;;;;;;"img/partner/1033_128px.png";1;"625 783 329 00778"
136;1;"false";"true";"true";"false";"ESL Banking";;;"fr";950;"contact@esl-banking.fr";"01.38.33.50.99";;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;2;1;2;8;3;5;;"img/partner/136_120px.png";2;"678 213 695 00482"
137;2;"true";"false";"false";"false";"GUILLOT";"Kévin";1;"fr";950;"k.guillot@esl-banking.fr";"01.73.34.26.99";"06.63.55.39.99";;;;;;;;1;;;136;;;;;;;;"img/partner/1033_128px.png";1;"967 944 992 07879"
138;2;"true";"false";"false";"false";"NOEL";"Jean Nicolas";1;"fr";950;"j.noel@esl-banking.fr";"01.13.96.92.99";"07.44.77.73.99";;;;;;;;1;;;136;;;;;;;;"img/partner/1033_128px.png";2;"174 215 954 05688"
139;2;"true";"false";"false";"false";"MEUNIER";"Paul";1;"fr";950;"p.meunier@esl-banking.fr";"01.22.82.15.99";"07.67.21.50.99";;;;;;;;1;;;136;;;;;;;;"img/partner/1033_128px.png";1;"470 276 437 02275"
148;1;"false";"true";"true";"false";"TOP Components";;;"en";2004;"contact@top-components.com";"+86 21 5198 9999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;5;2;"img/partner/148_128px.png";2;"673 742 318 23807"
149;2;"true";"false";"false";"false";"ZHANG";"Annie";2;"en";2004;"a.zhang@top-components.com";"+86 21 5198 9999";"+86 139 1658 8799";;;;;;;;1;;;148;;;;;;;;"img/partner/1012_128px.png";1;"316 330 604 66043"
152;1;"false";"true";"true";"false";"SILVER Electronics";;;"en";2006;"contact@silverelec.com";"+86 755 8396 9999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;2;2;"img/partner/152_128px.png";2;"822 289 336 60506"
153;2;"true";"false";"false";"false";"LI";"Yang";1;"en";2006;"y.li@silverelec.com";"+86 755 8396 9999";"+86 138 2479 7599";;;;;;;;1;;;152;;;;;;;;"img/partner/1033_128px.png";1;"732 461 538 03870"
170;1;"false";"true";"true";"false";"SASAKI Components";;;"en";6001;"info@sasaki-components.com";"+81 3 5850 9999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;16;;;12;2;"img/partner/170_128px.png";2;"966 144 453 09845"
171;2;"true";"false";"false";"false";"SASAKI";"Amaya";1;"en";6001;"a.sasaki@sasaki-components.com";"+81 3 5850 9999";"+81 90 5136 7506";;;;;;;;1;;;170;;;;;;;;"img/partner/1012_128px.png";1;"355 879 081 00519"
185;1;"false";"true";"true";"false";"DE KIMPE Engineering";;;"en";1002;"contact@dekimpe-eng.com";"+32 2 234 99 99";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;1;2;3;;;8;1;"img/partner/185_120px.png";2;"645 092 180 01926"
186;2;"true";"false";"false";"false";"DE KIMPE";"Joos";1;"en";1002;"j.de kimpe@dekimpe-eng.com";"+32 2 234 99 99";32495680999;;;;;;;;1;;;185;;;;;;;;"img/partner/1033_128px.png";1;"144 387 990 08368"
197;1;"false";"true";"true";"false";"DG Technologies";;;"en";8002;"info@dg-technologies.com";"+31 20 530 79 99";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;1;16;13;3;10;1;"img/partner/197_120px.png";2;"864 768 676 71181"
198;2;"true";"false";"false";"false";"DE GROOT";"Matthijs";1;"en";8002;"m.de groot@dg-technologies.com";"+31 20 530 79 99";"+31 (0)6 51 59 69 99";;;;;;;;1;;;197;;;;;;;;"img/partner/1033_128px.png";1;"361 163 744 02974"
205;1;"false";"true";"true";"false";"AZ Inno";;;"en";3002;"info@azinno.com";"+49 89 17301999";;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;1;7;13;3;1;1;"img/partner/205_120px.png";2;"234 775 096 07613"
206;2;"true";"false";"false";"false";"MULLER";"Jan";1;"en";3002;"j.muller@azinno.com";"+49 89 17301999";"+49 175 5440999";;;;;;;;1;;;205;;;;;;;;"img/partner/1033_128px.png";1;"757 306 014 00957"
224;1;"false";"true";"true";"false";"WM Cinetics";;;"en";10010;"contact@wm-cinetics.com";"+1 415 490 2999";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;2;1;17;13;3;6;2;"img/partner/224_128px.png";2;"362 438 962 05840"
225;2;"true";"false";"false";"false";"WILSON";"Charles";1;"en";10010;"c.wilson@wm-cinetics.com";"+1 415 490 2999";"+1 415 780 2999";;;;;;;;1;;;224;;;;;;;;"img/partner/1033_128px.png";1;"810 649 145 00226"
237;1;"false";"true";"true";"false";"TGM Consulting";;;"en";75001;"info@tgm-consulting.com";"01.73.66.77.99";;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;13;8;3;7;2;"img/partner/237_128px.png";2;"906 121 108 86796"
238;2;"true";"false";"false";"false";"THOMPSON";"Kenneth";1;"en";75001;"k.thompson@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;1;;;237;;;;;;;;"img/partner/1033_128px.png";1;"280 593 567 00850"
239;2;"true";"false";"false";"false";"GARCIA";"Steven";1;"en";75001;"s.garcia@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;1;;;237;;;;;;;;"img/partner/1033_128px.png";2;"906 497 771 97943"
240;2;"true";"false";"false";"false";"MARTINEZ";"Edward";1;"en";10019;"e.martinez@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;1;;;237;;;;;;;;"img/partner/1033_128px.png";1;"757 466 362 82053"
1012;2;"false";"true";"true";"false";"PICARD";"Anna";2;"fr";671;"a.picard@msn.com";"03.79.67.80.99";"06.45.25.47.99";"email";4;2;"INDIV";"EUR";;;1;411100;401100;;2;;;9;1;8;;"img/partner/1012_128px.png";2;"621 665 033 01214"
1033;2;"false";"true";"true";"false";"MEYER";"Philippe";1;"fr";75019;"p.meyer@yahoo.com";"01.52.66.34.99";"07.31.30.96.99";"email";5;2;"INDIV";"EUR";;;1;411100;401100;;2;;;8;3;9;;"img/partner/1033_128px.png";1;"487 600 538 55634"
1039;2;"false";"true";"true";"false";"MITCHELL";"Sandra";2;"en";4008;"s.mitchell@yahoo.com";"+44 151 227 8999";;"email";8;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;12;2;"img/partner/1039_128px.png";2;"359 750 684 02868"
1045;2;"false";"true";"true";"false";"PARKER";"Laura";2;"en";10027;"l.parker@msn.com";"+1 305 507 7799";;"email";8;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;11;2;"img/partner/1045_128px.png";1;"540 038 320 00110"
90000;1;"false";"true";"true";"false";"Axelor";;;"fr";90000;"info@axelor.com";"01.83.64.06.50";;"emailpaper";6;6;"SME";"EUR";;;1;411100;401100;;1;1;;;;;;"img/partner/90000_128px.png";2;"432 187 300 00715"
90001;2;"true";"false";"false";"true";"MARQUES";"Yoann";1;"fr";90000;"y.marques@axelor.com";"01.10.79.99.70";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"263 042 673 08555"
