"importId";"birtTemplate.importId";"name";"value";"type"
1;1;"MessageId";"$Message.id$";"string"
2;1;"__locale";"en_EN";"string"
3;1;"Locale";"en";"string"
4;1;"HeaderHeight";"0.00";"decimal"
5;1;"FooterHeight";"0.00";"decimal"
6;2;"BusinessId";"$Project.id$";"string"
7;2;"__locale";"en_EN";"string"
8;2;"Locale";"en";"string"
9;3;"UserId";"$__user__.id$";"decimal"
10;3;"__locale";"en_EN";"string"
11;3;"Locale";"en";"string"
12;3;"AttachmentPath";"/home/axelor/attachments";"string"
13;4;"__locale";"en_EN";"string"
14;4;"Locale";"en";"string"
15;4;"EmployeeId";"$Employee.id$";"string"
16;5;"__locale";"en_EN";"string"
17;5;"Locale";"en";"string"
18;5;"ExpenseId";"$Expense.id$";"decimal"
19;6;"__locale";"en_EN";"string"
20;6;"Locale";"en";"string"
21;6;"InventoryId";"$Inventory.id$";"decimal"
22;7;"__locale";"en_EN";"string"
23;7;"Locale";"en";"string"
24;7;"InvoiceId";"$Invoice.id$";"decimal"
25;7;"HeaderHeight";"0.00";"decimal"
26;7;"FooterHeight";"0.00";"decimal"
27;7;"ReportType";2;"integer"
28;8;"__locale";"en_EN";"string"
29;8;"Locale";"en";"string"
30;8;"LeadId";"$Lead.id$";"string"
31;9;"__locale";"en_EN";"string"
32;9;"Locale";"en";"string"
33;9;"ManufOrderId";"$ManufOrder.id$";"string"
34;10;"__locale";"en_EN";"string"
35;10;"Locale";"en";"string"
36;10;"AccountingReportId";"$AccountingReport.id$";"decimal"
37;11;"__locale";"en_EN";"string"
38;11;"Locale";"en";"string"
39;11;"AccountingReportId";"$AccountingReport.id$";"decimal"
40;12;"__locale";"en_EN";"string"
41;12;"Locale";"en";"string"
42;12;"AccountingReportId";"$AccountingReport.id$";"decimal"
43;13;"__locale";"en_EN";"string"
44;13;"Locale";"en";"string"
45;13;"AccountingReportId";"$AccountingReport.id$";"decimal"
46;14;"__locale";"en_EN";"string"
47;14;"Locale";"en";"string"
48;14;"AccountingReportId";"$AccountingReport.id$";"decimal"
49;15;"__locale";"en_EN";"string"
50;15;"Locale";"en";"string"
51;15;"AccountingReportId";"$AccountingReport.id$";"decimal"
52;16;"__locale";"en_EN";"string"
53;16;"Locale";"en";"string"
54;16;"AccountingReportId";"$AccountingReport.id$";"decimal"
55;17;"__locale";"en_EN";"string"
56;17;"Locale";"en";"string"
57;17;"AccountingReportId";"$AccountingReport.id$";"decimal"
58;18;"__locale";"en_EN";"string"
59;18;"Locale";"en";"string"
60;18;"AccountingReportId";"$AccountingReport.id$";"decimal"
61;19;"__locale";"en_EN";"string"
62;19;"Locale";"en";"string"
63;19;"OperationOrderId";"$OperationOrder.id$";"string"
64;20;"__locale";"en_EN";"string"
65;20;"Locale";"en";"string"
66;20;"PartnerId";"$Partner.id$";"decimal"
67;20;"AttachmentPath";"/home/axelor/attachments";"string"
68;21;"__locale";"en_EN";"string"
69;21;"Locale";"en";"string"
70;21;"PaymentVoucherId";"$PaymentVoucher.id$";"decimal"
71;22;"__locale";"en_EN";"string"
72;22;"Locale";"en";"string"
73;22;"UserId";"$__user__.id$";"decimal"
74;22;"AttachmentPath";"/home/axelor/attachments";"string"
75;23;"__locale";"en_EN";"string"
76;23;"Locale";"en";"string"
77;23;"UserId";"$__user__.id$";"decimal"
78;23;"CurrYear";2015;"string"
79;23;"ProductIds";"$Product.id$";"string"
80;24;"__locale";"en_EN";"string"
81;24;"Locale";"en";"string"
82;24;"ProductId";"$Product.id$";"decimal"
83;24;"CompanyId";"$__user__.activeCompany.id$";"string"
84;25;"__locale";"en_EN";"string"
85;25;"Locale";"en";"string"
86;25;"ProjectId";"$Project.id$";"decimal"
87;26;"__locale";"en_EN";"string"
88;26;"Locale";"en";"string"
89;26;"PurchaseOrderId";"$PurchaseOrder.id$";"string"
90;26;"HeaderHeight";"0.00";"decimal"
91;26;"FooterHeight";"0.00";"decimal"
92;27;"__locale";"en_EN";"string"
93;27;"Locale";"en";"string"
94;27;"SaleOrderId";"$SaleOrder.id$";"decimal"
95;27;"HeaderHeight";"0.00";"decimal"
96;27;"FooterHeight";"0.00";"decimal"
97;28;"__locale";"en_EN";"string"
98;28;"Locale";"en";"string"
99;28;"StockLocationId";"$StockLocation.id$";"string"
100;29;"__locale";"en_EN";"string"
101;29;"Locale";"en";"string"
102;29;"StockMoveId";"$StockMove.id$";"string"
103;29;"HeaderHeight";"0.00";"decimal"
104;29;"FooterHeight";"0.00";"decimal"
105;30;"__locale";"en_EN";"string"
106;30;"Locale";"en";"string"
107;30;"TaskId";"$Task.id$";"string"
108;31;"__locale";"en_EN";"string"
109;31;"Locale";"en";"string"
110;31;"TimesheetId";"$Timesheet.id$";"decimal"
111;32;"__locale";"en_EN";"string"
112;32;"Locale";"en";"string"
113;32;"DebtRecoveryHistoryID";"$DebtRecoveryHistory.id$";"decimal"
